language,iso_code,track,region_group,target_pairs,registry_pairs,processed_csv,actual_pairs,reference_language,publication_handling,sha256,status,issues
Budu,buu,Regional,Northern DRC,1500,17387,language_resources/budu-buu/data/processed/budu-french_candidates.csv,17387,French,restricted_local,3986ca5edb66f1ae8ed6ac1ea35ff738c05c3512d9d9b5d7fdf2718c1d1437b9,ready_for_freeze,
Ndo,ndp,Regional,Northern DRC,1500,7943,language_resources/ndo-ndp/data/processed/ndo-french_candidates.csv,7943,French,restricted_local,f0517d340a6d0ced6bf357ed77ab2bc16fd475be37fbb7ad4fd9a20d562416d5,ready_for_freeze,
Alur,alz,Regional,Ituri,1500,7567,language_resources/alur-alz/data/processed/alur-english_candidates.csv,7567,English,publishable_or_metadata_qualified,4bb532f89084dc07e02268d40905e51e1478a1c18a597a588bdad0ff8ca06874,ready_for_freeze,
Ngiti,niy,Regional,Ituri,1500,7955,language_resources/ngiti-niy/data/processed/ngiti-french_candidates.csv,7955,French,restricted_local,34b12acada2556d04a001a4d0b6ca4858f60061b638f44ecdfc0aab5bf5f2b99,ready_for_freeze,
Kakwa,keo,Regional,Ituri,1500,7950,language_resources/kakwa-keo/data/processed/kakwa-french_candidates.csv,7950,French,restricted_local,ae3cb0ebd942119d3e5879753e463ea05cfeabd14b30ebcd8742efb4872f1c89,ready_for_freeze,
Komo,kmw,Regional,Ituri,1500,7938,language_resources/komo-kmw/data/processed/komo-french_candidates.csv,7938,French,restricted_local,ac030bac2d366b383a513aa7613b36e12288ebbe6d10891ace5b7a758b800384,ready_for_freeze,
Amba,rwm,Regional,Ituri,1500,2074,language_resources/amba-rwm/data/processed/amba-french_candidates.csv,2074,French,restricted_local,5dfa2a42b13c85ccb812402837f54e874812fc2d4673a8c220cb6b7a4bc27376,ready_for_freeze,
Lega-Mwenga,lgm,Regional,Maniema,1500,7943,language_resources/lega-mwenga-lgm/data/processed/lega-mwenga-french_candidates.csv,7943,French,restricted_local,3e84db2967c28b1c26ea3316a2294ffa1344ca1f10ce88cf127b13df311adffb,ready_for_freeze,
Bembe / Kibembe,bmb,Regional,Maniema,1500,2984,language_resources/bembe-bmb/data/processed/bembe-french_candidates.csv,2984,French,restricted_local,0b4b2ab8999598fe3a7abc79721e1eae658db10640846d73d301a61cd7e84694,ready_for_freeze,
Zimba,zmb,Regional,Maniema,1500,2434,language_resources/zimba-zmb/data/processed/zmb-french_candidates.csv,2434,French,restricted_local,075ed292742cb990c9faffa99774a374f0058fb80e8b460ab44523e22b72e132,ready_for_freeze,
Holoholo,hoo,Regional,Maniema,1500,1531,language_resources/holoholo-hoo/data/processed/hoo-french_candidates.csv,1531,French,restricted_local,73173fea806f0037526f7c01eaffb2e0bbf02bfe515f6187f236ec3468a87da7,ready_for_freeze,
Ngbaka,nga,Regional,Northwestern Congo Basin,1500,29977,language_resources/ngbaka-nga/data/processed/ngbaka-french_candidates.csv,29977,French,restricted_local,e0544a7b75a8a665efbd25f22427192d66ee959a2730b26530f27acc6e6dd1f3,ready_for_freeze,
Lobala,loq,Regional,Northwestern Congo Basin,1500,7920,language_resources/lobala-loq/data/processed/lobala-french_candidates.csv,7920,French,restricted_local,64a3be1cb4ace497f6cf190d07355a8b7bf29c27893aef38714bc702806a991a,ready_for_freeze,
Mashi,shr,Regional,Kivu,1500,1500,language_resources/mashi-shr/data/processed/mashi-french_eastern1500.csv,1500,French,publishable_or_metadata_qualified,079a50c707206b24c0968b8f1ae5d3754b1842f9d178f0fece92478fcca6a8f7,ready_for_freeze,
Nande,nnb,Regional,Kivu,1500,14949,language_resources/nande-nnb/data/processed/nande-french_candidates.csv,14949,French,publishable_or_metadata_qualified,07e345aee7713c787ddaf6a8665879be863d6fd815cd1fee7cd95c0acb4fc816,ready_for_freeze,
Hunde,hke,Kivu expansion,Kivu,1500,2291,language_resources/hunde-hke/data/processed/hke-french_candidates.csv,2291,French,restricted_local,77f3273dea09fbc05fca1d7e1ada4c6745ca9f605c64fa5b3ebe85764df7a291,ready_for_freeze,
Fuliiru,flr,Regional,Kivu,1500,30546,language_resources/fuliiru-flr/data/processed/fuliiru-french_candidates.csv,30546,French,restricted_local,542c7033e6c4975f18b5216f0d03df0afcacca0a5ec16c1396ce27288802e0f3,ready_for_freeze,
Tembo,tbt,Regional,Kivu,1500,7932,language_resources/tembo-tbt/data/processed/tembo-french_candidates.csv,7932,French,restricted_local,898285ee2ce1577df63e7344f053dffd56412c7c202849635ac008948fe6d30a,ready_for_freeze,
Havu,hav,Kivu expansion,Kivu,1500,3224,language_resources/havu-hav/data/processed/havu-french_candidates.csv,3224,French,publishable_or_metadata_qualified,c72a11a68c9a9b29290707d68214f69b747e8e7a47565f16dc764c46a0781ec2,ready_for_freeze,
Nyanga,nyj,Regional,Kivu,1500,3192,language_resources/nyanga-nyj/data/processed/nyanga-french_candidates.csv,3192,French,restricted_local,cc474222b0e2558a92c43c78062ccdb3179605dd297159b051aca6983d748d0b,ready_for_freeze,
Lega-Shabunda,lea,Regional,Maniema,1500,30703,language_resources/lega-shabunda-lea/data/processed/lega-shabunda-french_candidates.csv,30703,French,restricted_local,adf280c2aad08c6013c472d1b3cf4e6e8a3e2d5c002c58fa9cbb1596b0ac48bb,ready_for_freeze,
Kele / Lokele,khy,Regional,Tshopo,1500,7910,language_resources/kele-khy/data/processed/kele-french_candidates.csv,7910,French,restricted_local,dfbc4388c7fc0743ddb3eda92439bb541051eacf3aebece90df606626adbcab5,ready_for_freeze,
Lengola,lej,Regional,Tshopo,1500,5774,language_resources/lengola-lej/data/processed/lengola-english_candidates.csv,5774,English,publishable_or_metadata_qualified,d7d230888be5aba2568dc6ad95131adabe6a9ea6f167f143ec92a2bba6594870,ready_for_freeze,
Lombo / Turumbu,loo,Regional,Tshopo,1500,1812,language_resources/lombo-loo/data/processed/lombo-french_candidates.csv,1812,French,publishable_or_metadata_qualified,65a6df375ed1fba4ef45822737938f85a2e83b8fba45931ea05c8af5f200bc59,ready_for_freeze,
