verse_key,ngc,fr
RUT.1.13,"Ibea, wambakeni mbunoko bakandoe? Oboanitini bokɛni meki mikina? Ngasa, bana ba mbi bali! Ndjokwa e mbi enɔi ndjokwa e bino, tengasa ebɔ e Yawɛ ebenedjini mɛnɛ!».","attendriez-vous pour cela quils eussent grandi, refuseriez-vous pour cela de vous marier? Non, mes filles! Car à cause de vous je suis dans une grande affliction de ce que la main de lÉternel sest étendue contre moi."
RUT.1.14,"Ehole eokaka bo bea, bayeaka naikina na ngulu mɛnɛ. Bea Olopa abhimbaka bokio bo nde ko amopaka ndese esuka, endolo Luta alonaka bogbɔtɔ na nde.","Et elles élevèrent la voix, et pleurèrent encore. Orpa baisa sa belle-mère, mais Ruth sattacha à elle."
RUT.1.15,"Naomi abalaka na Luta: «Endja, mbanda e wɛ ayani adi bato ba nde ko adi ba ndjakomba ba nde. Wɛ pongono yana!».","Naomi dit à Ruth: Voici, ta belle-sœur est retournée vers son peuple et vers ses dieux; retourne, comme ta belle-sœur."
RUT.1.16,"Endolo Luta amosɔmbedjaka: «Pɛ bolindedjani nokine bɛngi na yane.Tengasa polo esusu akɛke wɛ, mbi nakɛke ; polo esusu adake wɛ, mbi nadake. Bato ba wɛ badake bato ba mbi ; ko Ndjakomba o wɛ adake Ndjakomba o mbi;.","Ruth répondit: Ne me presse pas de te laisser, de retourner loin de toi! Où tu iras jirai, où tu demeureras je demeurerai; ton peuple sera mon peuple, et ton Dieu sera mon Dieu;."
RUT.1.17,"oho agwake wɛ, mbi pongono nagwake; ko ena polo akundakenibo. Kina boo Yawɛ apɛni etumbo epipo emitida boo yogo elogbɔtodje!».","où tu mourras je mourrai, et jy serai enterrée. Que lÉternel me traite dans toute sa rigueur, si autre chose que la mort vient à me séparer de toi!."
RUT.1.18,"Ehole enɛkɛ Naomi boo Luta adaka oko atingi bokɛ na nde engbanga, akinaka bobala na nde.","Naomi, la voyant décidée à aller avec elle, cessa ses instances."
RUT.1.19,"Na tina emina, bakɛkɛ bo babae engbanga mbunoko baimeaka ta ngando e Bɛtɛlɛmɛ. Ehole eimeakabo ta Bɛtɛlɛmɛ, ngando e isusu eokaka ndjokwa tine bobo. Ko bali badaka bohɔdjɔ: «Iyo oko Naomi?».","Elles firent ensemble le voyage jusquà leur arrivée à Bethléhem. Et lorsquelles entrèrent dans Bethléhem, toute la ville fut émue à cause delles, et les femmes disaient: Est-ce là Naomi?."
RUT.1.20,"Naomi abalaka na bu: «Pɛ bobeanini naikina Naomi , endolo beanini Mala tengasa Ndjakomba o ngulu isusu aokedjini ndjokwa enɛnɛ.","Elle leur dit: Ne mappelez pas Naomi; appelez-moi Mara, car le Tout-Puissant ma remplie damertume."
RUT.1.21,"Nakɛkɛ mɔmɔ molumake, endolo Yawɛ ahuledjini mɔmɔ ngasa! Tina ebobeani naikina Naomi nda? Kumu Ndjakomba o ngulu isusu aokedjini ndjokwa.».","Jétais dans labondance à mon départ, et lÉternel me ramène les mains vides. Pourquoi mappelleriez-vous Naomi, après que lÉternel sest prononcé contre moi, et que le Tout-Puissant ma affligée?."
RUT.1.22,"Edaka mondumba moyanaka Naomi ta mokpɔtɔ mo Yuda, donga ta eliki e Moaba engbanga na Luta, moto o Moaba, bokio bo nde mwali. Baimeaka ta ngando e Bɛtɛlɛmɛ, ta ehole ekabuke bo mbuma i ɔlɔge.","Ainsi revinrent du pays de Moab Naomi et sa belle-fille, Ruth la Moabite. Elles arrivèrent à Bethléhem au commencement de la moisson des orges."
RUT.2.1,"Naomi adaka na moto omɔti ta pako e muma nde, yona odaka o itungu i Elimelɛki. Adaka modieli mɛnɛ kombe e nde Boadji.","Naomi avait un parent de son mari. Cétait un homme puissant et riche, de la famille dÉlimélec, et qui se nommait Boaz."
RUT.2.2,"Luta, moto o Moaba, abalaka na Naomi: «Pani enɔi e bokɛ ta gbie, tine boandoa mingbɔndu mi mbuma i bule, imia madumbaka babukeli. Nadake ngɔngɔ i moto okeakeni mongandi.» Naomi abalaka na nde: «Kɛ mwana o mbi mwali.».","Ruth la Moabite dit à Naomi: Laisse-moi, je te prie, aller glaner des épis dans le champ de celui aux yeux duquel je trouverai grâce. Elle lui répondit: Va, ma fille."
RUT.2.3,"Luta akɛkɛ ko abangaka boandoa mbuma i bule ta gbie, ngɔngɔ i babukeli. Asakanaka na ibaku ipele, tengasa adua asipoa boo adaka bosala ta gbie e Boadji, moto o pako e Elimelɛki.","Elle alla glaner dans un champ, derrière les moissonneurs. Et il se trouva par hasard que la pièce de terre appartenait à Boaz, qui était de la famille dÉlimélec."
RUT.2.4,"Ngɔngɔ i moehole, Boadji ahulaka ta ngando e Bɛtɛlɛmɛ. Aiseaka babukeli ba mbuma na mibalo mi ko abalaka: «Kina boo Yawɛ adae engbanga na nu!» Bamosɔmbedjaka: «Kina boo Yawɛ aodjongoe!».","Et voici, Boaz vint de Bethléhem, et il dit aux moissonneurs: Que lÉternel soit avec vous! Ils lui répondirent: Que lÉternel te bénisse!."
RUT.2.5,"Boadji ahɔdjɔkɔ kapita o babukeli ba mbuma i bule: «Moseka mwali yona, adi o nda?».",Et Boaz dit à son serviteur chargé de surveiller les moissonneurs: A qui est cette jeune femme?.
RUT.2.6,Kapita o babukeli ba mbuma i bule asɔmbedjaka: «Adi moseka mwali o Moaba. Adoi engbanga na Naomi donga ta ngondo e Moaba.,"Le serviteur chargé de surveiller les moissonneurs répondit: Cest une jeune femme Moabite, qui est revenue avec Naomi du pays de Moab."
RUT.2.7,"Alosɛngi enɔi e boandoa mingbɔndu i mbuma i bule i mia mikadike, ehole ekanangebo maboke, ngɔngɔ i babukeli. Donga ehuma ye akweaki ta gbie, asali na bhingi esusu, mbunoko ahemi oko edɛdi mooehole mokɛkɛ.».","Elle a dit: Permettez-moi de glaner et de ramasser des épis entre les gerbes, derrière les moissonneurs. Et depuis ce matin quelle est venue, elle a été debout jusquà présent, et ne sest reposée quun moment dans la maison."
RUT.2.8,"Na bea Boadji abalaka na Luta: «Oka bopele mwambi mwali. Pɛ bokɛ andoa mbuma i bule ta gbie ekina ; ko pɛ bokɛ bohali na gbie ye, endolo yeyoa ya engbanga na basali ba mbi bali.","Boaz dit à Ruth: Écoute, ma fille, ne va pas glaner dans un autre champ; ne téloigne pas dici, et reste avec mes servantes."
RUT.2.9,"Endja bopele pamba ndani alenaka bo mbuma i bule ko daa ngɔngɔ i bana bali ibandoaka mbuma i bule. Nasii basali bami badae pɛ bopea. Ehole esusu okoka posa e madiba, kɛɛ amwake ta mbola ilumedji bami.».","Regarde où lon moissonne dans le champ, et va après elles. Jai défendu à mes serviteurs de te toucher. Et quand tu auras soif, tu iras aux vases, et tu boiras de ce que les serviteurs auront puisé."
RUT.2.10,"Ehole eokaka Luta bea, asuneaka boso mbunoko ta kpɔtɔ ko abalaka na Boadji: «Tina ndani nadihi mongandi mu ta miso ma wɛ ko tina ndani opini ekumu iye mbi odi mokɛndɛli?».","Alors elle tomba sur sa face et se prosterna contre terre, et elle lui dit: Comment ai-je trouvé grâce à tes yeux, pour que tu tintéresses à moi, à moi qui suis une étrangère?."
RUT.2.11,"Boadji asɔmbedjaka: «Batɔndeini meako misusu imikɔ wɛ na bokio bo wɛ, donga ehole egwaka muma wɛ, moda mokina wɛ sange e wɛ, nange e wɛ ko ngando e bakɔkɔ ba wɛ ; odoi adaa na bato ibadaa wɛ pɛ bodjeba.","Boaz lui répondit: On ma rapporté tout ce que tu as fait pour ta belle-mère depuis la mort de ton mari, et comment tu as quitté ton père et ta mère et le pays de ta naissance, pour aller vers un peuple que tu ne connaissais point auparavant."
RUT.2.12,"Kina boo Yawɛ aopute, tine meako mikɔi wɛ! Kina boo Yawɛ, Ndjakomba o Isalɛlɛ, aopute bonɔ, elenge adoi wɛ abolama ta nase i mangbangu ma nde!».","Que lÉternel te rende ce que tu as fait, et que ta récompense soit entière de la part de lÉternel, le Dieu dIsraël, sous les ailes duquel tu es venue te réfugier!."
RUT.2.13,"Luta abalaka: «Kina boo nadie mongandi ta miso ma wɛ, kumu o mbi ! Opini molema bogo, tengasa osoli na mwali mosali o wɛ, na bwɛla bosusu. Enakobea, naboanakiti boda nongo omɔti o basali bali ba wɛ.».","Et elle dit: Oh! Que je trouve grâce à tes yeux, mon seigneur! Car tu mas consolée, et tu as parlé au cœur de ta servante. Et pourtant je ne suis pas, moi, comme lune de tes servantes."
RUT.2.14,"Ta ehole e boyaka, Boadji abalaka na Luta: «Batama mbuti ko tomba ekenge e mwɛmbɛ, edubea ta mana ma ngai.» Ehole edaka yo na bato bakabuke mbuma i bule, Boadji amopaka baa mbuma bakalangake. Aiyaka elenge apalaka yo ko akinaka ikina.","Au moment du repas, Boaz dit à Ruth: Approche, mange du pain, et trempe ton morceau dans le vinaigre. Elle sassit à côté des moissonneurs. On lui donna du grain rôti; elle mangea et se rassasia, et elle garda le reste."
RUT.2.15,"Ehole angɔkɔ yo tine boandoa mbuma i bule, Boadji apaka mobeko adi basali ba nde: «Mokinani andoe nongo idjia idi ndanda i bibole, pɛ bomoyekeani .","Puis elle se leva pour glaner. Boaz donna cet ordre à ses serviteurs: Quelle glane aussi entre les gerbes, et ne linquiétez pas."
RUT.2.16,"Oboanini bosambeani mele mi mikina midi na mbuma, tina e nde bɛngi amiandoe. Pɛ bomoyolodjani.».","et même vous ôterez pour elle des gerbes quelques épis, que vous la laisserez glaner, sans lui faire de reproches."
RUT.2.17,"Na bea Luta andoaka mbuma i bule ta gbie mbunoko mɔmɔkɔ. Ngɔngɔ abomakaka mingbɔndu imiandoaka yo, alumedjaka sɛki emɔti na mbuma i ɔlɔge.","Elle glana dans le champ jusquau soir, et elle battit ce quelle avait glané. Il y eut environ un épha dorge."
RUT.2.18,Ayanaka na yu ta ibonga ko bokio bo nde mwali aenɛkɛ mbuma djandoaka yo. Luta aimedjaka naikina mia imakinaka yo ehole egolaka yo ko amapaka adi bokio bo nde.,"Elle lemporta et rentra dans la ville, et sa belle-mère vit ce quelle avait glané. Elle sortit aussi les restes de son repas, et les lui donna."
RUT.2.19,"Naomi ahɔdjɔkɔ Luta: «Busa bu andoi wɛ mbuma djɔ? Osali ta gbie e nda? Kina boo moto opi ekumu ye, adjongoame!» Na bea Luta atɔndeaka bokio bo nde meako imimedjaka moswa gbie ta polo esalaka yo. Abalaka kombe e moto omina edaka Boadji.","Sa belle-mère lui dit: Où as-tu glané aujourdhui, et où as-tu travaillé? Béni soit celui qui sest intéressé à toi! Et Ruth fit connaître à sa belle-mère chez qui elle avait travaillé: Lhomme chez qui jai travaillé aujourdhui, dit-elle, sappelle Boaz."
RUT.2.20,"Naomi abalaka na bokio bo nde mwali: «Kina boo Yawɛ adjongoame, iyo odai pɛ bokina boinedja bopele bo nde adi bato ba nde: edae adi bato ibadi mɔ kaoko ibagwa. Momi yona adi mwange e biso adi ta tei e molɔngɔ mo bato baboani bolosikoa!».","Naomi dit à sa belle-fille: Quil soit béni de lÉternel, qui se montre miséricordieux pour les vivants comme il le fut pour ceux qui sont morts! Cet homme est notre parent, lui dit encore Naomi, il est de ceux qui ont sur nous droit de rachat."
RUT.2.21,Na bea Luta Moaba abalaka: «Daa engbanga na basali ba mbi mbunoko basidje bobuka mbuma i ɔlɔge i mbi isusu.».,"Ruth la Moabite ajouta: Il ma dit aussi: Reste avec mes serviteurs, jusquà ce quils aient achevé toute ma moisson."
RUT.2.22,"Naomi asɔmbedjaka Luta, bokio bo nde: «Edi bopele tine wɛ bodala engbanga na basali ba nde bali. Tengasa okakɛ ta gbie e moto okina oboani boinedja saya.».","Et Naomi dit à Ruth, sa belle-fille: Il est bon, ma fille, que tu sortes avec ses servantes, et quon ne te rencontre pas dans un autre champ."
RUT.2.23,"Na bea Luta adaka mbuti na basali ba Boadji, tine boandoa mingbɔndu mi mbuma i bule, mbunoko ehole abukake bo mbuma i ɔlɔge ko na mbuma i bule ikasia. Ayeyoaka boda engbanga na bokio bo nde mwali.","Elle resta donc avec les servantes de Boaz, pour glaner, jusquà la fin de la moisson des orges et de la moisson du froment. Et elle demeurait avec sa belle-mère."
RUT.3.1,"Busa bomɔti, Naomi bokio bo Luta mwali, abalaka na nde: «Mwana o mbi, naboaniti bohombea polo e bogo, edi wɛ boda na sepi?.","Naomi, sa belle-mère, lui dit: Ma fille, je voudrais assurer ton repos, afin que tu fusses heureuse."
RUT.3.2,"Tengasa otungi bodjeba bopele boo Boadji yona osalaka engbanga na basali ba nde bali, adi mwange e biso. Enakobea mɔmɔkɔ mo busa bu, akɛke bopɛpɛ ɔlɔge ta polo e bhuda ekadjibomakakebo.","Et maintenant Boaz, avec les servantes duquel tu as été, nest-il pas notre parent? Voici, il doit vanner cette nuit les orges qui sont dans laire."
RUT.3.3,"Na bea sasosa bopele, sasuowa mosoloa ko lwa bisendja bi wɛ, ibinɔi na bopele. Na bea, okɛdea ta polo e bhuda, oho abomakaka yo ɔlɔge i nde; endolo kɔɔbo Boadji adɛ pɛ bodjeba boo odi ta polo emina mbunoko akasidja boyaka ko bomwaka.","Lave-toi et oins-toi, puis remets tes habits, et descends à laire. Tu ne te feras pas connaître à lui, jusquà ce quil ait achevé de manger et de boire."
RUT.3.4,"Ehole akɛke yo asaama, homba odjebe polo asamake yo. Ngɔngɔ osabatee ko okundoe esendja yena ekundi mako ma nde, osasambee ena ta mako ma nde . Yo mɛnɛ aotɔndeake meako miboani na wɛ bokɔ.».","Et quand il ira se coucher, observe le lieu où il se couche. Ensuite va, découvre ses pieds, et couche-toi. Il te dira lui-même ce que tu as à faire."
RUT.3.5,Luta amosɔmbedjaka: «Nakɔke misusu mitɔndeini wɛ.».,Elle lui répondit: Je ferai tout ce que tu as dit.
RUT.3.6,"Luta akɛkɛ ta polo e bhuda emina, oho akɔkɔ meako misusu mimotɔndeaka bokio bo nde.","Elle descendit à laire, et fit tout ce quavait ordonné sa belle-mère."
RUT.3.7,"Ehole esidjaka Boadji boyaka ko bomwaka, molema mo nde modaka na sepi, akɛkɛ asaama ta suka e bibole bi mbuma i ɔlɔge. Na bea Luta asabateaka bopɛtɛ bopɛtɛ, akundoaka esendja yena edipaka mako ma Boadji ko asamaka ena.","Boaz mangea et but, et son cœur était joyeux. Il alla se coucher à lextrémité dun tas de gerbes. Ruth vint alors tout doucement, découvrit ses pieds, et se coucha."
RUT.3.8,"Ta ndanda e bulu, Boadji aokaka piyɔ, asaninodjaka ko aenɛkɛ mwali asambi ta mako ma nde.","Au milieu de la nuit, cet homme eut une frayeur; il se pencha, et voici, une femme était couchée à ses pieds."
RUT.3.9,"Amohɔdjɔkɔ: «Wɛ nda?» Asɔmbedjaka: «Edi mbi, Luta, mosali o wɛ mwali. Anda sɔngɔ e esendja e wɛ mbunoko ono adi mbi, tengasa odi na kpatsi e bosikoa .».","Il dit: Qui es-tu? Elle répondit: Je suis Ruth, ta servante; étends ton aile sur ta servante, car tu as droit de rachat."
RUT.3.10,"Boadji amosɔmbedjaka: «Kina boo Yawɛ aodjongoe, mwana o mbi mwali! Bopele bosinedja wɛ edɛdi, bonɔi bo boso. Tengasa, odalati ngɔngɔ i menga bami, edɛ badieli kaoko batakeli.","Et il dit: Sois bénie de lÉternel, ma fille! Ce dernier trait témoigne encore plus en ta faveur que le premier, car tu nas pas recherché des jeunes gens, pauvres ou riches."
RUT.3.11,"Edɛdi, mwana o mbi mwali pɛ bobanga! Nokɔmeake misusu ma sengɛke wɛ, tengasa bato basusu ba polo ye badjebi boo odi mwali o mandi.","Maintenant, ma fille, ne crains point; je ferai pour toi tout ce que tu diras; car toute la porte de mon peuple sait que tu es une femme vertueuse."
RUT.3.12,"Nongo edɛdi adi mbi na kpatsi e bosikoa, endolo edi na mosikoi okina adi mbuti na wɛ bonɔ mbi.","Il est bien vrai que jai droit de rachat, mais il en existe un autre plus proche que moi."
RUT.3.13,"Hwɛ bulu bu iya; na bea puma ehuma, loendje kaoko moto omina adi bodima bosikoa. Ekada boo apali, kina boo aosikoe. Endolo akalona, nabali na wɛ ta kombe e Yawɛ boo nosikoake. Na bea boso boo busa boyɛ, hwɛ iya.».","Passe ici la nuit. Et demain, sil veut user envers toi du droit de rachat, à la bonne heure, quil le fasse; mais sil ne lui plaît pas den user envers toi, jen userai, moi, lÉternel est vivant! Reste couchée jusquau matin."
RUT.3.14,"Luta ahwɛkɛ ta mako ma Boadji ko asisoaka na hindihindi yana adaka bato pɛ bokokoledja bopele. Tengasa Boadji abalaka, moto adae pɛ bodjeba boo mwali omɔti aduaki ta polo e bhuda ye ekabomakakebo ɔlɔge.","Elle resta couchée à ses pieds jusquau matin, et elle se leva avant quon pût se reconnaître lun lautre. Boaz dit: Quon ne sache pas quune femme est entrée dans laire."
RUT.3.15,"Boso boo ayane, Boadji amotɔndeaka: «Pani esendja ye elwali wɛ ko epea bopele.» Luta apeaka esendja ko Boadji amoiseaka kilo mbuti na tuku ibae i mbuma ɔlɔge, amokamoaka na boangɔdjɔ ko amobakee ta molo. Ngɔngimina, Luta ayanaka ta ibonga.","Et il ajouta: Donne le manteau qui est sur toi, et tiens-le. Elle le tint, et il mesura six mesures dorge, quil chargea sur elle. Puis il rentra dans la ville."
RUT.3.16,"Ehole eimeaka Luta adi bokio bo nde, Naomi amohɔdjɔkɔ: «Mwana o mbi mwali, meako mimina minɔi bo?» Na bea Luta amotɔndeaka meako misusu mimokɔmeaka Boadji.","Ruth revint auprès de sa belle-mère, et Naomi dit: Est-ce toi, ma fille? Ruth lui raconta tout ce que cet homme avait fait pour elle."
RUT.3.17,"Abalaka: «Apini pongono kilo tuku ibae i mbuma i ɔlɔge, tengasa adjebedjakini boo, otayana mɔmɔ ngasa adi bokio bo wɛ.».","Elle dit: Il ma donné ces six mesures dorge, en disant: Tu ne retourneras pas à vide vers ta belle-mère."
RUT.3.18,"Na bea Naomi abalaka na nde: «Edɛdi mwana o mbi mwali, daaya mbunoko odjebe moda masukeake meako mimina. Tengasa, moto yona atadake na bogo mbunoko oko asidje meako mi busa bu!».","Et Naomi dit: Sois tranquille, ma fille, jusquà ce que tu saches comment finira la chose, car cet homme ne se donnera point de repos quil nait terminé cette affaire aujourdhui."
RUT.4.1,"Boadji akɛkɛ ta ekukɛ e ibonga , ko adaka oho. Aenɛkɛ mosikoi, yona obalaka Boadji boo yo adi na kpatsi e bosikoa Luta, bonɔ. Boadji abalaka na nde: «Mwange e mbi, duwa ko daa ya.» Moto omina asabateaka ko adaaka.","Boaz monta à la porte, et sy arrêta. Or voici, celui qui avait droit de rachat, et dont Boaz avait parlé, vint à passer. Boaz lui dit: Approche, reste ici, toi un tel. Et il sapprocha, et sarrêta."
RUT.4.2,Boadji abeaka bami domi ta tei e basuku ba ibonga ko ahɔdjɔkɔ boo adae na bu engbanga. Ehole edakabo.,"Boaz prit alors dix hommes parmi les anciens de la ville, et il dit: Asseyez-vous ici. Et ils sassirent."
RUT.4.3,"Boadji abalaka na mosikoi o Luta: «Naomi yona ahuli ta eliki e Moaba, atɛkɛkɛ gbie e Elimelɛki, mwange e biso.","Puis il dit à celui qui avait le droit de rachat: Naomi, revenue du pays de Moab, a vendu la pièce de terre qui appartenait à notre frère Élimélec."
RUT.4.4,"Mbi nadiaki ilɛno i botɔndea ko bobala na wɛ boo osombe gbie emina ta miso ma bato ba ibonga ko na basuku ibadi iya. Okapala boesomba, esomba; emitida bea, tɔndeani bɛngi nadjebe. Tengasa wɛ odi moto o boso odi na kpatsi boesomba ko mbi nadi na enɔei ngɔngɔ i wɛ.» Moto omina amosɔmbedjaka: «Eee, naesombaka.».","Jai cru devoir ten informer, et te dire: Acquiers-la, en présence des habitants et en présence des anciens de mon peuple. Si tu veux racheter, rachète; mais si tu ne veux pas, déclare-le-moi, afin que je le sache. Car il ny a personne avant toi qui ait le droit de rachat, et je lai après toi. Et il répondit: je rachèterai."
RUT.4.5,"Boadji abalaka: «Ehole asombake wɛ gbie ta mɔmɔ ma Naomi, watombake pongono Luta Moaba, mwali ogwa na momi, tine ebokɔ boo kombe e mowei edike bodieli bo nde.».","Boaz dit: Le jour où tu acquerras le champ de la main de Naomi, tu lacquerras en même temps de Ruth la Moabite, femme du défunt, pour relever le nom du défunt dans son héritage."
RUT.4.6,Mosikoi abalaka: «Naboaniti naesikoe esakadabo naisi djenge ta bodieli bo mbi. Esikoa wɛ mɛnɛ tengasa mbi nataboana bokɔ bea.».,"Et celui qui avait le droit de rachat répondit: Je ne puis pas racheter pour mon compte, crainte de détruire mon héritage; prends pour toi mon droit de rachat, car je ne puis pas racheter."
RUT.4.7,"Enakobea ta ehole eyou ta Isalɛlɛ, tine bosikoa ko bopa bodieli, moto omɔti adaka boihwa sapato i nde ko bodjipa adi moto okina. Sapato imina idaka elenge mbete e tati ta tei e Isalɛlɛ.","Autrefois en Israël, pour valider une affaire quelconque relative à un rachat ou à un échange, lun ôtait son soulier et le donnait à lautre: cela servait de témoignage en Israël."
RUT.4.8,Mosikoi abalaka na Boadji boo somba gbie emina. Na bea aiwaka sapato i nde ko amopaka.,Celui qui avait le droit de rachat dit donc à Boaz: Acquiers pour ton compte! Et il ôta son soulier.
RUT.4.9,Boadji atɔndeaka basuku ko bato basusu: «Ino bɛnɛ odini batemo boo nasombe ta mɔmɔ ma Naomi bodieli bosusu bo Elimelɛki bo Kilioni na Maloni.,"Alors Boaz dit aux anciens et à tout le peuple: Vous êtes témoins aujourdhui que jai acquis de la main de Naomi tout ce qui appartenait à Élimélec, à Kiljon et à Machlon."
RUT.4.10,"Natombi pongongo Luta moseka o Moaba, yona odaka mwali o Maloni o gwa, tine boo aimee mwali o mbi. Tengasa kombe e nde edike ta bodieli bo nde, esaka bunga ta tei e pako e nde ko ta tei e buku e Leta e ibonga i nde. Ino odini batemo bamina busa bu.».","et que je me suis également acquis pour femme Ruth la Moabite, femme de Machlon, pour relever le nom du défunt dans son héritage, et afin que le nom du défunt ne soit point retranché dentre ses frères et de la porte de son lieu. Vous en êtes témoins aujourdhui!."
RUT.4.11,"Na bea basuku ko na bato basusu ibadaka ta ekukɛ e ibonga babalaka: «Eee, lodimi lodi batemo. Kina boo Yawɛ aimedje mwali yo aduake ta ndako e wɛ; elenge Laele na Lea ibabotaka engbanga pako e bato ba Isalɛlɛ! Kina boo oimee moto monɛnɛ ta tei itungu i e Epalata ko moto o gala ta ngando isusu i Bɛtɛlɛmɛ!.","Tout le peuple qui était à la porte et les anciens dirent: Nous en sommes témoins! Que lÉternel rende la femme qui entre dans ta maison semblable à Rachel et à Léa, qui toutes les deux ont bâti la maison dIsraël! Manifeste ta force dans Éphrata, et fais-toi un nom dans Bethléhem!."
RUT.4.12,"Kina boo batitani ibopake Yawɛ na ndjea e moseka mwali yo, baimedje ndako e wɛ elenge ndako e Pɛlɛse, yena ebotaka Tamala Yuda!».","Puisse la postérité que lÉternel te donnera par cette jeune femme rendre ta maison semblable à la maison de Pérets, qui fut enfanté à Juda par Tamar!."
RUT.4.13,"Na bea Boadji atombaka Luta ko amoasɔkɔ. Ngɔngɔ i Boadji boda moki na Luta, Yawɛ adjongoaka Luta ko alwaka demi ko abotaka mwana momi.","Boaz prit Ruth, qui devint sa femme, et il alla vers elle. LÉternel permit à Ruth de concevoir, et elle enfanta un fils."
RUT.4.14,"Bali ba ngando i Bɛtɛlɛmɛ babalaka na Naomi: «Kina boo Yawɛ akumedjame! Yo, yoo ta busa bu aiokina botakedja mosikoi ta ibota i wɛ! Kina boo kombe e mwana omina ekɛ gala ta Isalɛlɛ!.","Les femmes dirent à Naomi: Béni soit lÉternel, qui ne ta point laissé manquer aujourdhui dun homme ayant droit de rachat, et dont le nom sera célébré en Israël!."
