verse_key,tap,fr
GEN.1.18,"iye yateeka musita wa koba ni wa busiku, evi iye yalekenkaniizie kisue ni nfinzi. Leza waamwene nangue kyaali kyaweme.","pour présider au jour et à la nuit, et pour séparer la lumière davec les ténèbres. Dieu vit que cela était bon."
GEN.1.19,"Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa buna.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le quatrième jour."
GEN.1.20,"Kabili Leza waalandile evi, Mu menda mube bilengua bikose bilibyaenda, ni mu lweleele mube byoni bilibyapupuka peulu kyalo.","Dieu dit: Que les eaux produisent en abondance des animaux vivants, et que des oiseaux volent sur la terre vers létendue du ciel."
GEN.1.21,"Leza waalengele bilengua bikata bya mu lyezi mu misango yabyo, ni bilengua bikose bilibyaenda mu menda mu misango yabyo pamo ni byoni bilibyapupuka mu lweleele mu misango yabyo. Leza waamwene nangue kyaali kyaweme.","Dieu créa les grands poissons et tous les animaux vivants qui se meuvent, et que les eaux produisirent en abondance selon leur espèce; il créa aussi tout oiseau ailé selon son espèce. Dieu vit que cela était bon."
GEN.1.22,"Leza waabipaalile walanda bivyalane, bisanduluke ni kwizula mu menda a mu lyezi, ni byoni bisanduluke mu kyalo.","Dieu les bénit, en disant: Soyez féconds, multipliez, et remplissez les eaux des mers; et que les oiseaux multiplient sur la terre."
GEN.1.23,"Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa busaano.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le cinquième jour."
GEN.1.24,"Kabili Leza waalandile evi, Kyalo kifumie misango yonse ya bilengua bikose mu misango ilekenkeene. Nama ya kuteekua, ni bilibyayibula pansi, ni nama ya mu kisonso mu misango ilekenkeene. Evio i vikyaali.","Dieu dit: Que la terre produise des animaux vivants selon leur espèce, du bétail, des reptiles et des animaux terrestres, selon leur espèce. Et cela fut ainsi."
GEN.1.25,"Leza waakitile nama ya mu musitu mu misango yayo, ni nama ya kuteekua mu misango yayo, ni kubalua kilengua kilikyayibula pansi mu misango yayo. Leza waamwene nangue kyaali kyaweme.","Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tous les reptiles de la terre selon leur espèce. Dieu vit que cela était bon."
GEN.1.26,"Kabili Leza waalandile evi, Ale kansi tubumbe muntu mu lukebu lwetu wapaleene ni fwefue. Kabili tumupeele buvinde bwa kuteeka masabi a mu lyezi, ni tooni twa mu lweleele, ni nama ya kuteekua, ni buvinde bwa kuteeka kyalo kyonse pamo ni bilengua byonse bilibyayibula pansi.","Puis Dieu dit: Faisons lhomme à notre image, selon notre ressemblance, et quil domine sur les poissons de la mer, sur les oiseaux du ciel, sur le bétail, sur toute la terre, et sur tous les reptiles qui rampent sur la terre."
GEN.1.27,"Evi Leza waalengele muntu mu lukebu lwakue mwine. Mu lukebu lwakua Leza i mwaalengeelue muntu. Mwalalume ni mwanakazi, waabalengele.","Dieu créa lhomme à son image, il le créa à limage de Dieu, il créa lhomme et la femme."
GEN.1.28,"Leza waabapaalile wabaana nangue, Ale vyalane musanduluke. Izuzie kyalo ni kukinasia. Muye mwali bakateeka ba masabi a mu lyezi, ni ba byoni bya mu lweleele, ni ba bilengua byonse bikose bilibyayibula pansi.","Dieu les bénit, et Dieu leur dit: Soyez féconds, multipliez, remplissez la terre, et lassujettissez; et dominez sur les poissons de la mer, sur les oiseaux du ciel, et sur tout animal qui se meut sur la terre."
GEN.1.29,"Leza waalandile evi, Mone namipeela kubalua saasa uli pa kyalo kyonse uliwaseekako mbezu, ni kubalua kimuti kilikyaseekako mazabo ali ni mbezu mukati kuti bikabe bya kulia byenu.","Et Dieu dit: Voici, je vous donne toute herbe portant de la semence et qui est à la surface de toute la terre, et tout arbre ayant en lui du fruit darbre et portant de la semence: ce sera votre nourriture."
GEN.1.30,"Inzi nama yonse ya pa kyalo, ni tooni twa mu lweleele, ni kyonse kilikyayibula pansi kili ni bukose, nabipeela maani a saasa kuti bibe bilio byabo. Evio i vikyaali.","Et à tout animal de la terre, à tout oiseau du ciel, et à tout ce qui se meut sur la terre, ayant en soi un souffle de vie, je donne toute herbe verte pour nourriture. Et cela fut ainsi."
GEN.1.31,"Leza waamwene nangue byonse bi-aakitile byaali byakilile kuwama. Kwa-alukile kyungulo, kabili kwa-alukile lukeelekeele. Bobo i bwaali busiku bwa mutanda.","Dieu vit tout ce quil avait fait et voici, cela était très bon. Ainsi, il y eut un soir, et il y eut un matin: ce fut le sixième jour."
GEN.2.1,Evi i vyaapwile kulengua kwa lyulu ni kyalo pamo ni byonse bilimo.,"Ainsi furent achevés les cieux et la terre, et toute leur armée."
GEN.2.2,"Mu busiku bwa kilooba, Leza waali wasyapwile miilo yakue yonse i-aali wakita. Ni pakako, waatuziizie busiku bwa kilooba ni kulekela kubomba miilo yakue yonse i-aali wakita.","Dieu acheva au septième jour son œuvre, quil avait faite: et il se reposa au septième jour de toute son œuvre, quil avait faite."
GEN.2.3,Leza waapaalile busiku bwa kilooba ni kubuzuukia pantu i busiku bu-atuziiziemo pa kyamba kya miilo ya kulenga bintu byonse.,"Dieu bénit le septième jour, et il le sanctifia, parce quen ce jour il se reposa de toute son œuvre quil avait créée en la faisant."
GEN.2.4,Leli i lyasi lya kulengua kwa lyulu ni kyalo. Yawe Leza lu-aalengele lyulu ni kyalo.,"Voici les origines des cieux et de la terre, quand ils furent créés. Lorsque lÉternel Dieu fit une terre et des cieux."
GEN.2.5,"pa kyalo tepaali pamenene kantu, ni saasa wa mu kisonso waali teunamene, pantu Yawe Leza waali tananokiepo nvula, kabili tepaali muntu wa kulima musili.","aucun arbuste des champs nétait encore sur la terre, et aucune herbe des champs ne germait encore: car lÉternel Dieu navait pas fait pleuvoir sur la terre, et il ny avait point dhomme pour cultiver le sol."
GEN.2.6,Inzi menda a pansi i-aali aleeta kinwanvi pa bulongo.,"Mais une vapeur séleva de la terre, et arrosa toute la surface du sol."
GEN.2.7,"Yawe Leza waabuulile lufunko lwa bulongo, wabumba mwalalume ni kumupuzila mupuze wa bukose mu myona, ni ye wa-aluka kilengua kikose.","LÉternel Dieu forma lhomme de la poussière de la terre, il souffla dans ses narines un souffle de vie et lhomme devint un être vivant."
GEN.2.8,Kabili Yawe Leza waakitile bukaba mu Edeni lya ku kabanga ni kubiikamo muntu u-aabumbile.,"Puis lÉternel Dieu planta un jardin en Éden, du côté de lorient, et il y mit lhomme quil avait formé."
GEN.2.9,"Yawe Leza waameniizie misango yonse ya bimuti pa musili, bimuti biweme mu monekelo, bilibyaseekako mazabo aweme a kulia. Pa bukata bwa bukaba, paali pali kimuti kya bukose ni kimuti kya kumana biweme ni bibiipile.","LÉternel Dieu fit pousser du sol des arbres de toute espèce, agréables à voir et bons à manger, et larbre de la vie au milieu du jardin, et larbre de la connaissance du bien et du mal."
GEN.2.10,Momo mu Edeni i mwaali mwafumine mwenzi waali waleeta kinwanvi mu bukaba. Ozo mwenzi waali wakasanikilemo myenzi ina.,"Un fleuve sortait dÉden pour arroser le jardin, et de là il se divisait en quatre bras."
GEN.2.11,Mwenzi wa mambo uliwakuutua Pishoni. Ozo mwenzi i uzyungulukiile kyalo kya Havila kilimo oro.,"Le nom du premier est Pischon; cest celui qui entoure tout le pays de Havila, où se trouve lor."
GEN.2.12,"Oro ya mu kekio kyalo iwamiisie, kabili i muli butonvu bwa bunu ni mabue a oniksi.",Lor de ce pays est pur; on y trouve aussi le bdellium et la pierre donyx.
GEN.2.13,Mwenzi wa bubili uliwakuutua Gioni. Ozo mwenzi i uzyungulukiile kyalo kya Kushi.,Le nom du second fleuve est Guihon; cest celui qui entoure tout le pays de Cusch.
GEN.2.14,Mwenzi wa butatu uliwakuutua Tigri. Ozo i upitile lya ku kabanga ka Asiria. Ni mwenzi wa buna uliwakuutua Efrati.,"Le nom du troisième est Hiddékel; cest celui qui coule à lorient de lAssyrie. Le quatrième fleuve, cest lEuphrate."
GEN.2.15,Kabili Yawe Leza waamutweme muntu ni kuya kumuteeka mu bukaba bwa mu Edeni kuti aye wasekwila ni kubulabukila.,"LÉternel Dieu prit lhomme, et le plaça dans le jardin dÉden pour le cultiver et pour le garder."
GEN.2.16,"Yawe Leza waamwanine evi, Mazabo onse a ku bimuti bya mu bukaba kuti wa-alia.",LÉternel Dieu donna cet ordre à lhomme: Tu pourras manger de tous les arbres du jardin;.
GEN.2.17,"inga sie mazabo a ku kimuti kya kumana biweme ni bibiipile, kyene tekuti ukalieko. Busiku buwaakalia mazabo a ku keki kimuti, kisinka waakafua.","mais tu ne mangeras pas de larbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras."
GEN.2.18,"Kabili Yawe Leza waalandile evi, Muntu tapalile kuya waikeele bunke bwakue. Ndikumukitila mukwasi amupalile.",LÉternel Dieu dit: Il nest pas bon que lhomme soit seul; je lui ferai une aide semblable à lui.
GEN.2.19,"Yawe Leza waabuulile bulongo ni kubumba kubalua nama wa mu kisonso, ni kubalua kyoni kya mu lweleele ni kumutwalila muntu, evi Leza amone vi-alikubiinika meena. Kubalua liina lyainikilue kilengua kikose, i lyaali liina lyakyo.","LÉternel Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel, et il les fit venir vers lhomme, pour voir comment il les appellerait, et afin que tout être vivant portât le nom que lui donnerait lhomme."
GEN.2.20,"Muntu wainikile meena a nama ya kuteekua ni meena a byoni pamo ni meena a nama ya mu kisonso, inzi pa bebi byonse muntu taamwenepo mukwasi amupalile.","Et lhomme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais, pour lhomme, il ne trouva point daide semblable à lui."
GEN.2.21,"Yawe Leza waamuoniizie muntu tulo tukata. Lu-aali waonene, waamusomwenemo lubali lumo ni pa kyamba walinghaniapo munofu.","Alors lÉternel Dieu fit tomber un profond sommeil sur lhomme, qui sendormit; il prit une de ses côtes, et referma la chair à sa place."
GEN.2.22,"Yawe Leza waakitile mwanakazi na lolia lubali lu-aasomwene ku muntu mwalalume, ni kumutwala ozo mwanakazi kuli mwalalume.","LÉternel Dieu forma une femme de la côte quil avait prise de lhomme, et il lamena vers lhomme."
GEN.2.23,"Mwalalume waalandile evi, Ozu i kikuza kya mu bikuza byane, ni munofu wa mu munofu wane. Evi alikuya wakuutua mwanakazi pantu afumiiziwe ku mwalalume.","Et lhomme dit: Voici cette fois celle qui est os de mes os et chair de ma chair! On lappellera femme, parce quelle a été prise de lhomme."
GEN.2.24,"Ni pakako, kubalua mwalalume waakaba wasia se ni nghina ni kuya kulundana na mukazi wakue, ni bo baakaaluka mubili umo.","Cest pourquoi lhomme quittera son père et sa mère, et sattachera à sa femme, et ils deviendront une seule chair."
GEN.2.25,"Mwalalume ni mukazi wakue baali bali sie bwamba, inzi tebaali baunvua busoni.","Lhomme et sa femme étaient tous deux nus, et ils nen avaient point honte."
GEN.3.1,"Kizoka kyaali kyakengeele kukila nama yonse ya mu kisonso yaalengelue na Yawe Leza. Kizoka kyaamwipuziizie mwanakazi, Ati, ni kiine Leza waamikaniizie kulia mazabo a ku bimuti byonse bya mu bukaba.","Le serpent était le plus rusé de tous les animaux des champs, que lÉternel Dieu avait faits. Il dit à la femme: Dieu a-t-il réellement dit: Vous ne mangerez pas de tous les arbres du jardin?."
GEN.3.2,"Mwanakazi wa-asukile evi, Mazabo a ku bimuti byonse bya mu bukaba kuti twalia.",La femme répondit au serpent: Nous mangeons du fruit des arbres du jardin.
GEN.3.3,"inzi Leza waalandile nangue, Tekuti mukalie buzabo bwa ku kimuti kili pa bukata bwa bukaba, anzia kukumiako, pantu nga mwaakafua.","Mais quant au fruit de larbre qui est au milieu du jardin, Dieu a dit: Vous nen mangerez point et vous ny toucherez point, de peur que vous ne mouriez."
GEN.3.4,"Kizoka kyaamwasukile mwanakazi, Mwandi, temukafua.",Alors le serpent dit à la femme: Vous ne mourrez point;.
GEN.3.5,"Pantu Leza amanine nangue busiku bumwakaba kulia azo mazabo, menso enu akaba kwizuka, ni mwe mwakaba kwaluka nga Leza mu kumana biweme ni bibiipile.","mais Dieu sait que, le jour où vous en mangerez, vos yeux souvriront, et que vous serez comme des dieux, connaissant le bien et le mal."
GEN.3.6,"Mwanakazi lu-aamwene nangue mazabo a ku kekio kimuti aali aweme kuliiwa, ni aweme mu kumoneka, kabili apalilile kumuletela mulangue, waakunwineko buzabo, walia, wamupeelako mulume wakue, ni ye walia.","La femme vit que larbre était bon à manger et agréable à la vue, et quil était précieux pour ouvrir lintelligence; elle prit de son fruit, et en mangea; elle en donna aussi à son mari, qui était auprès delle, et il en mangea."
GEN.3.7,"Penka papo, menso abo bonse babili aizuka ni kwinika nangue baali bali bwamba. Kupwako, babamba kutunga kumo maani a kimuti kya miku kuti bavwale.","Les yeux de lun et de lautre souvrirent, ils connurent quils étaient nus, et ayant cousu des feuilles de figuier, ils sen firent des ceintures."
GEN.3.8,"Mwalalume ni mwanakazi lubaunvwile Yawe Leza walimukwenda mu bukaba musita wa kyungulo kwasyataleele, baamufyeme mu bimuti bya mu bukaba.","Alors ils entendirent la voix de lÉternel Dieu, qui parcourait le jardin vers le soir, et lhomme et sa femme se cachèrent loin de la face de lÉternel Dieu, au milieu des arbres du jardin."
GEN.3.9,"Yawe Leza waamukuutile muntu ni kumwipuzia, Uli pi.","Mais lÉternel Dieu appela lhomme, et lui dit: Où es-tu?."
GEN.3.10,"Ni ye wa-asukile evi, Naunvwanga lizui lyobe mu bukaba, ni ne natiinanga pantu ngiile nali bwamba, kusyali kufyama.","Il répondit: Jai entendu ta voix dans le jardin, et jai eu peur, parce que je suis nu, et je me suis caché."
GEN.3.11,"Leza waamwipuziizie evi, Eba! Nani wakwananga nangue wiile wali bwamba? Eba! Walyanga buzabo bwa ku kimuti kinakikukaania kuliako.",Et lÉternel Dieu dit: Qui ta appris que tu es nu? Est-ce que tu as mangé de larbre dont je tavais défendu de manger?.
GEN.3.12,"Mwaalume wa-asukile evi, Ozu mwanakazi uwan'mpeele i wan'mpelanga buzabo, ni ne nalia.","Lhomme répondit: La femme que tu as mise auprès de moi ma donné de larbre, et jen ai mangé."
GEN.3.13,"Kabili Yawe Leza waamwipuziizie mwanakazi, Ati, wakitilangaki evio? Mwanakazi wa-asukile evi, Kizoka i kyan'mbeepanga, ni ne nalia.","Et lÉternel Dieu dit à la femme: Pourquoi as-tu fait cela? La femme répondit: Le serpent ma séduite, et jen ai mangé."
GEN.3.14,"Ni pakako, Yawe Leza waakyanine kizoka nangue, Pantu wakitanga evio, watiipua pa nama yonse iliyateekua ni ya mu kisonso. Kutula lelo, waya wasyaendela na kavumo ni kuya walia lufunko nsiku yonse ya bukose bobe.","LÉternel Dieu dit au serpent: Puisque tu as fait cela, tu seras maudit entre tout le bétail et entre tous les animaux des champs, tu marcheras sur ton ventre, et tu mangeras de la poussière tous les jours de ta vie."
GEN.3.15,"Ndikubiika bulwani pakati kobe ni mwanakazi, ni pakati ka luvyalo lobe ni lwa mwanakazi. Luvyalo lwa mwanakazi lwaakasyesyeta mutue obe, ni we waakasuma kasinghino kakue.","Je mettrai inimitié entre toi et la femme, entre ta postérité et sa postérité: celle-ci técrasera la tête, et tu lui blesseras le talon."
GEN.3.16,"Kabili Yawe waamwanine mwanakazi nangue, Naakakizia maavia mu kuvyala kobe, pa kuvyala baana waakaba wakisua. Kutona kobe kwaakaba kwali ku mulume obe, kabili i waakaba wakuteekele.","Il dit à la femme: Jaugmenterai la souffrance de tes grossesses, tu enfanteras avec douleur, et tes désirs se porteront vers ton mari, mais il dominera sur toi."
GEN.3.17,"Yawe waamwanine mwalalume nangue, Pantu waitabilanga bintu byalandanga mukazi obe ni kulia buzabo bwa ku kimuti kinakikukaania kuliako, bulongo bwatiipua pa mulandu obe. Mu bukose bobe bonse waakaba wabombesia na maka pa kusanga bilio.","Il dit à lhomme: Puisque tu as écouté la voix de ta femme, et que tu as mangé de larbre au sujet duquel je tavais donné cet ordre: Tu nen mangeras point! Le sol sera maudit à cause de toi. Cest à force de peine que tu en tireras ta nourriture tous les jours de ta vie."
GEN.3.18,"Mu bulongo mwaakaba mwamena sie lubamba ni myunga, kabili waakaba walia saasa wa mu kisonso.","il te produira des épines et des ronces, et tu mangeras de lherbe des champs."
GEN.3.19,"Mu kubombesia ni mu kusulwila kobe i muwaakaba wasangila bilio, mpaka paukabwelela ku bulongo kuwaafumine. Uli lufunko, waakabwelela ku lufunko.","Cest à la sueur de ton visage que tu mangeras du pain, jusquà ce que tu retournes dans la terre, doù tu as été pris; car tu es poussière, et tu retourneras dans la poussière."
GEN.3.20,"Mwalalume, liina lyakue Adamu, waamwinikile mukazi wakue liina lya Eva, pantu ozo i wa-alukile nghina wa bantu bonse.",Adam donna à sa femme le nom dÈve: car elle a été la mère de tous les vivants.
GEN.3.21,Kabili Yawe Leza waabakitiile bivwalo bya mpapa ya nama ni kubavwika.,"LÉternel Dieu fit à Adam et à sa femme des habits de peau, et il les en revêtit."
GEN.3.22,"Kabili Yawe Leza waalandile evi, Evi muntu wa-aluka nga fwefue mu kumana biweme ni bibiipile. Ni pakako, tapalile kupeelua nsambu ya kukununa buzabo bwa ku kimuti kya bukose ni kulia evi akeekalilila muyayaya.","LÉternel Dieu dit: Voici, lhomme est devenu comme lun de nous, pour la connaissance du bien et du mal. Empêchons-le maintenant davancer sa main, de prendre de larbre de vie, den manger, et de vivre éternellement."
GEN.3.23,"Yawe Leza waamukumbile Adamu mu bukaba bwa mu Edeni, evi aye alime mu bulongo bu-abumbiilueko.","Et lÉternel Dieu le chassa du jardin dÉden, pour quil cultivât la terre, doù il avait été pris."
GEN.3.24,"Leza lu-aamukumbile Adamu mu bukaba, waabiikile makerubi pa nghingililo ya ku kabanga ka bukaba bwa mu Edeni, ni kipanga kya mulilo kyaali kyazyunguluka konse konse kusakilila nzila ya kuya ku kimuti kya bukose.","Cest ainsi quil chassa Adam; et il mit à lorient du jardin dÉden les chérubins qui agitent une épée flamboyante, pour garder le chemin de larbre de vie."
GEN.4.1,"Adamu waaleele ni mukazi wakue Eva, ni ye waimitile ni kuvyala mwana mwalalume. Eva waalandile evi, Ozu mwana napeelua na Yawe. Ni pakako, waamwinikile Kaini.","Adam connut Ève, sa femme; elle conçut, et enfanta Caïn et elle dit: Jai formé un homme avec laide de lÉternel."
GEN.4.2,"Pa kyamba, waavyele unge mwana mwalalume ni kumwinika Abeli. Abeli waali wali kateeka wa mikooko, inzi Kaini waali mulimi.","Elle enfanta encore son frère Abel. Abel fut berger, et Caïn fut laboureur."
GEN.4.3,Busiku bumo Kaini waatwele ngelelo ya buzombozi kuli Yawe.,"Au bout de quelque temps, Caïn fit à lÉternel une offrande des fruits de la terre;."
GEN.4.4,"Abeli ni ye waatwele libeli wa pa mikooko yakue, waipaya ni kufumiako munofu unonene kuti ube ngelelo. Yawe waawamiinue na Abeli pamo ni ngelelo yakue.","et Abel, de son côté, en fit une des premiers-nés de son troupeau et de leur graisse. LÉternel porta un regard favorable sur Abel et sur son offrande;."
GEN.4.5,"inzi taawaamiinue na Kaini pamo ni ngelelo yakue. Ni pakako, Kaini waafiitiisiwe mpaka ni pa menso pakalabana.","mais il ne porta pas un regard favorable sur Caïn et sur son offrande. Caïn fut très irrité, et son visage fut abattu."
GEN.4.6,"Yawe waamwipuziizie Kaini, Eba, ale wafiitiluaki? Kabili wakalabaniiziaki pa menso?.","Et lÉternel dit à Caïn: Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?."
GEN.4.7,"Mona we Kaini uwamyenge, nga wawaminwanga. Inzi pantu waluvyanga, kibalo kikupembeele kyalimukukeba ku kuteeka. Inzi upalile kukyanzia.","Certainement, si tu agis bien, tu relèveras ton visage, et si tu agis mal, le péché se couche à la porte, et ses désirs se portent vers toi: mais toi, domine sur lui."
GEN.4.8,"Kaini waamwanine mwalawakue Abeli nangue, We mwalawane, twende mu kisonso. Lubaafikile mu kisonso, Kaini waamwalukiile Abeli ni kumwipaya.","Cependant, Caïn adressa la parole à son frère Abel; mais, comme ils étaient dans les champs, Caïn se jeta sur son frère Abel, et le tua."
GEN.4.9,"Yawe waamwipuziizie Kaini, Mwalaobe ali pi? Wa-asukile nangue, Ne nsimanine. Eba! Nene i musungi wakua mwalawane.",LÉternel dit à Caïn: Où est ton frère Abel? Il répondit: Je ne sais pas; suis-je le gardien de mon frère?.
GEN.4.10,"Kabili waamwipuziizie evi, Wakitangaki? Mulopa wakua mwalaobe uwazuumiizyanga pa bulongo ulimukundilila.",Et Dieu dit: Quas-tu fait? La voix du sang de ton frère crie de la terre jusquà moi.
GEN.4.11,Evi wewe watiipua ni kukumbua pa bulongo bwaizulanga kanua kakue ni kupokelela mulopa wakua mwalaobe waazuumiiwanga na kuboko kobe.,"Maintenant, tu seras maudit de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère."
GEN.4.12,"Paukalima mu bulongo, tebukakuleetela kibwezia, inzi waakaba wali kanukunta mwaya kyalo.","Quand tu cultiveras le sol, il ne te donnera plus sa richesse. Tu seras errant et vagabond sur la terre."
GEN.4.13,"Kaini waamwanine Yawe, Kukanda kuwankanda kwangaviizia, nsivinda kusipikizia.",Caïn dit à lÉternel: Mon châtiment est trop grand pour être supporté.
GEN.4.14,"Mona wankumba mu keno kyalo ni ku menso obe. Evi naakaba nali sie kanukunta mwaya kyalo, ni onse waakan'mona, waakangipaya.","Voici, tu me chasses aujourdhui de cette terre; je serai caché loin de ta face, je serai errant et vagabond sur la terre, et quiconque me trouvera me tuera."
GEN.4.15,"Yawe waamwanine Kaini, Onse waakakwipaya, waakalandwilua nghendo kilooba. Ni pakako, Yawe waamubiikile kalangi, evi onse waakamumona tekuti akamwipaye.","LÉternel lui dit: Si quelquun tuait Caïn, Caïn serait vengé sept fois. Et lÉternel mit un signe sur Caïn pour que quiconque le trouverait ne le tuât point."
GEN.4.16,"Kaini waafumine ku menso akua Yawe ni kuya kwikala mu kyalo kya Nodi, nkendo ili ku kabanga ka Edeni.","Puis, Caïn séloigna de la face de lÉternel, et habita dans la terre de Nod, à lorient dÉden."
GEN.4.17,"Kaini waaleele ni mukazi wakue, ni ye waimitile ni kuvyala mwana mwalalume ni kumwinika Enoki. Kaini waakuulile muzi ni kuwinika liina lya mwana wakue mwalalume.","Caïn connut sa femme; elle conçut, et enfanta Hénoc. Il bâtit ensuite une ville, et il donna à cette ville le nom de son fils Hénoc."
GEN.4.18,"Enoki waavyele mwana mwalalume ni kumwinika Iradi, Iradi waavyele Mehuyaeli, Mehuyaeli waavyele mwana mwalalume ni kumwinika Metushaeli, Metushaeli waavyele Lameki.","Hénoc engendra Irad, Irad engendra Mehujaël, Mehujaël engendra Metuschaël, et Metuschaël engendra Lémec."
GEN.4.19,"Lameki waupile banakazi babili, umo waali wakuutua Ada, ni unge waali wakuutua Zila.","Lémec prit deux femmes: le nom de lune était Ada, et le nom de lautre Tsilla."
GEN.4.20,Ada waavyele Yabali waali kikolue wa bantu baali baikala mu maema ni kuya bali bateeki ba nama.,Ada enfanta Jabal: il fut le père de ceux qui habitent sous des tentes et près des troupeaux.
GEN.4.21,Mwalawakue waali wakuutua Yubali. Ozo mwalawakue i kikolue wa balia baali balizia bilimba ni mimpyeta.,Le nom de son frère était Jubal: il fut le père de tous ceux qui jouent de la harpe et du chalumeau.
