verse_key,yaf,fr
MAT.1.12,"Amana kunima dya kukota mu kinzenza ku Babiloni, Yekonya kábuta Salasyedi; Salasyedi kábuta Zolubabedi;.","Après la déportation à Babylone, Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;."
MAT.1.13,"Zolubabedi kábuta Abiwudi, Abiwudi kábuta Edyakimi; Edyakimi kábuta Azolu.",Zorobabel engendra Abiud; Abiud engendra Éliakim; Éliakim engendra Azor;.
MAT.1.14,Azolu kábuta Satoki; Satoki kábuta Akimi; Akimi kábuta Ediwudi;.,Azor engendra Sadok; Sadok engendra Achim; Achim engendra Éliud;.
MAT.1.15,Ediwudi kábuta Eleyazadi; Eleyazadi kábuta Matani; Matani kábuta Yakobi;.,Éliud engendra Éléazar; Éléazar engendra Matthan; Matthan engendra Jacob;.
MAT.1.16,"Yakobi kábuta Yozefu, yakala dya Madiya, kwena Madiya kwábutuka Yesu, wuna bisi tela Kidisitu.","Jacob engendra Joseph, lépoux de Marie, de laquelle est né Jésus, qui est appelé Christ."
MAT.1.17,"Disongidila, makula kumi yi maya máhita, tukidila Bulahami tii yi kuna Tavidi, amana makula kumi yi maya hika máhyoka, tukidila Tavidi tii yi kuna kinzenza kya ku Babiloni, amana makula kumi yi maya máhyoka tukidila mu kinzenza kya ku Babiloni tii yi kuna Kidisitu.","Il y a donc en tout quatorze générations depuis Abraham jusquà David, quatorze générations depuis David jusquà la déportation à Babylone, et quatorze générations depuis la déportation à Babylone jusquau Christ."
MAT.1.18,"Amana tala buna lwákadila lubutuku lwa Yesu Kidisitu. Madiya, ngudi wandi, kákala mbayi wa Yozefu; ku thwala ya kikhunda kya lutu lwa bawu, wádimona ku vumu mu ngolu za Kitembu kyatoma.","Voici de quelle manière arriva la naissance de Jésus-Christ. Marie, sa mère, ayant été fiancée à Joseph, se trouva enceinte, par la vertu du Saint-Esprit, avant quils eussent habité ensemble."
MAT.1.19,"Amana Yozefu, yakala dyandi , kakala wabukheti yi wasungama amana kátondaku kumuyukisa tsoni ha mbasi, kahanga, wubongi dibanza dya kumuyambula mu kitsweki.","Joseph, son époux, qui était un homme de bien et qui ne voulait pas la diffamer, se proposa de rompre secrètement avec elle."
MAT.1.20,"Bwosu kákalabwa banza, hanga wanzyo wa Pfumu wumulubwakidi mu ndosi amana wuzimbudi: «Yozefu, mwana wa Tavidi, kalaku yi bweya bwa kutambula, Madiya, hanga mukhetu waku, mukuma kifundu kya mwana wuna kayimiti, kwena Kitembu Kyatoma kitukini.","Comme il y pensait, voici, un ange du Seigneur lui apparut en songe, et dit: Joseph, fils de David, ne crains pas de prendre avec toi Marie, ta femme, car lenfant quelle a conçu vient du Saint-Esprit;."
MAT.1.21,"Amana kabúta mwana mosi wa yakala, amana wamutediki mu khumbu ya Yesu , mukuma yandi wahúlula kikanda kyandi ku masumu mandi.».","elle enfantera un fils, et tu lui donneras le nom de Jésus; cest lui qui sauvera son peuple de ses péchés."
MAT.1.22,Moosu mana máhangama ndangu malungila mana kázimbula Pfumu mu nzila ya mbikudi:.,Tout cela arriva afin que saccomplît ce que le Seigneur avait annoncé par le prophète:.
MAT.1.23,"«Ndumba wakonda kedi zaya yakala, kayímita vumu amana kabúta mwana mosi wa yakala, amana bamútediki mu khumbu ya Manwedi.» Disongidila: «Nzambi kenina ha kimosi yi betu.».","Voici, la vierge sera enceinte, elle enfantera un fils, Et on lui donnera le nom dEmmanuel, ce qui signifie Dieu avec nous."
MAT.1.24,"Mu kutokama kwandi, Yozefu wáhanga buna kámulongikila wanzyo wa Pfumu, amana wátambula mukhetu wandi.","Joseph sétant réveillé fit ce que lange du Seigneur lui avait ordonné, et il prit sa femme avec lui."
MAT.1.25,"Kaasi kámuzayaku lutu tii yi kuna kabutila mwana mosi wa yakala, wuna káheka yandi khumbu ya Yesu.","Mais il ne la connut point jusquà ce quelle eût enfanté un fils, auquel il donna le nom de Jésus."
MAT.2.1,"Amana kunima lubutuku lwa Yesu, ku Betelemi dya Yuteya, mu tangwa dya kyamvu Eloti, hanga banganga ba bathetimbwa bátuka ku Kola, bisa tula ku Yelusalemi;.","Jésus étant né à Bethléhem en Judée, au temps du roi Hérode, voici des mages dOrient arrivèrent à Jérusalem."
MAT.2.2,"amana bázimbula: «Akweti kenina kyamvu wa Bayuta wuna wubutukini? Mukuma tumonikini katumbwa kandi kuna Kola, amana thwisi fukama ku thwala ya yandi.».","et dirent: Où est le roi des Juifs qui vient de naître? Car nous avons vu son étoile en Orient, et nous sommes venus pour ladorer."
MAT.2.3,"Amana mu kuyuka musamu wuna, kyamvu Eloti wákituka yangalakanu, yi Yelusalemi dyosu kumosi yi yandi.","Le roi Hérode, ayant appris cela, fut troublé, et tout Jérusalem avec lui."
MAT.2.4,"Amana wákhokisa bambuta ba banganga Nzambi boosu yi balongi ba mitsiku mya kanda, mu kubahyula keti kubiki kafwani kubutwakila Kidisitu?.","Il assembla tous les principaux sacrificateurs et les scribes du peuple, et il sinforma auprès deux où devait naître le Christ."
MAT.2.5,"Amana bawu bámuzimbwala: «Ku Betelemi dya Yuteya, mukuma tala mana másonama kwena mbikudi:».",Ils lui dirent: A Bethléhem en Judée; car voici ce qui a été écrit par le prophète:.
MAT.2.6,"Amana ngeyi, Betelemi, mulambu wa Yuteya, mu kyedika, weku wa khunda muna kati dya mbanza za mbuta za Yuteya; mukuma mwena ngeyi mwalúbwakila mutwadisi mosi wuna wakála muhungudi wa Kiseledi, kanda dyama.","Et toi, Bethléhem, terre de Juda, Tu nes certes pas la moindre entre les principales villes de Juda, Car de toi sortira un chef Qui paîtra Israël, mon peuple."
MAT.2.7,«Hanga Eloti wutedisi banganga ba bathetimbwa ku phengu amana wázikisa kwena bawu tangwa dya kumonika kwa katumbwa.».,"Alors Hérode fit appeler en secret les mages, et senquit soigneusement auprès deux depuis combien de temps létoile brillait."
MAT.2.8,"Amana buna kábatuma ku Betelemi wuzimbudi: «Ndenu lwenda zikisa tsikiningi ya mambu kikuma kya mwana, amana, tangwa lwamúsengumuna, alwisa nzayisa, ndangu meni phi yisa fukama ku thwala yandi.».","Puis il les envoya à Bethléhem, en disant: Allez, et prenez des informations exactes sur le petit enfant; quand vous laurez trouvé, faites-le-moi savoir, afin que jaille aussi moi-même ladorer."
MAT.2.9,"Amana kunima dya kuyuka kyamvu, bénda. Kinga katumbwa kana bámona ku Kola wábatekidila kuna thwala; buna katula hana thandu ya homa hana kákala mwana, hanga wutelami.","Après avoir entendu le roi, ils partirent. Et voici, létoile quils avaient vue en Orient marchait devant eux jusquà ce quétant arrivée au-dessus du lieu où était le petit enfant, elle sarrêta."
MAT.2.10,"Amana buna bámona katumbwa, báyuka kyesi kya lawu.","Quand ils aperçurent létoile, ils furent saisis dune très grande joie."
MAT.2.11,"Bákota muna nzu, bámona mwana yi Madiya ngudi wandi, bábwa muna malu mandi, kikuma kya kufukama ku thwala yandi, kunima bákangula mafuka ma bawu amana bámulambwala makabu: wolu, pfwabidi yi mila .","Ils entrèrent dans la maison, virent le petit enfant avec Marie, sa mère, se prosternèrent et ladorèrent; ils ouvrirent ensuite leurs trésors, et lui offrirent en présent de lor, de lencens et de la myrrhe."
MAT.2.12,"Kunima, Nzambi wábalwengisa mu ndosi ni bavutwakilaku hika kwena Eloti; hanga, bávutwakila ku nzila ya hika ku tsi ya bawu.","Puis, divinement avertis en songe de ne pas retourner vers Hérode, ils regagnèrent leur pays par un autre chemin."
MAT.2.13,"Kunima kukwenda kwa bawu, wanzyo wa Pfumu wámonika kwena Yozefu, mu ndosi amana wámuzimbwala: «Telama, bonga mwana yi ngudi wandi, amana tina ku Ngiphiti, zakala kwakuna tii yi kuna yikúzimbwala mu kuvutwakisa. Mukuma ka thama ku, Eloti kasánda mwana mu kumuhondisa.».","Lorsquils furent partis, voici, un ange du Seigneur apparut en songe à Joseph, et dit: Lève-toi, prends le petit enfant et sa mère, fuis en Égypte, et restes-y jusquà ce que je te parle; car Hérode cherchera le petit enfant pour le faire périr."
MAT.2.14,"Yozefu wátelama, wábonga muna phipha mwana yi ngudi wandi, watina ku Ngiphiti.","Joseph se leva, prit de nuit le petit enfant et sa mère, et se retira en Égypte."
MAT.2.15,Hanga wuzakadini kwakuna tii yi kuna lufwa lwa Eloti. Mambu mana másalama ndangu malungila mana kázimbula Pfumu mwena mbikudi: «Yimútela mwana wama kalubuka ku Ngiphiti .».,"Il y resta jusquà la mort dHérode, afin que saccomplît ce que le Seigneur avait annoncé par le prophète: Jai appelé mon fils hors dÉgypte."
MAT.2.16,"Tangwa kádimona Eloti ni bamuhuni kwena banganga ba bathetimbwa, nganzi zandi zátombuka lawu. Wátuma bahonda bana ba bayakala boosu, yandikila mvula zodi yi kuna banda, bana bákala ku Betelemi yi kuna milambu myandi; bwosu tangwa dina kádizikisila kwena banganga ba bathetimbwa.","Alors Hérode, voyant quil avait été joué par les mages, se mit dans une grande colère, et il envoya tuer tous les enfants de deux ans et au-dessous qui étaient à Bethléhem et dans tout son territoire, selon la date dont il sétait soigneusement enquis auprès des mages."
MAT.2.17,Kinga bwabuna málungila mana mázonzama kwena mbikudi Yelemiya:.,"Alors saccomplit ce qui avait été annoncé par Jérémie, le prophète:."
MAT.2.18,«Ndinga mosi yibati yukalakana ku hata dya Lama; bidilu yi makana ma lawu: Lakhedi wuna wubati dila bana bandi; katondiku ni bamuhomba kikuma bafini .».,"On a entendu des cris à Rama, Des pleurs et de grandes lamentations: Rachel pleure ses enfants, Et na pas voulu être consolée, Parce quils ne sont plus."
MAT.2.19,"Kunima lufwa lwa Eloti, hanga, wanzyo wa Pfumu wámonika mu ndosi kwena Yozefu, muna Ngiphiti.","Quand Hérode fut mort, voici, un ange du Seigneur apparut en songe à Joseph, en Égypte."
MAT.2.20,"Wámuzibwala: «Telama , bonga mwana yi ngudi wandi, amana vutuka muna tsi ya Kiseledi, mukuma babana bakala sanda moya wa mwana, bamani fwa.».","et dit: Lève-toi, prends le petit enfant et sa mère, et va dans le pays dIsraël, car ceux qui en voulaient à la vie du petit enfant sont morts."
MAT.2.21,"Amana Yozefu wátelama, wábonga mwana yi ngudi wandi wávutuka ku tsi ya Kiseledi.","Joseph se leva, prit le petit enfant et sa mère, et alla dans le pays dIsraël."
MAT.2.22,"Kaasi, ha káyuka ni Alakelawusu wuyadi ku Yuteya ha kifulu kya Eloti tata wandi; wáyuka bweya mu kuvutukakwa; bámulwengisa hika mu ndosi amana wáyombuka ku milambu mya Ngadidi.","Mais, ayant appris quArchélaüs régnait sur la Judée à la place dHérode, son père, il craignit de sy rendre; et, divinement averti en songe, il se retira dans le territoire de la Galilée."
MAT.2.23,"Hanga, wisa kala muna mbanza mosi bisi tela, Nazaleti, ndangu malungila mana mázonzama mwena bambikudi: «bamútediki Mwisi Nazaleti.».","et vint demeurer dans une ville appelée Nazareth, afin que saccomplît ce qui avait été annoncé par les prophètes: Il sera appelé Nazaréen."
MAT.3.1,"Kunima mvula za lawu, wátula Yowani Mubotiki, kakala samuna muna nganga ya Yuteya amana wekina zimbula:.","En ce temps-là parut Jean-Baptiste, prêchant dans le désert de Judée."
MAT.3.2,"«Balumunenu mbundu, mukuma Kipfumu kya mazilu kibwesukini .».","Il disait: Repentez-vous, car le royaume des cieux est proche."
MAT.3.3,"Kinga yandu kenina wuna kázonzila mbikudi Yesaya: «Ndinga mosi yibati kalunga muna nganga: Yidikenu nzila ya Pfumu , sungikenu mikinda myandi.».","Jean est celui qui avait été annoncé par Ésaïe, le prophète, lorsquil dit: Cest ici la voix de celui qui crie dans le désert: Préparez le chemin du Seigneur, Aplanissez ses sentiers."
MAT.3.4,Yandi Yowani kákala yi muledi wa mwika mya kamela amana kakala vwata mukaba wa tsibu muna mbunda; kakala dya baphasu yi bwiki bwa mu tseki .,"Jean avait un vêtement de poils de chameau, et une ceinture de cuir autour des reins. Il se nourrissait de sauterelles et de miel sauvage."
MAT.3.5,"Bisi Yelusalemi yi bisi Yuteya yi bisi mulambu wuna wosu wa kinzunga kya Yolutani, bakala kwenda kwena yandi.","Les habitants de Jérusalem, de toute la Judée et de tout le pays des environs du Jourdain, se rendaient auprès de lui;."
MAT.3.6,Amana bakala babotika muna nzadi Yolutani bwabuna bákala funguna masumu ma bawu.,"et, confessant leurs péchés, ils se faisaient baptiser par lui dans le fleuve du Jourdain."
MAT.3.7,"Amana bwosu kámona lawu dya Bafwadisi yi Basadise bakala kwisa ku mbotika ya yandi, kikuma kya kubotama; amana wubazimbwadini: «Mbandu ya masawa! Nati wululongisidi mu kutina kyana, khabu za Nzambi zazi zakwísa?.","Mais, voyant venir à son baptême beaucoup de pharisiens et de sadducéens, il leur dit: Races de vipères, qui vous a appris à fuir la colère à venir?."
MAT.3.8,Songilenu mu bibundu bya bukheti ni lusobini bikalulu byenu;.,Produisez donc du fruit digne de la repentance.
MAT.3.9,"amana lubanzaku mu kudizonzilaka: Thwenina yi tata wetu Bulahami . Mukuma, mbati luzimbwala ni Nzambi wufwani, muna matadi mama, kukitula bana ba Bulahami!.",et ne prétendez pas dire en vous-mêmes: Nous avons Abraham pour père! Car je vous déclare que de ces pierres-ci Dieu peut susciter des enfants à Abraham.
MAT.3.10,Amana kisoka kya kusikula kedi kyenina hana sina dya miti: disongidila miti wosu wuna wisiku ha kibundu kya bukheti bakwángawa amana balósawa ku mbawu.,Déjà la cognée est mise à la racine des arbres: tout arbre donc qui ne produit pas de bons fruits sera coupé et jeté au feu.
MAT.3.11,"Meni, mbati lubotika mu mamba, mu kusongila ni lubalumuni mbundu; kaasi wuna wisi kwisa ku manima ma meni, wunduti meni mu ngolu, yeku walunga mu kumuwomuna tsabatu zandi, kalúbotika mu Kitembu kyatoma yi mu mbawu.","Moi, je vous baptise deau, pour vous amener à la repentance; mais celui qui vient après moi est plus puissant que moi, et je ne suis pas digne de porter ses souliers. Lui, il vous baptisera du Saint-Esprit et de feu."
MAT.3.12,"Kenina yi muyungulu hana koku dyandi kikuma kya kuhambula ngenza yi tswala; kasóla ngenza za bukheti, wulumbikiza muna khila, kaasi kayóka tswala mu mbawu yina yisiku zima .».","Il a son van à la main; il nettoiera son aire, et il amassera son blé dans le grenier, mais il brûlera la paille dans un feu qui ne séteint point."
MAT.3.13,Hanga Yesu wutuki ku Ngadidi yi kuna nzadi Yolutani; wenda kwena Yowani ndangu bamubotika kwena yandi.,"Alors Jésus vint de la Galilée au Jourdain vers Jean, pour être baptisé par lui."
MAT.3.14,Yowani wábwisabwa amana wámuzimbwala: «Meni yenina yi mupfunu wa kubotama kwena ngeyi amana ngeyi wisi kwena meni!».,"Mais Jean sy opposait, en disant: Cest moi qui ai besoin dêtre baptisé par toi, et tu viens à moi!."
MAT.3.15,Kaasi Yesu wámuvutwala: «Yambula bwahangama bwabuna mu tangwa dyadi. Mukuma muna phila meni yayina twalúngisila mambu moosu mana kabati lomba Nzambi.» Hanga yandi wutambwasi.,"Jésus lui répondit: Laisse faire maintenant, car il est convenable que nous accomplissions ainsi tout ce qui est juste. Et Jean ne lui résista plus."
MAT.3.16,"Amana buna kábotama Yesu, wálubuka mu mamba. Muna tangwa meni dyadina, mazilu mákanguka: wámona Kitembu wa Nzambi kukulumuka hanga yembi amana wisi hana thandu ya yandi.","Dès que Jésus eut été baptisé, il sortit de leau. Et voici, les cieux souvrirent, et il vit lEsprit de Dieu descendre comme une colombe et venir sur lui."
MAT.3.17,Ndinga mosi yátuka ku zilu yizonzi: «Yandu kenina Mwana wa meni watondama; mwena yandi tsidini kyesi kyama.».,"Et voici, une voix fit entendre des cieux ces paroles: Celui-ci est mon Fils bien-aimé, en qui jai mis toute mon affection."
MAT.4.1,"Hanga Yesu bamunatisi, kwena Kitembu, muna nganga, ndangu bamuhukumuna kwena kiphidi-mutu .","Alors Jésus fut emmené par lEsprit dans le désert, pour être tenté par le diable."
MAT.4.2,"Amana kunima kuzila kudya bilumbu makumaya bya mwini yi phipha makumaya, wáyuka nzala.","Après avoir jeûné quarante jours et quarante nuits, il eut faim."
MAT.4.3,"Amana muhukumuni wisa bwesuka, wámuzimbwala: «Yukani Mwana wa Nzambi wenina, zimbula kwena matadi mama, makituka mapha.».","Le tentateur, sétant approché, lui dit: Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains."
MAT.4.4,"Amana, yandi wámuvutwala: «Tala mana másonama: Mutu kazingilaku mu madya lwesi, kaasi mu ndinga yosu yina yisi lubuka mu munwa wa Nzambi.».","Jésus répondit: Il est écrit: Lhomme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu."
MAT.4.5,"Hanga Kiphidi-Mutu wumunati ku Yelusalemi, mbanza yatoma, wumunenginiki hana kisoka kya mudilu wa nzu ya Nzambi.","Le diable le transporta dans la ville sainte, le plaça sur le haut du temple."
MAT.4.6,"amana wumuzimbwadi: «Yukani Mwana wa Nzambi wenina, tsutsuka ha tsi, mukuma tala mana masonama:» Kahana kwena banzyo bandi miswa kikuma kya ngeyi, amana bakwisa kuyaka muna moku ma bawu, ndangu kitambi kyaku kidikhukulaku ku tadi dimosi.","et lui dit: Si tu es Fils de Dieu, jette-toi en bas; car il est écrit: Il donnera des ordres à ses anges à ton sujet; Et ils te porteront sur les mains, De peur que ton pied ne heurte contre une pierre."
MAT.4.7,"Yesu wumuvutwadi: «Tala mana másonama hika: Wamekaku Pfumu, Nzambi waku.».","Jésus lui dit: Il est aussi écrit: Tu ne tenteras point le Seigneur, ton Dieu."
MAT.4.8,"Kiphidi-mutu wámunata hika ha mongu wa kaleyi lawu, wámusongila bipfumu byosu bya tsi yi khembu ya byawu.","Le diable le transporta encore sur une montagne très élevée, lui montra tous les royaumes du monde et leur gloire."
MAT.4.9,"amana wumuzimbwadi: «Yikuheka bima bina byosu, yuka ni wabwa mu bitambi byama mu kufukama ku thwala meni.».","et lui dit: Je te donnerai toutes ces choses, si tu te prosternes et madores."
MAT.4.10,"Hanga Yesu wumuzimbwadi: «Katuka Satana! Mukuma tala mana másonama: Ku thwala Pfumu, Nzambi waku, lwesi wafúkama amana yandi lwesi wasámbila.».","Jésus lui dit: Retire-toi, Satan! Car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul."
MAT.4.11,Hanga kiphidi-mutu wumusisi. Amana banzyo bábwesuka amana bekina musadila.,"Alors le diable le laissa. Et voici, des anges vinrent auprès de Jésus, et le servaient."
MAT.4.12,"Amana buna káyuka ni Yowani bamulambudi, hanga wáyombuka ku Ngadidi.","Jésus, ayant appris que Jean avait été livré, se retira dans la Galilée."
MAT.4.13,"Amana wákatuka ku Nazaleti, wenda kala ku Kafadinawumu, ku mukinda wa yanga dya mbuta, muna milambu mya Zabuloni yi Nefutadi.","Il quitta Nazareth, et vint demeurer à Capernaüm, située près de la mer, dans le territoire de Zabulon et de Nephthali."
MAT.4.14,Ndangu dyalungila dyambu dina bázimbula mwena mbikudi Yesaya:.,"afin que saccomplît ce qui avait été annoncé par Ésaïe, le prophète:."
MAT.4.15,"«Tsi ya Zabuloni, tsi ya Nefutadi, mukinda wa nzadi, yi kuna sambwa dya Yolutani, Ngadidi ya makanda ma batu!.","Le peuple de Zabulon et de Nephthali, De la contrée voisine de la mer, du pays au delà du Jourdain, Et de la Galilée des Gentils."
MAT.4.16,"Kanda dina dyákala mu phipha, dimoni mutemu wa lawu! Yi kwena bana bázakala mu kinzunga yi mu kivula kya lufwa, mutemu wumosi wumoniki kwena bawu!».","Ce peuple, assis dans les ténèbres, A vu une grande lumière; Et sur ceux qui étaient assis dans la région et lombre de la mort La lumière sest levée."
MAT.4.17,"Tuka tangwa meni dina, Yesu wáyandika kusamuna yi kulonga: «Balumunenu mbundu zenu mukuma Kipfumu kya mazilu kibwesukini!».","Dès ce moment Jésus commença à prêcher, et à dire: Repentez-vous, car le royaume des cieux est proche."
MAT.4.18,"Amana Yesu buna kakala kangala muna mukinda wa yanga dya Ngadidi, wámona baphangi bodi, Simoni, wuna bisi tela Phetelu, yi Andele myaki wandi; bakala losa wanda dimosi muna yanga dya mbuta, mukuma balobi bákala.","Comme il marchait le long de la mer de Galilée, il vit deux frères, Simon, appelé Pierre, et André, son frère, qui jetaient un filet dans la mer; car ils étaient pêcheurs."
MAT.4.19,"Hanga wubazimbwadi: «Alwisa ndanda, amana yilukitula balobi ba batu.».","Il leur dit: Suivez-moi, et je vous ferai pêcheurs dhommes."
MAT.4.20,"Amana bawu, muna mbala mosi, básisa mawanda, benda mulanda.","Aussitôt, ils laissèrent les filets, et le suivirent."
MAT.4.21,"Amana buna kaphusana, wámona baphangi bahika bodi, Zyaki mwana wa Zebeteya yi Yowani, phangi wandi, bákala muna mudimba yi tata wa bawu Zebeteya, bakala yilulula mawanda ma bawu. Yesu wabatela;.","De là étant allé plus loin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean, son frère, qui étaient dans une barque avec Zébédée, leur père, et qui réparaient leurs filets."
MAT.4.22,"Amana bawu muna mbala mosi básisa mudimba yi tata wa bawu, amana bámulanda.","Il les appela, et aussitôt ils laissèrent la barque et leur père, et le suivirent."
MAT.4.23,"Amana kakala kwenda muna Ngadidi yosu; mu kulonga muna nzu za kimvuka za Bayuta za bawu yi kusamuna Musamu wa Bukheti wa Kipfumu kya mazilu, amana kakala belula maladi moosu yi bimbefu byosu mu kati dya batu.","Jésus parcourait toute la Galilée, enseignant dans les synagogues, prêchant la bonne nouvelle du royaume, et guérissant toute maladie et toute infirmité parmi le peuple."
MAT.4.24,"Amana khululuka ya yandi yámwangana mu mulambu wosu wa Sidiya. Amana bakala munatina batu boosu babana bákala bela, babana bákala yi makhasi ma mutindu yi mutindu yi miyangu mya bitembu bya mbi yi bakwa kikhoni, yi khonzu, amana wubabeludi.","Sa renommée se répandit dans toute la Syrie, et on lui amenait tous ceux qui souffraient de maladies et de douleurs de divers genres, des démoniaques, des lunatiques, des paralytiques; et il les guérissait."
MAT.4.25,Milumba-lumba mya batu bakala mulanda; tuka mu Ngadidi yi kuna mulambu wa Mbanza Kumi yi ku Yelusalemi yi ku Yuteya yi ku sambwa dikwawu dya Yolutani.,"Une grande foule le suivit, de la Galilée, de la Décapole, de Jérusalem, de la Judée, et dau delà du Jourdain."
MAT.5.1,"Amana tangwa kámona milumba-lumba mya batu, wátombuka ku mongu, amana buna kázakala, balonguki bandi bábwesuka kwena yandi.","Voyant la foule, Jésus monta sur la montagne; et, après quil se fut assis, ses disciples sapprochèrent de lui."
MAT.5.2,"amana mu kukangula munwa wandi, wáyandika kubalonga bwabu:.","Puis, ayant ouvert la bouche, il les enseigna, et dit:."
MAT.5.3,"«Kyesi kwena bana bena baphutu mu kitembu, mukuma Kipfumu kya mazilu kyenina kwena bawu!.","Heureux les pauvres en esprit, car le royaume des cieux est à eux!."
MAT.5.4,"Kyesi kwena bana bisi dila, mukuma bakwisa bahomba!.","Heureux les affligés, car ils seront consolés!."
MAT.5.5,"Kyesi kwena bana benina balembama, mukuma bavwáya tsi.","Heureux les débonnaires, car ils hériteront la terre!."
MAT.5.6,"Kyesi kwena bana benina yi nzala yi kihwinya kya masonga, mukuma bawu bayúkuta!.","Heureux ceux qui ont faim et soif de la justice, car ils seront rassasiés!."
MAT.5.7,"Kyesi kwena bana bisi yukila bakwawu kyadi, mukuma Nzambi kyadi kabáyukila!.","Heureux les miséricordieux, car ils obtiendront miséricorde!."
MAT.5.8,"Kyesi kwena bana benina yi mbundu ya hedila, mukuma bawu bamóna Nzambi!.","Heureux ceux qui ont le cœur pur, car ils verront Dieu!."
MAT.5.9,"Kyesi kwena bana bisi yadisa ngemba, mukuma bawu babátela bana ba Nzambi!.","Heureux ceux qui procurent la paix, car ils seront appelés fils de Dieu!."
MAT.5.10,"Kyesi kwena bana bisi nyokuna kikuma kya masonga, mukuma Kipfumu kya mazilu kyenina kwena bawu!.","Heureux ceux qui sont persécutés pour la justice, car le royaume des cieux est à eux!."
MAT.5.11,Kyesi lwenina kyawu mu tangwa bisi lutukwana amana bisi lunyokuna amana bisi luhunina misamu mya mutindu yi mutindu kikuma kya meni.,"Heureux serez-vous, lorsquon vous outragera, quon vous persécutera et quon dira faussement de vous toute sorte de mal, à cause de moi."
MAT.5.12,"Sangwalenu, amana kalenu mu kyesi, mukuma lufutu lwenu lwa lawu lwenina mu mazilu, mukuma, yi bwabuna phi bábanyokuna bambikudi bana balutekidila.».","Réjouissez-vous et soyez dans lallégresse, parce que votre récompense sera grande dans les cieux; car cest ainsi quon a persécuté les prophètes qui ont été avant vous."
MAT.5.13,"«Benu lwenina mungwa wa tsi. Kaasi yukani mungwa wekina laku-laku, yi biki balenda vutwalawa mutomu? Wa phamba, weku hika mupfunu, ho kakulosawoku ku nzila batu badyatikisawa .","Vous êtes le sel de la terre. Mais si le sel perd sa saveur, avec quoi la lui rendra-t-on? Il ne sert plus quà être jeté dehors, et foulé aux pieds par les hommes."
MAT.5.14,«Benu lwenina kyesesi kya tsi. Mbanza mosi bátunga ha thandu ya mongu yifwaniku kuswamana .,Vous êtes la lumière du monde. Une ville située sur une montagne ne peut être cachée;.
MAT.5.15,"Amana bisiku lemisa mwinda ndangu bafidingawa ku tsya nzungu ya tuma; kaasi bisiwa sya ha muzanga, amana wulemi ndangu wayinika boosu bana benina mu nzu.","et on nallume pas une lampe pour la mettre sous le boisseau, mais on la met sur le chandelier, et elle éclaire tous ceux qui sont dans la maison."
