fra	nnb
Tom ne l'a fait qu'une fois.	Yo Toma mwakola kyo kaghuma kasa.
Nous nous connaissons depuis longtemps.	Tunasyene erilwa kera.
Dans ma famille, personne n'est capable de le faire.	Omo kihanda kyaghe, sihali wangakitoka.
Nous avons voyagé à travers tout le pays.	Twabiri timb’omo mulongo wosi.
On m'a proposé le choix entre un thé et un café.	Mobaka mbwir’ambu niimaye e tsayi kutse akawa.
Thomas a une photo de sa famille sur son bureau.	Yo Toma abiri hir’ekitutu kyekihanda kiwe kyoko mesa yiwe.
On se fait à tout.	Tuka begher’ebyosi.
Je ne pense pas que quiconque me comprenne réellement.	Ngalengekanaya nga sihali nomughuma musa oyukanyowa oko kwenene.
Je commence à comprendre.	Nandi mwasa ngoowa.
Tu as entendu un bruit derrière toi.	Mukoowa olukanda lwenyuma syaghu.
Tu as commis cette erreur exprès, n'est-ce pas ?	Ulya kolerer’enabi eyi, ngateba?
Pourquoi as-tu pleuré ?	Ulya lira busanaki ?
Nous avions nos raisons.	Twanabya n’ebyaleka.
Tu dois appeler Tom immédiatement.	Birikira Toma yo hatyahatya.
C'est déjà l'été.	Omughulu w’omwisi munene abiri hika.
Ce n'est pas du chiqué.	Sibitsandire.
Tom ne m'a pas payé autant qu'il l'a promis.	Yo Toma syeta nyiriha ngoko anyi lagha.
Ils ne peuvent me voir.	Sibanga nyilangira.
Profitez de la soirée au bal.	Omo kagholo kano kekimbute, tuyisyandire.
Des monnaies antiques furent trouvées à l'intérieur de la mystérieuse tombe.	Ebitsere bya kera mobya sungw’omwisinda.
Mon père m'a emmené au cinéma hier soir.	Omokaghologholo kamuligholo, Tata mwanyilore oko bisesani.
Vous pouvez choisir le livre que vous aimez.	Wangana sombol’ekitabu ekyo wanzire.
Tu es un bon étudiant.	Uli mwigha oyuwene.
Combien en as-tu eu ?	Muka sungamo bingahi ?
Restez en ligne, s'il vous plaît.	Kishi, ubye iwune okwihunga.
Nous partons maintenant.	Eryo lino tuka ghenda.
Nous n'avons pas encore planifié nos vacances.	Situli twa teghekania eriluhuka ryenyu.
Le soleil, ça fait toute la différence.	Eryuba lika hindul’ebyosi.
Comment faisons-nous cela ?	Tuka kolabyo tuti ?
Tu dois remettre les rapports lundi.	Usubulay’omukekera omonyamwingira.
Je sais que tu te soucies de Tom.	Ninaasi ngoko una tsomene yoToma.
Je ferais pareil.	Konangana kolire nyitya.
Il se lassa bientôt.	Mwaluha luba.
Il faut que tu essaies ça.	Yirenge kino.
Je me suis descendu à son niveau.	Monayi kimirye omolulengo lwiwe.
Il aime les jeux de hasard.	Anzire alingula.
Elle m'a menti.	Mumbesa mwakanyi theba.
Nous l'avons élu maire.	Tulya musumbola mo mukama w’omulongo.
Nous avons presque fini pour aujourd'hui.	Tunemwasa tuka bugh’ebya munabwire.
Je suis devenu ami avec Tom.	Nabiribya mwira wa Toma.
Vous n'êtes jamais allé à Paris ?	Siuliwatay’eparia naho ?
Quand la fête a-t-elle lieu ?	Ekisiyisiyi kikendiby’oko mughulu wahi ?
Je dois déjeuner avec lui.	Ngandi lya naye.
Je préfère l'anglais.	Ekingeresa kyo nianzire.
Il s'inquiète pour les résultats de l'examen.	Akatikatika ngane mwenditoka oko buyilwireko.
Elle est fière d'être belle.	Omukalyoyu ayiketere obubuya bwiwe.
Père lisait souvent des romans policiers pendant son temps libre.	Thata abya abegher’erisoma esyo ndekerano akaluhuka.
Sers-toi une boisson !	Unyw’oko bwabosoma !
C'est arrivé ce matin pour vous.	Kilya kuhikira omo tututu.
La serviette ne fut pas du tout utile.	Akatsimba sikabya na mughaso wosi.
C'est mieux que le film.	Kirengir’ebisesani.
Ils vous aideront à vous réchauffer.	Wakendisya kuwatikya erikuhuhya.
Cela peut avoir de sérieuses conséquences.	Ekyo kyangana hekya mbali kumunwe.
Je préférerais vraiment ne pas savoir.	Sinaganzir’eriminya.
Qui commande ici ?	Nindi yukabugh’ ekyo muheryo hano ?
Tu as un téléphone chez toi.	Unawite enunu ewawu.
J'imagine que non.	Ngalengekanaya nyithi iyehe.
Il se met parfois en colère pour rien.	Akahitana oko hathe.
Ça n'a pas été fait auparavant.	Sikirikyata kolwa embere.
Marie se défendait.	Yo Maria inia kayilwirako.
Tu te dépêchais.	Wabya iwuka yira lubaluba.
Ce soir, mangeons dehors.	Omokagholo kano, tulire ehihya.
Dan a été profondément troublé par la mort de Linda.	Oluholo lwa Linda moluka tula ko Dani ko kutsibu.
Tu voulais me parler de liberté ?	Wabya wanzire uwanyi kanirya oko bwiranda kwe ?
Nous sommes des hommes occupés.	Tuli bandu abawite ebyerikola.
Tu as craqué pour lui, n'est-ce pas ?	Wabiri mwanza, ngateba ?
Ta femme te manque-t-elle ?	Ukwire olukando lw'omwaghu ?
C'est un livre espagnol.	Ni kitabu ekisakire omo kispanyoli.
C'est mal de dire un mensonge.	Eribugha amabehi siryuwene.
Quand avez-vous commencé à apprendre l'anglais ?	Mughulu wahi watsuk’eriigha ekingeresa ?
Tom a acheté un appareil photo comme le tien.	Yo Toma alyawul’akanunu kerihambamw’ekisosano nga kaghu.
Notre ville n'a pas encore l'eau courante.	Omuyi wetu syalyabyamw’amaghetse.
Ne ronge pas tes ongles.	Isiwa ly’esyonyala syaghu.
Elle arriva en courant, les yeux brillants.	Omumbesa mwasa akatibita, ameso inya biri palya.
Tom sera heureux de te revoir.	YoToma akandi tsem’aku langira.
Je te donnerai tout ce que tu veux.	Ngesya kuhebyosi kowanzire.
J'ai manqué mon train.	Indya hika engurubani  iya birinisigha.
J'ai acheté ces fleurs pour toi.	Nilya kughulir’amawa ano.
Elle est aussi vieille que la grand-mère du diable.	Abirikekeluha nga mukaka wa Sitani.
Je suis de ton avis.	Namaghender’oko kyaghu.
Moi non plus.	Inje iyehe.
As-tu déjà embrassé une autre nana ?	Wanabirikumbatir'owundi mumbesa ?
L'homme était trop gros pour se déplacer par lui-même.	Omulum’abya munene kundu isyanga tok’eribasula iyuwenewene.
Ma sœur est un génie !	Mwali wetu awite obwenge bunene !
Nous nous approchâmes chaque jour.	Buli kiro, mutwasa tuka begheranako.
Il prit un stylo dans sa main.	Mwimya olusaki lwomo byala biwe.
Celui qui dit A doit aussi dire B.	Oyukabugha Kino, yukana bugha na kirya.
Ce bus va-t-il à la gare ?	Engurubani erya yikayoko parkingi ?
Ne le saviez-vous pas ?	Wabya isiwasikyo kwe ?
Dieu l'a créé.	Nyamuhanga mwamuhangika.
La vengeance est un plat qui se mange froid.	Eriyikisya ni kisa kikalibawamo kyuhu.
Vous me gênez.	Mwamanikenderya.
Il est parti.	Abirighenda.
Du poisson s'il vous plaît.	Namalagha oko samaki.
Ils sont nés à un mois d'intervalle en 1970.	Babutawa oko birimo 1970 balabenieko mwisi mughuma.
Nous ne sommes pas perdus.	Enzira yotunemo situherire.
Je ne sais pas le distinguer de son frère.	Ngamusosekanaya n’omughala wabo.
Je me casse.	Namaghenda.
On a trop parlé de ce mariage.	Endw’eyo muya buyabuya abandu.
Je lui demanderai demain.	Ngesya mubuly’omungya.
Père est allé à la pêche.	Tat’abiraya soha.
En es-tu sûr ?	Unalighire kyo?
J'attachai mon chien à un arbre dans le jardin.	Ininga hang’endegheteghe yaye oko muti omo lirima.
Je pensais que j'étais en train de mourir.	Nabya nga lengekania niti namabihola.
Il n'y a pas de limites à l'univers.	Ekihugho sikirik’wenduli.
Je ferais mieux d'y aller, moi aussi.	Kitolere naghe, inaenda.
Ce bureau est différent de celui que j'ai commandé.	Ebiro eno siyisosire eyo nilya saba.
Il est à l'étranger.	Aly’omokihugho ky’ehihya.
L'éducation est importante.	Olusumba nilwandundi.
Tom était très fiable.	Abandu babya bikirye yo Toma.
Qu’est-ce que cela signifie ?	Ekyo kibuyire kitiki kwe ?
Il semble que la question était trop facile pour toi. La prochaine fois, je devrai en faire une un peu plus difficile.	Aling’eribulyo lyabya lilobiry’okwiwe. Ekindi kiro, nanganasya kalya eribulya lyo hake.
Elle sera de retour dans moins de dix minutes.	Omukali akendilwi niasubula embere sye so miniti kumi.
Y a-t-il un musée dans cette ville ?	Omomulong’ono muna ahaka bikaw’ebindu by’endundi kwe ?
Tu es chanceux que personne ne t'ait vu faire ça.	Uwite omukululo kundi sihatabya noyukakulangira uka kolakyo.
Tom a aidé son fils à s'habiller.	Yo Toma akawatikaya mughala okwambala.
Je pensais que ma tête allait exploser.	Nabya ngalengekania niti omutwe angana tulika.
C'est un grand jour.	Ni kiro kikulu.
Ne vous prenez pas tant au sérieux !	Simulwe mukayiheka !
Ils se marièrent et eurent beaucoup d'enfants.	Mobalungire, bama buta nabana banene.
Je n'aurais pas dû aller voir Tom.	Sinagayabanire yo Toma.
Ils partirent en voyage.	Mubakabalama.
Elle dit qu'elle t'appellera plus tard.	Omumbes’ati akendisya kubirikira bolo.
Je sais que tu n'as pas peur.	Ninaasi ngoko sighukwire buba.
Elle a très peur des chiens.	Mumbesa akubah’esyondegheteghe syo kutsibu.
J'attendrai ici jusqu'à ce qu'il revienne.	Ngendi linda hano erihika liwe.
Je suis certain de l'avoir déjà vu quelque part.	Ninaasi ko nabiri mulolako handu.
Puis-je emprunter votre stylo ?	Wangana ngwatikya omolusaki lwaghu ?
J'ai bu le café.	Nilya nyw'akawa.
Ce n'est pas bon de fabriquer les mêmes vieux produits, année après année.	Siryuwene erikokotya ebindu bighumerera oko buli kirimo.
J'étudie avec beaucoup d'assiduité.	Ngakol’amakangirirya n’omuhwa munene.
Tom a une maison avec piscine.	Yo Toma awit’embimban’omuli handu hanene aheri karabira oko bandu bangi.
Nous sommes conscients des risques.	Tunaashi ebistibu ebyanga hika.
Il devrait pleuvoir demain.	Embula yanga nawa omongya.
Ferme tes yeux un instant et cherche la réponse.	Lib’amaso katambi, neryo urondaye erisubiranio.
Je suis au courant.	Nyinaasi.
Il portait une grande boîte dans ses bras.	Abya ahekir’ekituba kinene omo byala biwe.
Il quitta son équipe car il ne s'entendait pas avec l'entraîneur.	Mwalw’omo kitongole kiwe kusangwa isibehulikirirana n’omughalima.
Au revoir !	Buholo !
Tom porte des lunettes.	Toma ambit'ekilangiri.
Je sais que ce n'est pas vrai.	Ninaasi ko sikwenene.
Il ne faut pas se disputer avec une femme lorsqu'elle est fatiguée.	Omughulu omukali aluhire, syalilwibawa naye.
Quelle est ta décision ?	Oko mwiso, wama bughutiki ?
C'est quelque chose que ma mère a fait.	Ekyo kyo koyo waghe aliakola.
Pense à poster la lettre sur le chemin de l'école.	Siwibirirawe ukay’ekalasi erilebek’enzakano yoko ofisi.
Quel est le meilleur plan, selon toi ?	Ekyu wene kyo, kyahi ok’wiwe ?
Tom a couru aussi vite qu'il a pu.	Yo Toma mwaka thibita kwanga toka.
Aimez-vous discuter ?	Ukananza erighambula nabandi kwe?
Nous ne faisons rien.	Situli kola kindu.
Je suis peut-être vieux, mais pas fou.	Nilimushakulu kwenene, haliwe sindi musire.
Il me demanda si je connaissais son père.	Mwanyibulya ngo ninaasi tat’iwe.
Quand est-ce que ça commence ?	Ika tsuka mughulu wahi kwe ?
J'ai commencé à apprendre le chinois la semaine dernière.	Nilya tsuk’eriigh’omubuyire wa shinoi oko yenga yahwa.
Es-tu sûr que tu vas bien ?	Uka lengekanay’uti unuwene ?
Le déjeuner est servi.	Ekiribwa kyamabi teghekanibwa.
Je vois Tom.	Nama lol’aku Toma.
J'arrangerai ça.	Ngandi tondekabyo.
Elle demanda si j'avais besoin d'un taxi.	Mwanyi bulya ati nga nina layire oko syerighenderako.
Il peut le faire beaucoup mieux que moi.	Angana kola ndeke kunyilenga.
Suivez simplement mon exemple.	Munyileberayeko.
J'ai donné à Tom de nombreuses opportunités de le faire.	Mungaha Toma yo miyisa minene yeri kolakyo.
Un petit gain vaut mieux qu'une grosse perte.	Akake k’uwiteko kalengire ebinene ebyabiri hera.
On ordonna aux forces britanniques de saisir les armes.	Mobabwira abalasi abe Ungereza bati bahamb’ebimano bya malwa.
Je veux voir ce qui se produit.	Nanziri nalebya ekikandibya.
J'ai fait mon travail.	Nabiri kol’omubiri waghe.
Elle cherche le portefeuille qu'elle a perdu.	Omumbesa abiri hery’ekila kiwe.
Tous mes enfants vont à l'école à Boston.	Abana baghe abosi bakasomer’ebostoni.
Mes parents t'adorent.	Ababuti baghe bakwanzire.
Cette boîte est lourde.	Ekitiri kino kilitohire.
Il a composé l'histoire.	Mwa ghambula omwatsi.
La vie en ville ne plaisait pas à Tom.	Obuyingo bw'o butala bweru sivutanzisya yo Toma.
Linda va préparer du café.	Yo Linda amaya huk'akawa.
Il ne s'agit pas d'argent.	Simwatsi we sende.
Les requins mangent des poissons.	Ekíhéte kika tomer'esyo hondwê.
Je veux m'assurer qu'il y en a assez.	Nianzir' inaminya ngokw'ebyosi bineho.
Nous jouâmes sur la plage.	Motwaya sátir'ok'omukokoro.
J'ai une importante mission pour vous tous.	Ngwit'omubiriw'endundi okwinywe boshi.
Cette règle ne s'applique pas à l'affaire.	Omughamb'oyo siwomwatsi oyo.
Tu te comportes comme un enfant.	Uka yitwa ng'omwana.
Le restaurant était silencieux.	Aho baka ghuliray'byalya havy'obú̧ku̧tu̧.
Je ne peux pas venir à l'instant.	Sinangalu nasa hatyáhatyâ.
Est-il probable qu'il vienne ?	Kianga tokena ina niasa kwe ?
Tout le monde à bord!	Abosi banemo!
Je ne sais presque rien sur ça.	Siniashi kyosikyosy'okwekyo.
Tom peut aider.	Yo Toma angana watikyya.
J'ai un vélo.	Ngwith'ekinga.
Je crains que ce ne soit la vérité.	Yanganaby'ekwenene.
Je prendrai votre parti juste pour cette fois.	Lero, ngendiby'oko luhande lwaghu.
Je ferais n'importe quoi pour toi.	Nangana kol'obuli mwatsi busana naghu.
Tu m'as tellement manqué !	Nabiri ku kw'olukando !
Tom me comprenait.	Yo Toma iniaka niowa.
On s'entraide.	Abandu baka watikanaya.
Ken a embrassé la fiancée de Tom.	Yo Kena mw'akumbatiry'omú̧herú̧ki wa Toma.
Il a du pognon.	Awite olu̧mbu̧ka.
Quand le chat n'est pas là, les souris dansent.	Omughul'olúbundu lutebyaho, esyo mbu̧kú̧li̧ sika yi syalandira.
Dans de nombreux endroits du monde, il n’y a pas assez de nourriture pour satisfaire aux besoins de chacun.	Omo biharo binji bye kihuho, abandu bàngi sibenguk'ekeri tola.
La mode est un cercle vicieux.	Eryanza erisuhukála nibererera haghuma.
Il nous faut un peu plus de temps.	Kumb'itwa sunga akatambi kanene.
J'ai honte d'avouer que le travail n'est pas terminé.	Nama kw'esisoni sy'eriyisingá ng’ okó sinita bugh'omubíri.
J'ai beaucoup de choses à faire aujourd'hui.	Ngwite myatsi minene y'erikola.
Je sais que j'aurais pu le faire mais je ne l'ai pas fait.	Niasi ngoko nangana kolire kyo, naho sinita kolakyo.
Je m'y joindrai.	Ngendisya hikayo.
Je savais que Tom ne voulait pas le faire, mais je voulais quand même qu'il le fasse.	Nabye iniasi ngoko yo Toma alwe isyanzir'erikola kyo, haliwe nilwe nianzir'iniakola kyo.
Tom a tourné la page quand il a rencontré Marie.	Obuyingo bwa Toma bwabiri bya buhyabuhya, okonakatambi alia hindanana mo Maria.
Tom écoutait le bruit de l'océan.	Yo Toma aby'aka hulikirir'eríhúha ly'engétse.
L'avez-vous vu à la gare ce matin ?	Unalya mu lolako ahaka by'emitoka omotututu eno kwe ?
J'avais mal à la tête donc je n'ai pas pu faire ça.	Omutwe alw'akaluma kyokilia leka inita kolakyo.
Tu ne peux pas utiliser le sien.	Siwanga kolesy'ekiwe.
On a gagné le match.	Wabiri ş́iņgán'oko kaghulughulu.
Il se cacha derrière l'arbre.	Mwayi bisa enyuma sy'omúti.
La femme s'est levée de la chaise. Et elle a jeté un coup d’œil à la porte.	Omukali mwakima oko kitumbi. Kandi mwaķ́ ebu̧liŗye okolú̧kyô.
Je ferai du beurre de cacahuètes.	Ngesya kokotia ebithutha.
Tom a dit qu'il n'avait pas faim.	YoToma aliabugha athi syakwir'embétya.
Nous réparerons ceci.	Tukandisya b̧́iņiŗyâ kino.
On ne peut pas être à deux endroits en même temps.	Omundu syanga bya habiri oko katambi kaghuma.
Elle était sur le point de l'appeler lorsqu'il entra par la porte.	Omumbes'alwaka legerér' erimubirikira, nayw'amasira oko lukyo.
Quelle est ta couleur de cheveux naturelle ?	Esyónzwirí syághu sisosire siti kwe ?
Je me demande si Tom sait ce que Mary a fait.	Ngayib̧́u̧laya̧ nga yo Toma asi ebyo Maria akolire.
Je ne suis pas du tout intéressé.	Sínzoméne.
Il tient un journal en anglais.	Aka labaya esyongulu omo kingeresa.
Une douzaine d'arbres environ furent bientôt plantés.	Emíti erıķ́u̧mí n'ébibiri ikandisha herwa.
Tout le monde le faisait.	Abandú bos'ibaka kola kyo.
Je ne suis pas déçu.	Nama yíhumwâ.
Arrête de te la raconter ! Tu n'aurais pas les moyens d'acheter une maison pareille.	Uleke eri kania kubio ! Siwanga sunga olubwele lwerighul'enyú̧mba munye.
Je ne pense pas que des enfants devraient boire de la bière.	Nga lengekanıá̧ ngoko abana sibanga nywa óbwabu̧.
Qu'as-tu l'intention de faire ?	Utakire eri kola ki kwe ?
Est-ce que ça en valait la peine?	Kiwite ndundi ?
Je suis chez une amie.	Nandi ewabo mwira waye.
Un jour, tu le regretteras.	Ekírô kighuma, ukandi sy'á̧yiķú̧byá bómó.
Tu es très timide.	Uli mú̧ku̧tu̧.
Nous n'en sommes pas fiers.	Ekyo sikye tu tsemesya.
Ne perdras-tu pas la raison ?	Siwendisya bya musire kwe ?
Je ne peux pas faire ça.	Sinanga kola kyo.
J'ai besoin de ça.	Nilaghire kukyo.
Il va peut-être neiger ce soir.	Aling'émbú̧l' ikandi wa omwigólo.
De combien de temps disposes-tu pour déjeuner ?	Ukavugha saha singah’ eriry’akalio kenzakya ?
C'est tout ce que nous pouvons faire pour le moment.	Ebyo byo twanga kola lhino.
As-tu jamais trouvé réponse à cette question ?	Sulhi wata sunga erisubirya oko kibuly’ekyo ?
Mes amis m'ont invité à dîner.	Abira baghe mobakambirikir’eriyalhya.
Restez calme !	Tulhera !
Reprenons un peu notre souffle !	Thuthasya sub’omuvunyamundu bwethu !
Je pense que Tom croit tout ce que Marie lui dit.	Ngalengekanaya Toma akikiriray’ebyo Maria aka mubwira.
Je vous laissai une note.	Ngakusighir’enzakano.
Ton arme est-elle chargée ?	Embundu yawe yinatheghekanibwe ?
Elle se tint près de lui.	Neryo mwiman’ahakuni naye.
J'ai pensé que tu serais intéressé par cela.	Mongalhengekanay'indi mbino ukandi tsemesibwa nekyo.
Nous nous embrassâmes.	Mutwa kumbatírana.
Dis-moi, dis-moi !	Mbwire, mbwire !
D'où venez-vous au Canada ?	Ukasira hayi omo Canada ?
Avec toi, c'est l'été toute l'année.	Haghuma naghu, ni kihuhany’omomwak’oghosi.
Je veux changer le monde.	Nyanzir'inabindul'ekihugho.
Il essaie de se débarrasser des fourmis.	Neryo mwalheng'erilushyakw'esyombalhi.
Le poison s'est répandu dans tout le corps.	Obúti mubwayitsatsangir'omomubiri ghosi .
J'ai peut-être heurté ses sentiments.	Alhinga munga humira esyombıņ́ga siwe.
Je ne comprends pas pourquoi tu ne veux pas faire ça.	Sinatha miny'ekikalhek'iwathakol'eki.
Je crains de ne pas avoir d'expérience.	Ngubah’erithendi minya biri.
Fais juste ce que je dis !	Kol’ekyo ngaku bwira !
Tom doit être puni pour ce qu'il a fait.	Toma angasuyirw'okwevy’alyakola.
Je ne crois pas que Tom ait fait ses devoirs lui-même.	Sinyilhengekenye yo Toma ngulhya kol’ebimulhebirye iyuwenewene.
Tom a montré à Marie la photo.	Toma mwaka kanganya Maria ye kisasimira.
Tom ferait n'importe quoi pour attirer l'attention de Marie.	Toma anga kolhir’omwilhengerera ryerikur’amaha wa Maria.
Personne ne se soucie de moi.	Sihalh’oyunzomene.
Les animaux ne sont pas des jouets !	Nesyo nyama sisyeritsangamo !
Mon père a arrêté de fumer récemment.	Tatá waghe abya biryumby’eryómotyâ hatyahatya.
Je veux simplement que les gens m'aiment.	Nyanzir’abandu ibanyanza.
La fille s'efforçait de retenir ses larmes.	Omumbesa mwayikása erıţ́atogongy’émişónia̧.
Laissez-moi vérifier le manuel.	Leká ni lebay'ekitábu.
Cet incendie de forêt a une origine naturelle.	Olu̧hıņ́di lwomú̧sıţ́u̧’oyu nilwobunya mundu.
Tom va le faire à temps.	YoToma akendi kola ky'okondambi.
Tom a demandé un conseil à Maria.	Toma mwaka sab’erihano ryoko Maria.
Je sais que Tom est à moitié endormi.	Nyinasi Toma kwabiriya thulo.
Je ne pense pas que ce soit le meilleur moment pour parler à Tom.	Sinyilhengekeniy’eno nga yendambi mbuya yeri kania na Toma.
Si elle avait été en vie, ma mère m'aurait aidé à ce moment-là.	Nyiya way'angabereho, anganywathiry’okondambieno.
La police enquête sur les causes de l'accident.	Aba puthu bakakol’obusosotya bwe kisida.
Ce garçon a un corps fort et sain.	Omú̧lwan’oyu awithe omubir'oghuwene novunyaghas’obuwene.
Le studio est très petit, sans lieu où se cacher.	Estidyo ninge, siyiwithe oh’omundu anga bisama.
Je pensais que tu voudrais peut-être savoir.	Ngalengekanay'unayisunzir'eriminya.
Soyez vu par moi !	Ulayirawe naghe!
Tom sortit un crayon.	Toma mwanahuluky’akalamu.
Les personnes âgées ont besoin de vivre pour quelqu'un.	Abandu ababirikulhya bakabya ho basana nomundu.
Quelle est le sens de cela ?	Nibwambu ki ?
Le temps est vraiment mauvais.	Obuthuku sibuwene.
Je suis très intéressé d'entendre ce que tu as à dire.	Namatsemesibwa nehyo wanzire iwabugha.
Croyez-vous vraiment nécessaire de faire cela ?	Ukalengekanay’ebyo ukasondikola ?
Ils se nourrissent surtout de lait.	Bakanyw'amásabu̧ kanji kanji.
Je ne suis qu'un garçon qui fait des erreurs.	Niri mulume oyukakosa.
Il changea d'avis.	Neryo mwabindula omukanya.
Peux-tu m'indiquer la bonne direction ?	Wanga nanganjya engend’yuwene ?
Tom est tombé dans l'eau.	Toma mwaka togher’omo lusi.
Tu sais que Tom aime la bière.	Unasi ngoko Toma anzir’obulendi.
Nous sommes sérieux.	Thunayithondekire.
Je bois.	Nga nywa.
Je ne veux pas être votre secret.	Singanabya kumbo yaghu.
Nous avons une bonne nouvelle.	Thunawith’omwatsi mubuya.
Il viendra bientôt.	Akandyasa luba.
Plus de recherches sont nécessaires.	Emirondekanyo niya muhungo.
J'ai entendu ça.	Monganowa kino.
Je ne pouvais rien y faire.	Sinanga kolir'eho kindu.
Pourquoi ne nous glissons-nous pas à nouveau à l'intérieur ?	Busanaki sitwathayitheh'emwisi ?
Tom se donne beaucoup de mal.	Toma amasukwa sukwa.
Elle parle anglais.	Omumbes'akabugha ebingeresa.
Vues d'avion, les petites collines paraissent plates.	Omwilhabira enyony’ehithwa hikehike hikabya nga buthambi.
Nous tentons de réduire les dépenses.	Thukasond’erikehy’okombanza.
Tu as dit qu'il y avait urgence.	Ulya mbwir’uthi halh’ekyalubaluba.
Est-ce vraiment possible ?	Kikatokekana ?
Tom a été surpris par ce qu'il a vu.	Toma mwaka shishira kusangwa mwakalangira .
Tu veux bien me passer le sel, s'il te plaît?	Ndabiray’omunyu, wamasonda?
En grandissant, il apprit à mettre les choses en perspective.	Abiakakula, mwayikangiriry’erithondek’ebindu.
Vous n'avez à l'évidence pas le temps.	Sighuwith’endambi.
L'opéra commence à sept heures.	Omwatsi akatsuk’oko saha nguma.
Nous ne pouvons pas continuer à nous abuser.	Sitwanga lolhy’emuliro thuka tsanga .
C'est un risque que tu dois simplement prendre.	Nibulhigh'obowangayi theghekanyako.
C'est étrange à dire, mais il ne connaissait pas la nouvelle.	Kino kikaswekaya, eribugha uthi syulughu wasy'omwats'ono.
Tom fut promu gérant.	Toma mwatheghekanibw’eribya musondolya.
Lire des livres est une de mes habitudes.	Erisom’ebithabu nikighuma kyoko mibere yaghe.
Tom a coupé la pomme en deux.	Toma mwatw’ekitsungu kyo kabiri.
Le fait est qu'ils sont trop jeunes.	Inikusangw’abosi nibalwana.
Il a dû y aller.	Angan'yire yo.
Qui frappe à la porte?	Oyuka kongot’okó lú̧kyô nindi ?
Tom n'a pas suffisamment d'argent pour acheter une voiture.	Toma syawithe okosende ndek’eriby’inyangana ghul’engurubani.
Je me demande si je peux faire ça.	Ngayibulaya ngananganakol'eki.
Tom m'a demandé comment se rendre à la poste.	Toma mwaka mbulaya ngangay’oko mukolano kwathi ?
Nous espérions que quelque chose d'intéressant surviendrait.	Thulwe thuhengekenye nga sir’ebindw’ebyuwene.
Il n'est pas facile de maîtriser l'anglais.	Kikalir’eriminy’ekingeresa.
Voudriez-vous me porter ceci au premier étage ?	Wama sonda, wangana nyihethukiry’eki omwa golhofa.
La valeur des livres était telle qu'on en prenait le plus grand soin.	Endundi ye bithabu yanga sughumathirwa kundu.
Il n'y a que cinq-cent-quatorze personnes qui soient allées dans l'espace.	Hathy’abandu maghana athanu erikumi na bane ababiriy’omokyaya.
Combien de temps faut-il d'ici à la gare ?	Hathi ndambi singahierilwa han’eriyahika oko rubaho ?
Il avait dit qu'il m'écrirait, mais il n'en fut rien.	Mwambwir’ath’akandinyisakira, alhiwe mwathita kola kyo.
Tom et Marie n'ont pas été particulièrement gentils avec moi.	Yo Toma bana Maria mobaka ni huna.
Bien qu'il soit jeune, il est très prudent.	Nomo nimulwana, anayitheghererye.
