language,iso_code,direction,examples,empty_predictions,bleu_smoke,chrf_plus_plus_smoke
Luba-Katanga,lub,congolese_to_reference,3,0,13.396291801069001,28.525716184424926
Luba-Katanga,lub,reference_to_congolese,3,0,7.643920744168409,19.867803376156612
Lunda,lun,congolese_to_reference,3,0,1.895280322479207,17.68318482199242
Lunda,lun,reference_to_congolese,3,0,0.13217988333450434,4.086455272038563
Mashi,shr,congolese_to_reference,3,0,1.6142006523453247,24.26664582685359
Mashi,shr,reference_to_congolese,3,0,2.039146081714982,19.137842992994706
Mayogo,mdm,congolese_to_reference,3,0,1.7243945943080496,20.200172966990053
Mayogo,mdm,reference_to_congolese,3,0,0.6686116254598752,10.73469071878519
Mongo,lol,congolese_to_reference,3,0,1.7873019478407963,27.034252426492415
Mongo,lol,reference_to_congolese,3,0,0.5573424803384227,1.8204889541587697
Nande,nnb,congolese_to_reference,3,0,2.464219410218603,9.335884814642077
Nande,nnb,reference_to_congolese,3,0,0.0,2.0373433906296423
Ndo,ndp,congolese_to_reference,3,0,1.5001304983781067,17.35034044297839
Ndo,ndp,reference_to_congolese,3,0,0.2550811071598499,7.535077187798765
Ngbaka,nga,congolese_to_reference,3,0,5.943450759992407,35.15405687052346
Ngbaka,nga,reference_to_congolese,3,0,1.2141609129475612,17.19300951860879
Ngiti,niy,congolese_to_reference,3,0,1.7288265526282767,18.310992916246775
Ngiti,niy,reference_to_congolese,3,0,0.24820101516894655,1.8053670438946394
Ngombe,ngc,congolese_to_reference,3,0,1.505625010389859,16.48529090870634
Ngombe,ngc,reference_to_congolese,3,0,0.3240887860735312,8.818617198009235
Northern Ngbandi,ngb,congolese_to_reference,3,0,0.8408857411544339,10.554012059345467
Northern Ngbandi,ngb,reference_to_congolese,3,0,0.12092296257170604,2.2361342464338843
Nyanga,nyj,congolese_to_reference,3,0,1.134241889064715,19.303398400980136
Nyanga,nyj,reference_to_congolese,3,0,0.7734113811581377,9.52996014366984
Ruund,rnd,congolese_to_reference,3,0,1.5454114166334012,20.00416813009499
Ruund,rnd,reference_to_congolese,3,0,1.023587255013559,1.2361088828116469
Songe,sop,congolese_to_reference,3,0,5.542285565200442,24.07982153670148
Songe,sop,reference_to_congolese,3,0,5.970777690818024,12.218892358851633
Tabwa,tap,congolese_to_reference,3,0,1.6991395458844225,14.494998429396977
Tabwa,tap,reference_to_congolese,3,0,0.0,2.759454739630912
Tembo,tbt,congolese_to_reference,3,0,4.165407042319314,24.477840375678614
Tembo,tbt,reference_to_congolese,3,0,0.3849474083661841,7.624046288458515
Tetela,tll,congolese_to_reference,3,0,11.76944116672206,20.196351772324192
Tetela,tll,reference_to_congolese,3,0,0.10507309236620269,2.278371624186601
Yaka,yaf,congolese_to_reference,3,0,6.197994428874992,24.51134063169772
Yaka,yaf,reference_to_congolese,3,0,0.15038359167186766,4.023262389391015
Yansi,yns,congolese_to_reference,3,0,2.011747465745572,20.197517891393264
Yansi,yns,reference_to_congolese,3,0,0.6771200304810537,8.124390229445234
Yombe,yom,congolese_to_reference,3,0,2.2256328182793186,21.505994475522268
Yombe,yom,reference_to_congolese,3,0,0.1269583609017764,3.6648966954475717
Zande,zne,congolese_to_reference,3,0,1.6230012111575458,18.64153907961089
Zande,zne,reference_to_congolese,3,0,0.4087708834203408,9.189725898496393
Zimba,zmb,congolese_to_reference,3,0,2.3452180507325497,19.00379464891356
Zimba,zmb,reference_to_congolese,3,0,0.23153938776102234,7.60823526587942
