language,iso_code,variety,region,source,source_url,retrieved_at,record_id,reference,source_text,target_language,target_text,target_text_raw,unit_type,domain,licence,review_status,quality_flags,notes
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,3aac55f384421147,kit10k:12,Je m'imagine une maison dans laquelle je serais heureux.,Congo Swahili,Minafikiria nyumba yenye nitaishi amo na furaha.,Minafikiria nyumba yenye nitaishi amo na furaha.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,59267ccb7df6d3c1,kit10k:13,Je fais un petit somme presque tous les jours.,Congo Swahili,Nalalaka kidogo karibu kila siku.,Nalalaka kidogo karibu kila siku.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2bf63c4851cada73,kit10k:14,Il n'habite pas dans mon quartier.,Congo Swahili,Aishi mu mutaa yangu.,Aishi mu mutaa (quartier) yangu.,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,18cd441a352e359c,kit10k:15,Vous devez vous arrêter de boire.,Congo Swahili,Unapashwa acha kunywa pombe.,Unapashwa acha kunywa pombe.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2a55ec35ed7f174f,kit10k:16,Ne nous mens pas.,Congo Swahili,Usitudanganye.,Usitudanganye.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,60d1d1d1b0b9aa55,kit10k:17,Je réponds de son honnêteté.,Congo Swahili,Minajibu kwa uaminifu wake.,Minajibu kwa uaminifu wake.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,45d95623fc952d71,kit10k:18,C'est le village où il est né.,Congo Swahili,Hii njo kijiji yenye alizaliwa amo.,Hii njo kijiji yenye alizaliwa amo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7b852542c9749e30,kit10k:19,Confirmez la commande.,Congo Swahili,Zibitisha agizo.,Zibitisha agizo (commande).,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,fd562f136bf7f0f9,kit10k:20,Je dois faire ça.,Congo Swahili,Lazima nifanye ivyo.,Lazima nifanye ivyo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,40edf3ab2fc094fb,kit10k:21,Je pense que c'est la bonne manière de le faire.,Congo Swahili,Nazani hiyo ndiyo njia ya muzuri yakuifanya.,Nazani hiyo ndiyo njia ya muzuri yakuifanya.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,cf28644a5dfc9fe7,kit10k:22,"Merci, j'ai tout compris.",Congo Swahili,"Aksanti, nimeelewa kila kitu.","Aksanti, nimeelewa kila kitu.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,51d8fe0bea257588,kit10k:23,"Je ne changerai pas d'idée, quoi qu'il se passe.",Congo Swahili,Sitabadilisha mawazo yangu hata ikuwe aje.,Sitabadilisha mawazo yangu hata ikuwe aje.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,584b0a1183bddfe5,kit10k:24,La société a été fondée en 1930.,Congo Swahili,Iyi kampuni ilianzishwa munamo mwaka wa 1930.,Iyi kampuni ilianzishwa munamo mwaka wa 1930.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f2d8f06b291e97b8,kit10k:25,La télé ruine la vie de famille.,Congo Swahili,Télévision inaaribishaka tabia ya batu ndani ya familia.,Télévision inaaribishaka tabia ya batu ndani ya familia.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,90f58dbe1cd8c2b8,kit10k:26,Qui d'autre est venu à la fête ?,Congo Swahili,Nani mwingine alikuya ku sherehe?,Nani mwingine alikuya ku sherehe?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,ad191758aef8aca0,kit10k:27,C'était trop dur.,Congo Swahili,Ilikuwa vigumu sana.,Ilikuwa vigumu sana.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,7cbe3f14906be99c,kit10k:28,Je suis allé en Italie pour la seconde fois en 1980.,Congo Swahili,Nilienda Italia kwa mara ya pili munamo mwaka wa 1980.,Nilienda Italia kwa mara ya pili munamo mwaka wa 1980.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,cbe035843bddea84,kit10k:29,Demandez au poste de police là-bas.,Congo Swahili,Uliza kituo cha polisi hapo.,Uliza kituo cha polisi hapo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,69577c5df8ca4738,kit10k:30,Quand ton anniversaire a-t-il lieu ?,Congo Swahili,Siku yako ya kuzaliwa inakuwaka siku gani ?,Siku yako ya kuzaliwa inakuwaka siku gani ?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c74737d32751ba0c,kit10k:31,Mes dents me font mal.,Congo Swahili,Meno yangu inanisumbua.,Meno yangu inanisumbua (meno yangu iko naniluma).,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,a54ee7a82e81e897,kit10k:32,Elle a fermé la porte à clé.,Congo Swahili,Alifunga mulango na fungulo.,Alifunga mulango na fungulo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,e30e3ca4eedf19a5,kit10k:33,Miracle ! Le lien fonctionne !,Congo Swahili,Muujiza! Kiunganishio kinatumika!,Muujiza! Kiunganishio kinatumika!,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,acca843520709865,kit10k:34,Je me fais plus vieux et je ne veux plus travailler de nuit.,Congo Swahili,Minaendelea kuzeeka na sitaki kufanya kazi busiku tena.,Minaendelea kuzeeka na sitaki kufanya kazi busiku tena.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,3ca3434007075135,kit10k:35,C'est une énorme responsabilité.,Congo Swahili,Ni jukumu kubwa.,Ni jukumu kubwa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,da68c6ee50a9dac9,kit10k:36,Ce n'est pas un secret que l'opinion de Tom est différente de la tienne.,Congo Swahili,Aiko siri kwamba maoni ya Tom ni tafauti na maoni yako.,Aiko siri kwamba maoni ya Tom ni tafauti na maoni yako.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,0e7f7f78dcccd5b4,kit10k:37,Je suis votre voisin.,Congo Swahili,Niko jirani yako.,Niko jirani yako.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,c58a709a1212d8bf,kit10k:38,N'essayez pas de faire deux choses à la fois.,Congo Swahili,Usijaribu kufanya bitu mbili kwa wakati moja.,Usijaribu kufanya bitu mbili kwa wakati moja.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,76ede0eb30d5dd77,kit10k:39,Je n'aimerais pas vivre là-bas.,Congo Swahili,Singependa kuishi huko.,Singependa kuishi huko.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,4b3834d8af83545e,kit10k:40,C'est un peu injuste.,Congo Swahili,Iyo sio haki.,Iyo sio haki.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,fce6a4e31954ca7d,kit10k:41,Ils finirent leur repas.,Congo Swahili,Balimaliza chakula yabo.,Balimaliza chakula yabo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b203d3e7ecd7bfc4,kit10k:42,Il est venu vers quatre heures.,Congo Swahili,Alifika karibu saa ine za asubui.,Alifika karibu saa ine za asubui.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,38488f778e385838,kit10k:43,Il me faut un miracle.,Congo Swahili,Minahitaji muujiza.,Minahitaji muujiza.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5fe4b34438e57cc8,kit10k:44,Je me rappelle l'année où il a eu un travail.,Congo Swahili,Nakumbuka mwaka yenye alipata kazi.,Nakumbuka mwaka yenye alipata kazi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,2eb30b67567b860b,kit10k:45,Tom est souvent en voyage.,Congo Swahili,Mara mingi Tom anazowea kuwa mu safari.,Mara mingi Tom anazowea kuwa mu safari.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,32457b78a1d85b34,kit10k:46,"Sans mon conseil, tu aurais échoué.",Congo Swahili,"Bila mashauri yangu, ungeshindwa.","Bila mashauri yangu, ungeshindwa.",sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,ca5b537d89f4225e,kit10k:47,Tu as une bonne réputation.,Congo Swahili,Uko na tabia ya muzuri.,Uko na tabia ya muzuri.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,f8dc70227b571fec,kit10k:48,Je dois à mon oncle ce que je suis aujourd'hui.,Congo Swahili,Vile niko leo ni juu ya muyomba yangu.,Vile niko leo ni juu ya muyomba yangu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,3f6fd1bad34cfa1e,kit10k:49,Elle se dressa pour ce qui était juste.,Congo Swahili,Alisimama kwa haki.,Alisimama kwa (kupigania) haki.,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,5529127d31583e61,kit10k:50,Je ne veux même pas que tu sois là.,Congo Swahili,Sitaki ata ukuwe pale.,Sitaki ata ukuwe pale.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,cdfce819e3024162,kit10k:51,Je déteste ma voix.,Congo Swahili,Nachukia sauti yangu.,Nachukia sauti yangu.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,570f77cc180c6da3,kit10k:52,Il y a beaucoup trop de monde dans cette pièce.,Congo Swahili,Piko batu mingi mwa iyi chumba.,Piko batu mingi mwa iyi chumba.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,beafda61c491d82a,kit10k:53,Savez-vous comment vous rendre chez nous ?,Congo Swahili,Unajua ginsi ya kwenda kwetu?,Unajua ginsi ya kwenda kwetu?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,8654b219ea6b1a4f,kit10k:54,Dis-moi la raison pour laquelle tu étais en retard à l'école.,Congo Swahili,Niambie sababu yenye ilifanya ufike ku masomo nyuma leo.,Niambie sababu yenye ilifanya ufike ku masomo nyuma leo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,dd64ecab20f0fd40,kit10k:55,"En raison d'une grave maladie, il ne peut pas mouvoir son corps comme la plupart des gens le peuvent.",Congo Swahili,Hawezi kusonga mwili wake kama watu wengi wanavyoweza kwa sababu ya ugonjwa mubaya.,Hawezi kusonga (tingiza) mwili wake kama watu wengi wanavyoweza kwa sababu ya ugonjwa mubaya.,sentence,general,CC BY 4.0,verified_source,clean_variant_diff,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,e515e9a47d8b57c6,kit10k:56,L'as-tu embrassée ?,Congo Swahili,Ulimukumbatia?,Ulimukumbatia?,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,02f982fa492e168e,kit10k:57,Il est maintenant à court d'argent.,Congo Swahili,Hana tena pesa.,Hana tena pesa.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,24f87d89792ab78d,kit10k:58,Cette salle est pleine de soleil.,Congo Swahili,Piko jua mingi mwa iyi ukumbi.,Piko jua mingi mwa iyi ukumbi.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,010a72c4d3896332,kit10k:59,C'est dangereux de passer par le pont.,Congo Swahili,Ni hatari kupitia ku kilalo.,Ni hatari kupitia ku kilalo.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,b795ecce04e780c1,kit10k:60,Laissez-moi regarder !,Congo Swahili,Niache niangalie!,Niache niangalie!,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,67da016634563ae1,kit10k:61,C'est plus dangereux que je ne le pensais.,Congo Swahili,Ni hatari sana kuliko ginsi nilikuwa nafikiria.,Ni hatari sana kuliko ginsi nilikuwa nafikiria.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,d01433175312b97b,kit10k:62,J'ai laissé mon parapluie ici la semaine dernière.,Congo Swahili,Niliacha mwamvuli yangu hapa juma yenye ilipita.,Niliacha mwamvuli yangu hapa juma yenye ilipita.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
Congo Swahili,swc,DRC Congo Swahili,Eastern DRC,CLEAR Global Gamayun kit10k,https://huggingface.co/datasets/CLEAR-Global/Gamayun-kits,2026-08-21,9b35e10c35b67109,kit10k:63,Je veux vraiment vous embrasser.,Congo Swahili,Nataka ku kukumbatia.,Nataka ku kukumbatia.,sentence,general,CC BY 4.0,verified_source,,CLEAR Global source accepted as supplied; validated by a Congo Swahili speaker.
