verse_key,shr,fr
GEN.1.14,"Nnâmahanga aderha, erhi: «Ebimole bibè omu cirêre cemalunga lyo biberûla omûshi nobudufu; byâbà bimanyîso byempondo necanda, ensiku nemyâka.","Dieu dit: Quil y ait des luminaires dans létendue du ciel, pour séparer le jour davec la nuit; que ce soient des signes pour marquer les époques, les jours et les années;."
GEN.1.15,binabè bimole bimanike emalunga bya kumolekera igulu». Byanacibà ntyo.,"et quils servent de luminaires dans létendue du ciel, pour éclairer la terre. Et cela fut ainsi."
GEN.1.16,"Nnâmahanga ajira bimole bibiri binene, ecimole cinênênè mpu cikamoleka mûshi, necimole cinyinyi mpu cikamoleka budufu, boshi nenyenyêzi.","Dieu fit les deux grands luminaires, le plus grand luminaire pour présider au jour, et le plus petit luminaire pour présider à la nuit; il fit aussi les étoiles."
GEN.1.17,Nnâmahanga abimanika omu cirêre cemalunga mpu bikamolekera igulu.,"Dieu les plaça dans létendue du ciel, pour éclairer la terre."
GEN.1.18,mpu binamanyise omûshi nobudufu nokuberûla obulangashane nomwizimya. Nnâmahanga abona oku kuli kwinjà.,"pour présider au jour et à la nuit, et pour séparer la lumière davec les ténèbres. Dieu vit que cela était bon."
GEN.1.19,"Bwayira bwanaca, lwo lusiku lwa kani.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le quatrième jour."
GEN.1.20,"Nnâmahanga aderha, erhi: «Amîshi gadudûsemwo ebizîne nebinyunyi bibalale enyanya lyigulu, embere zecirêre camalunga».","Dieu dit: Que les eaux produisent en abondance des animaux vivants, et que des oiseaux volent sur la terre vers létendue du ciel."
GEN.1.21,"Nnâmahanga alema abasimba banênênè bomu nyanja na ngasi bizîne biyandala nebidûdûsa omu mîshi, bya ngasi lubero na ngasi rhunyunyi rhujira ebyûbi kushimbana nolubero lwarhwo. Nnâmahanga abona oku kuli kwinjà.","Dieu créa les grands poissons et tous les animaux vivants qui se meuvent, et que les eaux produisirent en abondance selon leur espèce; il créa aussi tout oiseau ailé selon son espèce. Dieu vit que cela était bon."
GEN.1.22,"Nnâmahanga abigisha erhi: «Muyôloloke , muluge, mubumbe enyîshi nenyanja; nebinyunyi biluge okwigulu».","Dieu les bénit, en disant: Soyez féconds, multipliez, et remplissez les eaux des mers; et que les oiseaux multiplient sur la terre."
GEN.1.23,"Bwayira bwanaca, lwo lusiku lwa karhanu.","Ainsi, il y eut un soir, et il y eut un matin: ce fut le cinquième jour."
GEN.1.24,"Nnâmahanga aderha, erhi: «Obudaka buvûlule ebizîne bya ngasi lubero: ensimba, ebinyâgârha nensimba zerubala za ngasi lubero». Byanacibà ntyo.","Dieu dit: Que la terre produise des animaux vivants selon leur espèce, du bétail, des reptiles et des animaux terrestres, selon leur espèce. Et cela fut ainsi."
GEN.1.25,"Nnâmahanga anacilera ebyerubala bya ngasi lubero, ebintu bishwêkwa bya ngasi lubero norhusimba rhwoku idaho rhwa ngasi lubero. Nnâmahanga abona oku kuli kwinjà.","Dieu fit les animaux de la terre selon leur espèce, le bétail selon son espèce, et tous les reptiles de la terre selon leur espèce. Dieu vit que cela était bon."
GEN.1.26,"Nnâmahanga aderha, erhi: «Rhujire omuntu orhushusha, orhugwerhekwo ecikebo, yewârhambula enfî zomu nyanja norhunyunyi rhwemalunga, ebishwêkwa nebyerubala byoshi, nebinyâgârha byoshi binadûdûsa oku igulu.».","Puis Dieu dit: Faisons lhomme à notre image, selon notre ressemblance, et quil domine sur les poissons de la mer, sur les oiseaux du ciel, sur le bétail, sur toute la terre, et sur tous les reptiles qui rampent sur la terre."
GEN.1.27,"Nnâmahanga alema omuntu omushusha: oku nshusho ya Nnâmahanga àmulemire, àmulema mulume nomukazi.","Dieu créa lhomme à son image, il le créa à limage de Dieu, il créa lhomme et la femme."
GEN.1.28,"Nnâmahanga àbagisha anababwîra, erhi: «Muburhe muluge, mubumbe igulu, mulirhambule munarhegeke enfî zomu nyanja norhunyunyi rhwemalunga, na ngasi cizîne cigera oku idaho.».","Dieu les bénit, et Dieu leur dit: Soyez féconds, multipliez, remplissez la terre, et lassujettissez; et dominez sur les poissons de la mer, sur les oiseaux du ciel, et sur tout animal qui se meut sur la terre."
GEN.1.29,"Nnâmahanga ashubiderha, erhi: «Loli oku mmuhîre ngasi lubala lujira obujuru lunali oku idaho na ngasi murhi guleheka gunajira obujuru byo byâbà biryo binyu.","Et Dieu dit: Voici, je vous donne toute herbe portant de la semence et qui est à la surface de toute la terre, et tout arbre ayant en lui du fruit darbre et portant de la semence: ce sera votre nourriture."
GEN.1.30,"Olubala nkana byo biryo mpîre ngasi cerubala, ngasi kanyunyi kemalunga, ngasi cigera oku idaho cinayîsa omûka». Byanacibà ntyo.","Et à tout animal de la terre, à tout oiseau du ciel, et à tout ce qui se meut sur la terre, ayant en soi un souffle de vie, je donne toute herbe verte pour nourriture. Et cela fut ainsi."
GEN.1.31,"Nnâmahanga abona oku ebi anajiraga biri binjà bwenêne. Bwayira bwanaca, lwo lusiku lwa kali ndarhu.","Dieu vit tout ce quil avait fait et voici, cela était très bon. Ainsi, il y eut un soir, et il y eut un matin: ce fut le sixième jour."
GEN.2.1,Ntyo kwo amalunga nigulu bya shwinjagwa; haguma nebimubà byoshi.,"Ainsi furent achevés les cieux et la terre, et toute leur armée."
GEN.2.2,"Erhi abà amâyûsa omukolo akazâgikola, Nyamuzinda arhamûka oku lusiku lwa kali nda , ahûmûka omu mukolo akâgijira.","Dieu acheva au septième jour son œuvre, quil avait faite: et il se reposa au septième jour de toute son œuvre, quil avait faite."
GEN.2.3,"Nyamuzinda ahûmûka oku lusiku lwa kali nda, alujira lwimâna.","Dieu bénit le septième jour, et il le sanctifia, parce quen ce jour il se reposa de toute son œuvre quil avait créée en la faisant."
GEN.2.4,Yo nkomoka yamalunga nigulu eyo erhi bilemwa. Erhi Nyakasane Nyamuzinda ajira igulu namalunga .,"Voici les origines des cieux et de la terre, quand ils furent créés. Lorsque lÉternel Dieu fit une terre et des cieux."
GEN.2.5,"ntà ishaka lyaliciba enigulu, ntà lubala lwalilucimera – bulya Nyakasane Nyamuzinda arhaliciniêsa enkuba enigulu na ntâye walicihinga obudaka.","aucun arbuste des champs nétait encore sur la terre, et aucune herbe des champs ne germait encore: car lÉternel Dieu navait pas fait pleuvoir sur la terre, et il ny avait point dhomme pour cultiver le sol."
GEN.2.6,erhi okuhuluza amîshi omu mibunda yokudômerera obudaka-;.,"Mais une vapeur séleva de la terre, et arrosa toute la surface du sol."
GEN.2.7,"Nyakasane Nyamuzinda abumba omuntu nakatulo koku idaho, amubûhira omûka gwobuzîne omu mazûlu, ntyo nyamutu ahinduka ciremwa cizîne.","LÉternel Dieu forma lhomme de la poussière de la terre, il souffla dans ses narines un souffle de vie et lhomme devint un être vivant."
GEN.2.8,"Obwo Nyakasane Nyamuzinda arhwêra ishwa lyamalehe e Edeni , ebushoshôkero, ahiramwo omuntu àbumbaga.","Puis lÉternel Dieu planta un jardin en Éden, du côté de lorient, et il y mit lhomme quil avait formé."
GEN.2.9,"Nyakasane Nyamuzinda ameza oku budaka emirhi ya ngasi bûko, yakusîmîsa isù na minjà okulîbwa, yalimwo omurhi gwobuzîne aha karhî kishwa nomurhi gwokumanya aminjà namabî.","LÉternel Dieu fit pousser du sol des arbres de toute espèce, agréables à voir et bons à manger, et larbre de la vie au milieu du jardin, et larbre de la connaissance du bien et du mal."
GEN.2.10,"Kurhenga omu Edeni olwîshi lwakâgihulula lwajidômerera ishwa, lwakacigabamwo kani lushube nyîshi ini.","Un fleuve sortait dÉden pour arroser le jardin, et de là il se divisait en quatre bras."
GEN.2.11,"Olwîshi lurhanzi ye Pishone, luhulula luzunguluke ecihugo ca Havila, era munda ebà amasholo.","Le nom du premier est Pischon; cest celui qui entoure tout le pays de Havila, où se trouve lor."
GEN.2.12,"namasholo geyo garhahimwa kuyinjiha, eyo ebà nobukù bubaya bwinjà nibuye lyonice.",Lor de ce pays est pur; on y trouve aussi le bdellium et la pierre donyx.
GEN.2.13,Olwîshi lwa kabiri luderhwa Gihoni: luhulula luzunguluke ecihugo ca Etiopiya.,Le nom du second fleuve est Guihon; cest celui qui entoure tout le pays de Cusch.
GEN.2.14,Olwîshi lwa kasharhu luderhwa Tigri: luhulula ebushohokero bwa Asûru. Olwîshi lwa kani luderhwa Eufrate.,"Le nom du troisième est Hiddékel; cest celui qui coule à lorient de lAssyrie. Le quatrième fleuve, cest lEuphrate."
GEN.2.15,"Nyakasane Nyamuzinda arhôla olya muntu amuhira omu ishwa lya Edeni, mpu akalihinga analilange.","LÉternel Dieu prit lhomme, et le plaça dans le jardin dÉden pour le cultiver et pour le garder."
GEN.2.16,Nyakasane Nyamuzinda aha omuntu eri irhegeko: «Wanalya oku ngasi murhi guli omu ishwa.,LÉternel Dieu donna cet ordre à lhomme: Tu pourras manger de tous les arbres du jardin;.
GEN.2.17,"ci omurhi gwokumanya aminjà namabî orhahîraga okagulyâkwo, bulya amango wacîshomya wagulyakwo erhi onafire ».","mais tu ne mangeras pas de larbre de la connaissance du bien et du mal, car le jour où tu en mangeras, tu mourras."
GEN.2.18,"Nyakasane Nyamuzinda aderha, erhi: «Kurhali kwinjà omuntu ayôrhe yêne, rhumujirire omurhabâzi omushushire».",LÉternel Dieu dit: Il nest pas bon que lhomme soit seul; je lui ferai une aide semblable à lui.
GEN.2.19,"Nyakasane Nyamuzinda arhôla obudaka abumbamwo ngasi nsimba zerubala nebinyunyi byemalunga byoshi, abihêkera omuntu mpu alole kurhi abiyîrika: ngasi oku omuntu abiyîrikaga kwo byanayîrisirwe.","LÉternel Dieu forma de la terre tous les animaux des champs et tous les oiseaux du ciel, et il les fit venir vers lhomme, pour voir comment il les appellerait, et afin que tout être vivant portât le nom que lui donnerait lhomme."
GEN.2.20,"Ntyo omuntu ayîrika ebishwêkwa byoshi, orhunyunyi rhwemalunga rhwoshi nensimba zerubala, ci omuntu arhabonagamwo murhabâzi omushushire.","Et lhomme donna des noms à tout le bétail, aux oiseaux du ciel et à tous les animaux des champs; mais, pour lhomme, il ne trouva point daide semblable à lui."
GEN.2.21,"Nyakasane Nyamuzinda arhogezakwo omuntu îrò lyenkwîra, nyamuntu ahunira; amushugula omurhibadu ashosha eminyafu aha omurhibadu gwarhengaga.","Alors lÉternel Dieu fit tomber un profond sommeil sur lhomme, qui sendormit; il prit une de ses côtes, et referma la chair à sa place."
GEN.2.22,"Ogwo murhibadu, Nyakasane Nyamuzinda àshugulaga oku mulume, atulamwo omukazi anamulêrhera omulume.","LÉternel Dieu forma une femme de la côte quil avait prise de lhomme, et il lamena vers lhomme."
GEN.2.23,"Nnamulume, erhi: «Lêro oyu ye munyafu gwomunyafu gwâni na kavuha korhuvuha rhwâni. Ayishikaderhwa mukazi bulya omu mulume arhenzire» .","Et lhomme dit: Voici cette fois celle qui est os de mes os et chair de ma chair! On lappellera femme, parce quelle a été prise de lhomme."
GEN.2.24,Co cirhuma omulume akwânîne aleke îshe na nnina acîshwekerekwo mukâge noku bali babiri bahinduke mubiri muguma.,"Cest pourquoi lhomme quittera son père et sa mère, et sattachera à sa femme, et ils deviendront une seule chair."
GEN.2.25,"Nobwo bombi bàli bushugunu; omulume nomukazi, ci barhakâgiyumvanya nshonyi.","Lhomme et sa femme étaient tous deux nus, et ils nen avaient point honte."
GEN.3.1,"Enjoka yo yali nsimba nyengûza omu nsimba zerubala zoshi Nyakasane Nyamuzinda ajiraga. Wanjoka abwîra omukazi, erhi: «Ka kwo kunali Nnâmahanga adesire: Murhahîraga mukalya oku murhi ciru nomuguma gwomu ishwa?».","Le serpent était le plus rusé de tous les animaux des champs, que lÉternel Dieu avait faits. Il dit à la femme: Dieu a-t-il réellement dit: Vous ne mangerez pas de tous les arbres du jardin?."
GEN.3.2,"Nyamukazi ashuza wanjoka, erhi: «Rhwanalya amalehe gemirhi eri omu ishwa.",La femme répondit au serpent: Nous mangeons du fruit des arbres du jardin.
GEN.3.3,"ci amalehe gomurhi guli aha kâgarhî kishwa gwoki, Nnâmahanga adesire: murhagalyagakwo, ciru murhaguhumagakwo bulya erhi kufà munafire» Murh .","Mais quant au fruit de larbre qui est au milieu du jardin, Dieu a dit: Vous nen mangerez point et vous ny toucherez point, de peur que vous ne mouriez."
GEN.3.4,"Ci wanjoka abwîra nnamukazi, erhi: «Nanga murhakafa mâshi!.",Alors le serpent dit à la femme: Vous ne mourrez point;.
GEN.3.5,Kali ciru Nnâmahanga amanyire oku amango mwânagulyekwo amasù ginyu gânayiguke munahinduke nka banyamuzinda mukâmanya aminjà namabî».,"mais Dieu sait que, le jour où vous en mangerez, vos yeux souvriront, et que vous serez comme des dieux, connaissant le bien et le mal."
GEN.3.6,"Lêro nyamukazi abona nkomurhi guli mwinjà okulîbwa, gunali gwa kusîmîsa amasù gunali gwa kucîfinjwa nokudômwamwo obwenge; arhôla irehe alyâko, anahà ibà wali bonaye, naye alyâkwo.","La femme vit que larbre était bon à manger et agréable à la vue, et quil était précieux pour ouvrir lintelligence; elle prit de son fruit, et en mangea; elle en donna aussi à son mari, qui était auprès delle, et il en mangea."
GEN.3.7,"Erhi amasù gâbo bombi gayiguka, bàbona oku bali bashugunu ; bazingazinga ebyâsi byomulehe babiyambalira omu cibunu. Murh .","Les yeux de lun et de lautre souvrirent, ils connurent quils étaient nus, et ayant cousu des feuilles de figuier, ils sen firent des ceintures."
GEN.3.8,"Banaciyumva Nyakasane Nyamuzinda ajà acîgezageza omu ishwa oku hihûsi hyolusiku, omulume na mukâge bacîfulika Nyakasane Nyamuzinda, omu karhî kemirhi yomu ishwa.","Alors ils entendirent la voix de lÉternel Dieu, qui parcourait le jardin vers le soir, et lhomme et sa femme se cachèrent loin de la face de lÉternel Dieu, au milieu des arbres du jardin."
GEN.3.9,"Ci Nyakasane Nyamuzinda ayâkûza omulume amubwîra, erhi: «Ngahi oli?».","Mais lÉternel Dieu appela lhomme, et lui dit: Où es-tu?."
GEN.3.10,"Ashuza, erhi: «Nayumvîrhe wadunda amashando omu ishwa, namayôboha, bulya ndi mushugunu co carhumire nacîfulika».","Il répondit: Jai entendu ta voix dans le jardin, et jai eu peur, parce que je suis nu, et je me suis caché."
GEN.3.11,"Ashubidôsa, erhi: «Ndi wakumanyisize oku oli mushugunu? Ci akabà walire kwa gulya murhi nakuhanzagya nti irhondo orhahîraga okalya?».",Et lÉternel Dieu dit: Qui ta appris que tu es nu? Est-ce que tu as mangé de larbre dont je tavais défendu de manger?.
GEN.3.12,"Nyamulume ashuza, erhi: «Omukazi wampebaga aha burhambi anampîre kwa gulya murhi nâni namanalyâkwo».","Lhomme répondit: La femme que tu as mise auprès de moi ma donné de larbre, et jen ai mangé."
GEN.3.13,"Nyakasane Nyamuzinda abwîra omukazi, erhi: «Bici ebyo wamajira wâni?». Nnamukazi ashuza, erhi: «Kali enjoka yamanteba lêro namalya».","Et lÉternel Dieu dit à la femme: Pourquoi as-tu fait cela? La femme répondit: Le serpent ma séduite, et jen ai mangé."
GEN.3.14,"Go mango Nyakasane Nyamuzinda abwîzirage enjoka, erhi: «Obwo wanajizire ntyo, ohehêrirwe kulusha ngasi cishwêkwa na kulusha ensimba zerubala zoshi; oku nda okola wâkagendera na katulo okola wâkâlya ensiku zoshi zakalamo kâwe.","LÉternel Dieu dit au serpent: Puisque tu as fait cela, tu seras maudit entre tout le bétail et entre tous les animaux des champs, tu marcheras sur ton ventre, et tu mangeras de la poussière tous les jours de ta vie."
GEN.3.15,"Nkola naheba enshombo ekarhî kâwe nomukazi, ekarhî kiburha lyâwe niburha lyâge: oyu âkusinaga irhwe nâwe omukomolere oku kansisira».","Je mettrai inimitié entre toi et la femme, entre ta postérité et sa postérité: celle-ci técrasera la tête, et tu lui blesseras le talon."
GEN.3.16,"Abwîra nyamukazi, erhi: «Nkolanayûshûla amalumwa gâwe, namazîmi gâwe omu malumwa okola wakaburha abâna. Kulalikira okolaga wakalalikira balo, ci naye akola ayishikâkuzidohera .».","Il dit à la femme: Jaugmenterai la souffrance de tes grossesses, tu enfanteras avec douleur, et tes désirs se porteront vers ton mari, mais il dominera sur toi."
GEN.3.17,"Abwîra nyamulume, erhi: «Obwo wayumvîrhe mukâwe, wanalya kuli gulya murhi, nobwo nakurhegekaga, nti irhondo orhahîraga okagulyâkwo, idaho lihehêrîrwe erhi we rhuma. Omu malibuko okola wakâkulamwo eci walya, ensiku zoshi zakalamo kâwe.","Il dit à lhomme: Puisque tu as écouté la voix de ta femme, et que tu as mangé de larbre au sujet duquel je tavais donné cet ordre: Tu nen mangeras point! Le sol sera maudit à cause de toi. Cest à force de peine que tu en tireras ta nourriture tous les jours de ta vie."
GEN.3.18,"Mahwa nemishûgi likola lyakâkufulukiza, okâlya nenshogo lubala.","il te produira des épines et des ronces, et tu mangeras de lherbe des champs."
GEN.3.19,Kurhûbanukirwa emalanga okola wakâbonamwo omugati : kuhika oshubire omu budaka bulya mwo warhengaga. Oli katulo nomu katulo wânashubire!».,"Cest à la sueur de ton visage que tu mangeras du pain, jusquà ce que tu retournes dans la terre, doù tu as été pris; car tu es poussière, et tu retourneras dans la poussière."
GEN.3.20,"Omuntu ayîrika mukâge erya Eva, «Hawa» bulya ye nnina wa abazîne boshi.",Adam donna à sa femme le nom dÈve: car elle a été la mère de tous les vivants.
GEN.3.21,Nyakasane Nyamuzinda àjirira omulume nomukazi ebishûli byempù àbayambika.,"LÉternel Dieu fit à Adam et à sa femme des habits de peau, et il les en revêtit."
GEN.3.22,"Nyakasane Nyamuzinda aderha, erhi: «Alagi oku omuntu akola ali akîrhu erhi kumanya aminjà namabî kurhuma. Mumanyage, arhacihîraga alîka okuboko kwâge mpu ahumbûle oku murhi gwobuzîne, agulye alame ensiku zoshi!».","LÉternel Dieu dit: Voici, lhomme est devenu comme lun de nous, pour la connaissance du bien et du mal. Empêchons-le maintenant davancer sa main, de prendre de larbre de vie, den manger, et de vivre éternellement."
GEN.3.23,"Nyakasane Nyamuzinda amuhimva omu ishwa lya Edeni , mpu lyagendihinga obudaka arhengagamwo.","Et lÉternel Dieu le chassa du jardin dÉden, pour quil cultivât la terre, doù il avait été pris."
GEN.3.24,"Ahimva omuntu anahira bakerubini nengulumira yengôrho yalaza ebushoshôkero bwishwa lyamasîma, lyo balanga enjira ejà ebwa murhi gwobuzîne .","Cest ainsi quil chassa Adam; et il mit à lorient du jardin dÉden les chérubins qui agitent une épée flamboyante, pour garder le chemin de larbre de vie."
GEN.4.1,"Adamu ashamuka kuli mukâge Eva. Eva ayâlala anaburha Kayini. Aderha, erhi: «Namashobôla omuntu emwa Nyakasane».","Adam connut Ève, sa femme; elle conçut, et enfanta Caïn et elle dit: Jai formé un homme avec laide de lÉternel."
GEN.4.2,Ashubiburha omulumuna Abeli. Abeli ali mushwesi wa bishwêkwa ci Kayini ali muhinzi wa budaka.,"Elle enfanta encore son frère Abel. Abel fut berger, et Caïn fut laboureur."
GEN.4.3,"Erhi kugera mango, Kayini arhûla nterekêro emwa Nyakasane ebi akûlaga omu budaka.","Au bout de quelque temps, Caïn fit à lÉternel une offrande des fruits de la terre;."
GEN.4.4,Abeli naye arhûla ebiburhwa birhanzi byebibuzi byâge namashushi gâbyo. Nyakasane ayankirira Abeli nentûlo yâge.,"et Abel, de son côté, en fit une des premiers-nés de son troupeau et de leur graisse. LÉternel porta un regard favorable sur Abel et sur son offrande;."
GEN.4.5,ci arhayankiriraga Kayini neyâge ntûlo. Kayini akunirira okwo nobusù bwâge bwazinzibala.,"mais il ne porta pas un regard favorable sur Caïn et sur son offrande. Caïn fut très irrité, et son visage fut abattu."
GEN.4.6,"Nyakasane abwîra Kayini, erhi: «Cirhumire wakunira, cirhumire obusù bwâwe bwazinzibala?.","Et lÉternel dit à Caïn: Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?."
GEN.4.7,"Nkawalijizire bwinjà, karhinga orhayinamwiri amalanga? Ci akabà orhajiziri bwinjà, ecâha cishurhamire aha lusò lwâwe, ciri cakulalîra, ci ocîhangâne ocihime».","Certainement, si tu agis bien, tu relèveras ton visage, et si tu agis mal, le péché se couche à la porte, et ses désirs se portent vers toi: mais toi, domine sur lui."
GEN.4.8,"Kayini abwîra omulumuna Abeli, erhi: «Rhujè ebulambo!». Oku bali omu bulambo, Kayini ayînamula okuboko acîrhulirakwo Abeli anamuniga.","Cependant, Caïn adressa la parole à son frère Abel; mais, comme ils étaient dans les champs, Caïn se jeta sur son frère Abel, et le tua."
GEN.4.9,"Go mango Nyakasane abwîzire Kayini, erhi: «Ngahi mulumuna wâwe Abeli ali?». Ashuza, erhi: «Ntamanyiri. Ka nie mmulanga mulumuna wâni?».",LÉternel dit à Caïn: Où est ton frère Abel? Il répondit: Je ne sais pas; suis-je le gardien de mon frère?.
GEN.4.10,"Amushuza, erhi: «Bici ebi wamajira? Izù lyomukò gwa mulumuna wâwe lyamanyakûza kurhenga okwidaho.",Et Dieu dit: Quas-tu fait? La voix du sang de ton frère crie de la terre jusquà moi.
GEN.4.11,Buyôrhe buhehêrirwe obudaka bwamiraga omukò gwa mulumuna wâwe erhi werhuma.,"Maintenant, tu seras maudit de la terre qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère."
GEN.4.12,"Erhi okacihinga obudaka burhakacikuyerera bici, wâbà kahûkà, wajà wayêrûka omu igulu ».","Quand tu cultiveras le sol, il ne te donnera plus sa richesse. Tu seras errant et vagabond sur la terre."
GEN.4.13,"Kayini abwîra Nyakasane, erhi: «Kecâha câni ciri cinene bwenêne cirhakababalirwa?».",Caïn dit à lÉternel: Mon châtiment est trop grand pour être supporté.
GEN.4.14,"«Lolà oku wamampiva muli lîno ishwa nnangwâsirwe ncîfulike hali na nâwe, nkolaga nâbà karharhinda na karhebera muno igulu, owanambugâne hali amango akanyîrha.».","Voici, tu me chasses aujourdhui de cette terre; je serai caché loin de ta face, je serai errant et vagabond sur la terre, et quiconque me trouvera me tuera."
GEN.4.15,"Ci Nyakasane amubwîra, erhi: «Ci kwoki ngasi wayîrhe Kayini acîholwa kali nda!». Nyakasane ahirakwo Kayini ecimanyîso, mpu lyo ngasi wâmurhimâne arhamushûrhaga.","LÉternel lui dit: Si quelquun tuait Caïn, Caïn serait vengé sept fois. Et lÉternel mit un signe sur Caïn pour que quiconque le trouverait ne le tuât point."
GEN.4.16,"Kayini acîyêgûla kuli Nyakasane anayûbaka omu cihugo ca Nodu, ebushoshôkero bwishwa lyamasîma.","Puis, Caïn séloigna de la face de lÉternel, et habita dans la terre de Nod, à lorient dÉden."
GEN.4.17,"Kayini ashamuka bona mukâge, mukâge ayâlala anaburha Enoku; ayûbaka ecishagala aciyîrika erya Enoku, cirhenzire oku izîno lyomugala Enoku.","Caïn connut sa femme; elle conçut, et enfanta Hénoc. Il bâtit ensuite une ville, et il donna à cette ville le nom de son fils Hénoc."
GEN.4.18,"Enoku aburhirwa Iradi , Iradi aburha Mehuyael na Mekuyael aburha Metushael. Metushael aburha Lâmek, Lâmek arhôla bakazi babiri: muguma ye Ada nowundi ye Zila.","Hénoc engendra Irad, Irad engendra Mehujaël, Mehujaël engendra Metuschaël, et Metuschaël engendra Lémec."
GEN.4.19,Lâmek arhôla bakazi babiri: muguma ye Ada nowundi ye Zila.,"Lémec prit deux femmes: le nom de lune était Ada, et le nom de lautre Tsilla."
GEN.4.20,Ada aburha Yabal: yîshe wabahanda omu bifumba bajabalusa ebishwêkwa.,Ada enfanta Jabal: il fut le père de ceux qui habitent sous des tentes et près des troupeaux.
GEN.4.21,Omulumuna yewali Yubal: yewali îshe wabaziha olulanga nakarhêra.,Le nom de son frère était Jubal: il fut le père de tous ceux qui jouent de la harpe et du chalumeau.
GEN.4.22,"Zila naye aburha Tubal Kayini, mutuzi, yîshe wabakola amarhale nebyûma. Mwâli wâbo Tubalkayini yewali Nahama.","Tsilla, de son côté, enfanta Tubal-Caïn, qui forgeait tous les instruments dairain et de fer. La sœur de Tubal-Caïn était Naama."
GEN.4.23,"Lâmek abwîra bakage, erhi: «Ada na Zila, yumvirhizi izù lyâni; bakà Lâmek, rhegi amarhwîri oku bino namubwîra: nayîsire omuntu okwenge amanyâgaza nayîrha nomushikira okwenge amampukula».","Lémec dit à ses femmes: Ada et Tsilla, écoutez ma voix! Femmes de Lémec, écoutez ma parole! Jai tué un homme pour ma blessure, Et un jeune homme pour ma meurtrissure."
GEN.4.24,«Kayini anacîholerwe kali nda ci Lâmek yêhe kali makumi gali nda na nda».,"Caïn sera vengé sept fois, Et Lémec soixante-dix-sept fois."
