fra	swc	swc_clean
Le scandale a nui au prestige de la compagnie.	Kasha ili haribu sifa ya shirika.	Kasha ili haribu sifa ya shirika.
Il n'était pas terrible.	hayuko wa ajabu.	hayuko wa ajabu.
Le futur est la conséquence du présent.	Itakayo kuja inatokana na ya sasa.	Itakayo kuja inatokana na ya sasa.
Viens t'endormir dans mes bras.	Kuja ulale mikononi yangu.	Kuja ulale mikononi yangu.
C'est trop facile, j'imagine.	Nafikiri, ni rahisi sana.	Nafikiri, ni rahisi sana.
Tom est le fils de Mary.	Tom ni mutoto wa Maria.	Tom ni mutoto wa Maria.
Les fleurs étaient très belles à regarder.	Mahuwa ilikuwa muzuri ku hangalia.	Mahuwa ilikuwa muzuri ku hangalia.
Je suis ravi que nous nous comprenions.	Na furai sababu tuna elewana.	Na furai sababu tuna elewana.
Je t'aime davantage que qui que ce soit d'autre.	Nakupenda kuliko wengine wote.	Nakupenda kuliko wengine wote.
Les gens ont peur de la guerre.	Watu wana ogopa vita.	Watu wana ogopa vita.
Je ne suis pas en forme.	Siko sawa.	Siko sawa.
Quand et où as-tu reçu le cadeau ?	Ulipata zawadi wapi?	Ulipata zawadi wapi?
Je t'attends depuis plus d'une semaine.	Na kungojea mu juma moja.	Na kungojea mu juma moja.
As-tu peur de Tom ?	Una ogopa Tom?	Una ogopa Tom?
Tom ne sait pas quoi dire.	Tom hajuwi kitu ya kusema.	Tom hajuwi kitu ya kusema.
Paul a gagné beaucoup d'argent l'année dernière.	Paul ali pata pesa mingi mwaka jana.	Paul ali pata pesa mingi mwaka jana.
Elle a connu de meilleurs jours.	Alikuwa ni masiku muzuri.	Alikuwa ni masiku muzuri.
Cette découverte s'inscrira dans l'histoire.	Ugunduzi huu uta andikwa mu historia.	Ugunduzi huu uta andikwa mu historia.
J'ai deux ordinateurs, mais ils sont tous les deux cassés. Donc, maintenant, j'utilise celui de ma sœur pendant qu'elle est absente.	Niko na kompyuta mbili, lakini yote mbili ime haribika. Basi, sasa, natumia ile ya dada yangu wakati kama haiko.	Niko na kompyuta mbili, lakini yote mbili ime haribika. Basi, sasa, natumia ile ya dada yangu wakati kama haiko.
Nous étions tous présents à la fête.	Tulikuwa wote karibu siku ya sherehe.	Tulikuwa wote karibu siku ya sherehe.
Pourquoi ne lui demandons-nous pas conseil ?	Sababu ya nini atu ombi ushauri?	Sababu ya nini atu ombi ushauri?
Le riz manque de sel.	Wali haina chumvi.	Wali haina chumvi.
Elle lui promit de le rencontrer au café.	Ali mwambia wakutanane ku mugahawa.	Ali mwambia wakutanane ku mugahawa.
"""Tu passes chez moi ?"" ""Je peux ?"" ""Mes parents rentrent tard tous les deux comme ils travaillent."""	“Unapita kwangu ?” “naweza ?” “wazazi wangu wanafika nyuma sababu wote wanafanya kazi.”	“Unapita kwangu ?” “naweza ?” “wazazi wangu wanafika nyuma sababu wote wanafanya kazi.”
J'ignore pourquoi tu l'écoutes.	Sijui kwanini una msikiliza.	Sijui kwanini una msikiliza.
J'ai l'intention de travailler l'anglais cet après-midi.	Nataka kufanya Kingereza leo mchana.	Nataka kufanya Kingereza leo mchana.
Peut-il y avoir un ordinateur assez intelligent pour raconter une blague ?	Anaweza kuwa na kompyuta yenye iko na uwezo wa kutangaza mizaa?	Anaweza kuwa na kompyuta yenye iko na uwezo wa kutangaza mizaa?
Es-tu d'accord ?	Una kubali?	Una kubali?
Excusez-moi s'il vous plait, parlez-vous l'anglais?	Samahani tafadhali, unasema Kingereza?	Samahani tafadhali, unasema Kingereza?
Je vous dois des excuses pour mon retard.	Nita kuomba msamaha kwa kuchelewa kwangu.	Nita kuomba msamaha kwa kuchelewa kwangu.
Tu l'as tué ?	Uli mu-huwa?	Uli mu-huwa?
Fermez toutes les portes et fenêtres !	Funga milango yote na madirisha yote!	Funga milango yote na madirisha yote!
Je ne pense pas que ce soit juste.	Sijui ni kwa nani sana.	Sijui ni kwa nani sana.
Il prit le coup sur la tête.	Alipigwa kichwani.	Alipigwa kichwani.
C'est un membre du club de tennis de l'école.	Ni mwanachama wa timu ya tenisi ya masomo.	Ni mwanachama wa timu ya tenisi ya masomo.
Nous ne sommes pas en sécurité.	Hatuko katika usalama.	Hatuko katika usalama.
À peu près tous les étudiants aiment l'anglais.	Labda wanafunzi wote wanapenda Kingereza.	Labda wanafunzi wote wanapenda Kingereza.
Le jour prend fin.	Siku ime isha.	Siku ime isha.
Cette fleur a une odeur suave.	Mahuwa hii ina harufu muzuri.	Mahuwa hii ina harufu muzuri.
Tom sait que c'est la vérité.	Tom anajua kama ni ukweli.	Tom anajua kama ni ukweli.
Dis-lui de le leur donner.	Mwambie awape.	Mwambie awape.
Tu devrais vraiment dire à Tom de ne pas le faire.	Uta mwambia Tom ile ya kufanya.	Uta mwambia Tom ile ya kufanya.
Je pense que Tom te le dira.	Nafikiri Tom ata ku ambia.	Nafikiri Tom ata ku ambia.
Tu es mon héros.	Weye ni shujaa wangu.	Weye ni shujaa wangu.
365 jours sont passés.	Siku 365 zime pita.	Siku 365 zime pita.
Le problème nécessitait un gros effort pour être résolu.	Tatizo ina hitaji kazi ya mingi.	Tatizo ina hitaji kazi ya mingi.
Elle m'a servi un café.	Ali nipatia kahawa.	Ali nipatia kahawa.
La population de Suède est en augmentation.	Raia wa Uswizi wana ongezeka.	Raia wa Uswizi wana ongezeka.
Si tu veux pleurer, pleure.	Kama unataka kulia, lia.	Kama unataka kulia, lia.
Qui avez-vous invité à dîner ?	Uli halika nani ku chakula ya jioni?	Uli halika nani ku chakula ya jioni?
Je ne veux rien faire qui pourrait s'avérer dangereux.	Sita fanya kitu yoyote mbaya.	Sita fanya kitu yoyote mbaya.
Je n'ai pas beaucoup d'argent sur moi.	Sina pesa mingi.	Sina pesa mingi.
Il y a une autre façon.	Kuna njia ingine.	Kuna njia ingine.
Je ne fais pas de traductions gratuites.	Si fanyi ukalimani ku bure.	Si fanyi ukalimani ku bure.
Je veux dormir ! Dormir plutôt que vivre !	nataka kulala! Kulala kuliko kuishi!	nataka kulala! Kulala kuliko kuishi!
Il se tenait assis sur un banc.	Alikuwa anakaa chini kwenye kiti.	Alikuwa anakaa chini kwenye kiti.
Un homme n'est pas toujours ce qu'il semble être.	Mtu haiko vile una m fananisha.	Mtu haiko vile una m fananisha.
Tom n'aimait Marie que pour son argent.	Tom alikuwa anapenda Marie sababu ya pesa yake.	Tom alikuwa anapenda Marie sababu ya pesa yake.
Savez-vous à qui appartient cette voiture ?	Unajua hiyo gari ni ya nani?	Unajua hiyo gari ni ya nani?
J'ai peur de ne pas avoir le temps de les finir.	Nina ogopa sitakuwa na muda wa kumaliza.	Nina ogopa sitakuwa na muda wa kumaliza.
Le lion est le roi des animaux.	Simba ni mkuu wa wanyama.	Simba ni mkuu wa wanyama.
Le four de ma maison ne fonctionne pas très bien aujourd'hui.	Tanuru ya nyumba yangu haifanyi kazi leo.	Tanuru ya nyumba yangu haifanyi kazi leo.
Je n'ai pas l'intention d'obéir à ces ordres.	Sina nia ya kuheshimu utaratibu huu.	Sina nia ya kuheshimu utaratibu huu.
N'oubliez pas de prendre votre pilule !	Usi sahau kunywa dawa yako!	Usi sahau kunywa dawa yako!
Je ne suis pas germanophone, mais je suis germanophile.	Mimi si germanophone, lakini mimi ni germanophile.	Mimi si germanophone, lakini mimi ni germanophile.
J'ai oublié de dire à Tom quand venir.	Nili sahau kuambia Tom siku ya-kuja.	Nili sahau kuambia Tom siku ya-kuja.
Où se trouve le zoo ?	Wanyama wako wapi?	Wanyama wako wapi?
Voudriez-vous fermer la fenêtre ?	Ulitaka kufuga dirisha?	Ulitaka kufuga dirisha?
Je veux lui faire faire ce travail difficile.	Nita mfanya afanye hii kazi ngumu.	Nita mfanya afanye hii kazi ngumu.
Vous pouvez rester ici si vous voulez.	Unaweza kubakia hapa ukitaka.	Unaweza kubakia hapa ukitaka.
Elles doivent le confesser.	Anapaswa kutubu.	Anapaswa kutubu.
Nous ne sommes pas censés boire de l'alcool dans ce théâtre.	Haiko lazima tunywe pombe mu hii mchezo.	Haiko lazima tunywe pombe mu hii mchezo.
Tom ne savait pas ce que je ressentais.	Tom hajui vile nilikuwa nasikia.	Tom hajui vile nilikuwa nasikia.
Bouge de mon chemin s'il-te-plait.	Toka mu njia yangu tafadhali.	Toka mu njia yangu tafadhali.
Il est l'heure pour nous de partir.	Ni wakati wa sisi kuenda.	Ni wakati wa sisi kuenda.
Il était déterminé à partir à l'étranger.	Alikuwa anataka kuenda mu inchi ya kigeni.	Alikuwa anataka kuenda mu inchi ya kigeni.
Nous jugeons parfois les autres sur leurs actes.	Tuna hukumu wengine mu matendo yao.	Tuna hukumu wengine mu matendo yao.
C'est arrivé en 2013.	Ilifika mu mwaka wa 2013.	Ilifika mu mwaka wa 2013.
Tom m'a dit que c'était Marie qui le lui avait dit.	Tom ali ni ambia aliambiwa na Maria.	Tom ali ni ambia aliambiwa na Maria.
Il peut cuisiner aussi bien que sa femme.	Anaweza kupika chakula kuliko mke wake.	Anaweza kupika chakula kuliko mke wake.
Les deux nations entrèrent en guerre.	Inchi mbili zita ingia mu vita.	Inchi mbili zita ingia mu vita.
Je n'ai pas le temps de me soucier de ce genre de futilités.	Sina wakati wa kufuatana na watu wajinga.	Sina wakati wa kufuatana na watu wajinga.
S'il te plait ne me fais pas rire. J'ai fait trop d'abdominaux hier et mes muscles ventraux me font mal.	Naomba usi ni chekeshe. Nilifanya vitu mingi vibaya jana na mishipa yangu ya tumbu ina huma.	Naomba usi ni chekeshe. Nilifanya vitu mingi vibaya jana na mishipa yangu ya tumbu ina huma.
Tom s'engagea finalement dans la Marine.	Tom ali ingiza mu maneno ya maji.	Tom ali ingiza mu maneno ya maji.
Environ deux semaines.	Karibu majuma mbili.	Karibu majuma mbili.
Qui n'était pas ici ?	Nani ahuko hapa?	Nani ahuko hapa?
Tom sera là.	Tom atakuwa hapo.	Tom atakuwa hapo.
Je m'en veux.	Na i penda.	Na i penda.
Je sais que tu veux être heureux.	Sijui kama uta furahia.	Sijui kama uta furahia.
Nous nous faisions du souci.	Tuna shangaa.	Tuna shangaa.
Pourquoi n'y allons-nous pas ensemble ?	Kwanini hapendi huko pamoja?	Kwanini hapendi huko pamoja?
Tu as beaucoup d'idées bizarres.	Uko na mawazo mingi mabaya.	Uko na mawazo mingi mabaya.
Prenez garde !	Chunga!	Chunga!
J'aimerais parler avec Tom sur son frère John.	Napenda ni sema na Tom sababu ya kaka yake John.	Napenda ni sema na Tom sababu ya kaka yake John.
Tous mes amis sont mariés.	Marafiki yangu wote wame olewa.	Marafiki yangu wote wame olewa.
Je n'arrive pas à comprendre la signification de ce mot.	Sielewi maana ya hii neno.	Sielewi maana ya hii neno.
Nous séjournâmes dans un chouette hôtel.	Tuta shinda mu chumba ya hoteli.	Tuta shinda mu chumba ya hoteli.
Il était en train de déjeuner quand je suis entré dans la pièce.	Alikuwa anakula wakati nili ingia.	Alikuwa anakula wakati nili ingia.
Je n'ai pas pu comprendre l'annonce qui vient d'être faite.	Siku sikia matangazo wame sema saa hii.	Siku sikia matangazo wame sema saa hii.
Je ne voulais pas le croire.	sikutaka kumuamini.	sikutaka kumuamini.
Il part pour New York la semaine prochaine.	anaenda New York juma ijayo.	anaenda New York juma ijayo.
Je n'ai aucune idée de pourquoi.	Sina mawazo yoyote ya-ku uliza kwanini.	Sina mawazo yoyote ya-ku uliza kwanini.
Je ne t'aurais jamais tiré dessus.	Sita weza kuku kokota juu.	Sita weza kuku kokota juu.
Si tu te fais de nouveaux amis, n'oublie pas les anciens.	Ukipata marafiki wa mapya, usi sahau marafiki ya zamani.	Ukipata marafiki wa mapya, usi sahau marafiki ya zamani.
Tom n'achète que des œufs de poules élevées en plein air.	Tom ana ni-uzia mayai ya kuku ya kufugwa mu kiwanja.	Tom ana ni-uzia mayai ya kuku ya kufugwa mu kiwanja.
Dans la maison il n'y avait pas de signe de vie.	Katika nyumba hamuku kuwa dalili ya maisha.	Katika nyumba hamuku kuwa dalili ya maisha.
Veux-tu manger quelque chose ?	Unataka kula kito yoyote?	Unataka kula kito yoyote?
Il ne s'agit pas de cela.	Si hiyo.	Si hiyo.
Je déteste ce jeu.	Sita huu mchezo.	Sita huu mchezo.
Il va faire chaud.	Itakuwa joto.	Itakuwa joto.
J'approuve son projet.	Nakubali muradi yake.	Nakubali muradi yake.
Est-ce que Tom a vu ça ?	Je Tom aliiona?	Je Tom aliiona?
Nous allons provoquer le débat sur le changement climatique.	Tuta hanza mjadala kuhusu mabadiliko ya hali ya hewa.	Tuta hanza mjadala kuhusu mabadiliko ya hali ya hewa.
Tom parle parfaitement l'allemand.	Tom anasema ki Allemand.	Tom anasema ki Allemand.
J'ai trouvé le lit très confortable.	Nilipata kitanda muzuri.	Nilipata kitanda muzuri.
Je suis déjà vieux et je ne peux guère gérer toutes les affaires.	nime zeeka na siwezi ku ongoza maneno yote.	nime zeeka na siwezi ku ongoza maneno yote.
Je me sentais davantage en sécurité.	Najisikia kuwa na usalama.	Najisikia kuwa na usalama.
Sait-il ce qu'elle éprouve à son égard ?	Unajua ana maanisha nini?	Unajua ana maanisha nini?
Ça s'assombrissait.	Inakuwa giza.	Inakuwa giza.
L'endroit était presque vide.	Nafasi ilikuwa bure.	Nafasi ilikuwa bure.
Dis la vérité à Tom.	Sema ukweli Tom.	Sema ukweli Tom.
Quant aux échecs, je ne connais que les règles.	Wakati waku kosa, sijuagi sheria.	Wakati waku kosa, sijuagi sheria.
Tu ne peux pas le gérer seul.	Hauwezi waongoza peke yako.	Hauwezi waongoza peke yako.
Je ne pense pas que tout le monde ait renoncé.	Si kumbuki kama kila mtu anakataa.	Si kumbuki kama kila mtu anakataa.
Je n'ai pas beaucoup d'argent à disposition.	Sina pesa nyingi sana.	Sina pesa nyingi sana.
Je ne voudrai pas être responsable de mes actes.	Sitakuwa na uhamzi kuhusu matendo yangu.	Sitakuwa na uhamzi kuhusu matendo yangu.
Tu n'as pas l'air très fatigué.	Hauonekani kuchoka.	Hauonekani kuchoka.
Je pensais que vous seriez impressionnée.	Siku dhani kama uta furaiya.	Siku dhani kama uta furaiya.
Je lui ai dit que je n'étais pas intéressé.	Nili mwambia sitaki.	Nili mwambia sitaki.
Tu trouveras quelque chose qui t'intéresse.	Ulipata kitu yoyote ya-ku kufu raisha.	Ulipata kitu yoyote ya-ku kufu raisha.
Oh, non ! vraiment ?	Oh, hapa! kabisa?	Oh, hapa! kabisa?
Il lui a écrit un message.	Ali mu-andikia ujumbe.	Ali mu-andikia ujumbe.
Laisse-la partir !	Wacha apite!	Wacha apite!
Mon oncle a une ferme dans le village.	Mjomba yangu ako na bibi ku kijiji.	Mjomba yangu ako na bibi ku kijiji.
Beaucoup de personnes pensent que je suis fou.	Watu mingi wali fikiria mimi ni mwenda wazimu.	Watu mingi wali fikiria mimi ni mwenda wazimu.
Ne me parle pas d'elle.	Usi niambie ku husu yeye.	Usi niambie ku husu yeye.
Cet endroit est à côté de la mer.	Hii nafasi iko karibu ya bahari.	Hii nafasi iko karibu ya bahari.
Il a compris qu'il avait tort.	Alikubali alikuwa na makosa.	Alikubali alikuwa na makosa.
Elle n'est pas moins belle que sa sœur.	Ni kiyana kama dada yake.	Ni kiyana kama dada yake.
J'ai faim !	Niko na njaa!	Niko na njaa!
La fête t'a-t-elle plu ?	Sherehe ili ku fura-isha ?	Sherehe ili ku fura-isha ?
Elle est trop âgée pour toi.	Alisha zeeka ku-kuliko.	Alisha zeeka ku-kuliko.
La physique ne m'intéresse pas le moins du monde.	Fizikia hai fura ishi hata kidogo duniani.	Fizikia hai fura ishi hata kidogo duniani.
Je suis susceptible de pouvoir le faire.	Nafurahi sana kuifanya.	Nafurahi sana kuifanya.
J'irai en Irlande cet été.	Nita enda Irland wakati wa jua.	Nita enda Irland wakati wa jua.
Je verrai Tom demain.	Nitaona Tom kesho.	Nitaona Tom kesho.
Il n'est pas nécessaire que tu te presses. Prends ton temps.	Aina haja wewe kuji finya. Chukua muda wako.	Aina haja wewe kuji finya. Chukua muda wako.
Il se peut qu'il ne soit pas un homme mauvais.	Inawezekana haiko mtu mbaya.	Inawezekana haiko mtu mbaya.
Je fis une liste.	Nafanya orodha.	Nafanya orodha.
La police enquête.	Polisi wana chunguza.	Polisi wana chunguza.
Maintenant, je te présenterai mes parents.	Sasa, Nita kuonyesha wazazi wangu.	Sasa, Nita kuonyesha wazazi wangu.
C'est la maison où je vivais quand j'étais petit.	Ni nyumba nili ishi nikiwa mdogo.	Ni nyumba nili ishi nikiwa mdogo.
Dites-moi quel pain vous désirez manger.	Unataka kula mkate gani, niambie.	Unataka kula mkate gani, niambie.
Je suis prêt à aller avec vous.	Niko tayari kuenda nawe.	Niko tayari kuenda nawe.
Je l'ai vu sauter.	Niliona aliruka.	Niliona aliruka.
Nous fîmes l'ascension de la montagne en téléphérique.	Tuli teremka mlima.	Tuli teremka mlima.
Je n'aurais peut-être pas dû t'embrasser.	Sita kubali kuku kumbatia.	Sita kubali kuku kumbatia.
Tom nous a dit de ne pas nager ici.	Tom alisema tusi ogelee hapa.	Tom alisema tusi ogelee hapa.
Je vais au lit. Bonne nuit.	Na henda kulala. Usiku mwema.	Na henda kulala. Usiku mwema.
Nous n'avons pas pu obtenir beaucoup d'aide.	Hatukupata usaidizi mingi.	Hatukupata usaidizi mingi.
Il est présent à la réunion.	Ako ku mkutano.	Ako ku mkutano.
Elle est de France.	Anatoka France.	Anatoka France.
Qui écrit lit deux fois.	Nani ana handika.	Nani ana handika.
Je parle le russe.	Nasema Ki-rusia.	Nasema Ki-rusia.
J'ai du travail par-dessus la tête.	Niko na kazi kichwani.	Niko na kazi kichwani.
Ce fut une chouette fête.	Ilikuwa sherehe muzuri.	Ilikuwa sherehe muzuri.
Toute la maison a cramé.	Nyumba mzima ya kuteketezwa.	Nyumba mzima ya kuteketezwa.
Le français de Tom est presque parfait.	Kifaransa ya Tom ni mzuri kiasi.	Kifaransa ya Tom ni mzuri kiasi.
La maison prit feu.	Nyumba ili lungula.	Nyumba ili lungula.
Ôte ton manteau et fais comme chez toi.	Vua koti yako ukale kama kwako.	Vua koti yako ukale kama kwako.
Il n'y a personne ici. Où sont-ils tous ?	Hakuna mtu hapa. Wote wako wapi?	Hakuna mtu hapa. Wote wako wapi?
J'aimerais savoir ce que vous voulez dire.	Napenda kujua ila unataka.	Napenda kujua ila unataka.
Il y a peu d'hommes qui sachent cela en leurs cœurs.	Kuna watu wadogo wanajua hiyo mu roho yao.	Kuna watu wadogo wanajua hiyo mu roho yao.
La chance n'y avait rien à faire.	Bahati haina kitu yoyote ya kufanya.	Bahati haina kitu yoyote ya kufanya.
Il porte une chemise rouge, c'est un signe !	Anavaa shati nyekundu, ni ishara!	Anavaa shati nyekundu, ni ishara!
Ce CD coûte 10 dollars.	Hii CD bana i huzisha dola 10.	Hii CD bana i huzisha dola 10.
L'ennemi ne peut pas s'approcher.	Adui hawezi karibia.	Adui hawezi karibia.
Je ne devrais probablement pas être en train de faire ça.	Siwezi kuwa nafanya vile.	Siwezi kuwa nafanya vile.
Je pensais que l'entreprise avait envoyé Tom à Boston.	Nafikiri shirika ilituma Tom huko Boston.	Nafikiri shirika ilituma Tom huko Boston.
Il y a quelque chose qui ne va pas.	Kuna kitu ambayo si muzuri.	Kuna kitu ambayo si muzuri.
Elle a réussi l'examen.	Alipata mtiani.	Alipata mtiani.
Je connais le garçon qui est assis le plus près de la porte.	Najua kijana yule amekaa chini karibu ya mlango.	Najua kijana yule amekaa chini karibu ya mlango.
Il n'est pas difficile de parler français.	Kuongea Kifaransa si ngumu.	Kuongea Kifaransa si ngumu.
Je reste pour quelques autres semaines.	Nabaki ku juma zingine.	Nabaki ku juma zingine.
Nous savions tous les deux que cela arriverait.	Tulijua sisi wote wawili kama hiyo itafika.	Tulijua sisi wote wawili kama hiyo itafika.
Personne n'est aux alentours.	Hakuna mtu ako pembeni.	Hakuna mtu ako pembeni.
Il ne sait pas qui a construit ces maisons.	Hajui nani alijenga hii nyumba.	Hajui nani alijenga hii nyumba.
C'était la fin de l'hiver et le temps était très froid.	Ilikuwa mwisho wa joto na ilikuwa baridi sana.	Ilikuwa mwisho wa joto na ilikuwa baridi sana.
Je n'aurais jamais dû essayer de faire ça.	Sita weza kujaribu hiyo hata kidogo.	Sita weza kujaribu hiyo hata kidogo.
Que faisiez-vous tous les deux ?	Mnafanya nini nyinyi wote wawili?	Mnafanya nini nyinyi wote wawili?
Nous avons jusqu'à demain soir pour décider.	Tuna taki-kana kuamua hadi kesho jioni.	Tuna taki-kana kuamua hadi kesho jioni.
Je ne l'avais pas encore compris.	Siku mu-elewa.	Siku mu-elewa.
Tom pensait que Marie n'apprécierait pas sa fête, donc il ne l'invita pas.	Tom ali fikiri Maria hata furaiya sherehe yake, basi bila ku mu halika.	Tom ali fikiri Maria hata furaiya sherehe yake, basi bila ku mu halika.
Nous nous réjouîmes d'avance d'une soirée à passer à la maison et sans invités.	Tuta kutana ku nyumba bila ku halika wageni.	Tuta kutana ku nyumba bila ku halika wageni.
C'est impossible de faire ça.	Ni vigumu kuifanya.	Ni vigumu kuifanya.
Ce livre est nouveau.	Kitabu hiki ni mpya.	Kitabu hiki ni mpya.
Elle se sécha les yeux.	Ali ji kausha macho.	Ali ji kausha macho.
Je me suis assis à côté de lui.	Nilikaa chini karibu yake.	Nilikaa chini karibu yake.
Je sais que tu n'es pas stupide.	Najua weye si mjinga.	Najua weye si mjinga.
La télé-réalité n'est-elle pas réelle ?	Kipindi ya runinga haiko ukweli?	Kipindi ya runinga haiko ukweli?
Jusqu'à quel point peut-on le croire ?	Mpaka wapi uta ya-kubali?	Mpaka wapi uta ya-kubali?
Je n'arrive pas à comprendre ce qu'elle veut.	Sielewi nini anapenda.	Sielewi nini anapenda.
Il n'y a pas les chaussures que j'ai achetées la semaine dernière.	Hakuna kiatu nili huza juma jana.	Hakuna kiatu nili huza juma jana.
Tom ne peut pas conduire une voiture.	Toma hawezi beba gari.	Toma hawezi beba gari.
Elle était pauvre, mais elle était honnête.	Alikuwa maskini lakini alikuwa mkweli.	Alikuwa maskini lakini alikuwa mkweli.
Y a-t-il eu un tremblement de terre ?	Kulikuwa na mtetemeko wa ardhi?	Kulikuwa na mtetemeko wa ardhi?
Il n'est pas nécessaire qu'il sache.	Si muimu ajue.	Si muimu ajue.
Tom n'a pas eu assez d'argent pour rentrer à la maison en bus.	Tom hakukuwa na pesa mingi yaku lipa gari yaku rudi nayo nyumbani.	Tom hakukuwa na pesa mingi yaku lipa gari yaku rudi nayo nyumbani.
Il se plaint toujours de ceci et cela.	Analalamika kila wakati kuhusu hii na ile.	Analalamika kila wakati kuhusu hii na ile.
Veux-tu venir faire des courses avec moi ?	Unataka kuja kufanya shuguli na mie?	Unataka kuja kufanya shuguli na mie?
Ce n'est plus un problème.	Si shida.	Si shida.
À quelle sorte de jeu joues-tu ?	Unataka michezo gani?	Unataka michezo gani?
Tu changeras d'avis.	Utabadilisha mawazo.	Utabadilisha mawazo.
A-t-on le droit de prendre des photos dans ce bâtiment ?	Uko na haki yaku chukua picha mu hii majengo ?	Uko na haki yaku chukua picha mu hii majengo ?
J'étais prêt aujourd'hui.	Nilikuwa tayari leo.	Nilikuwa tayari leo.
Tom a-t-il vraiment fait ce qu'il dit avoir fait ?	Tom alifanya ile anasema alifanya?	Tom alifanya ile anasema alifanya?
Il est très sexy.	Alikuwa mrembo sana.	Alikuwa mrembo sana.
Nous avons été très chanceux.	Tulikuwa na bahati sana.	Tulikuwa na bahati sana.
Me donnerez-vous quelque chose à boire ?	Utanipatia kitu yoyote ya kunywa?	Utanipatia kitu yoyote ya kunywa?
Tom et Mary étaient constamment en train de se battre.	Tom na Maria walikuwa wanapigana kila wakati.	Tom na Maria walikuwa wanapigana kila wakati.
Garde ton attention sur la récompense.	Weka malengo yako ku malipo.	Weka malengo yako ku malipo.
Pratiques-tu quelque sport ?	Unafanya michezo fulani?	Unafanya michezo fulani?
Est-ce vrai que tu as mordu ta sœur?	Ni ukweli uliluma dada yako?	Ni ukweli uliluma dada yako?
Nous sommes maintenant en phase.	Tuko katika hatuwa.	Tuko katika hatuwa.
Mais pourquoi donc voulez-vous six exemplaires du même livre ?	Kwanini basi unataka aina sita za vitabu?	Kwanini basi unataka aina sita za vitabu?
Vous nous manquerez à tous quand vous partirez.	Tuta kukosa siku uta henda.	Tuta kukosa siku uta henda.
Les yeux de Tom sont bleus.	Macho ya Tom ni ya samawati.	Macho ya Tom ni ya samawati.
Y a-t-il quoi que ce soit d'autre que tu aimerais ?	Kuna nini ingine unapenda?	Kuna nini ingine unapenda?
Je ne suis pas ton père.	Mimi si baba yako.	Mimi si baba yako.
Il est tout le temps en train de dire du mal des autres.	Kila wakati anafanya makosa ku wengine.	Kila wakati anafanya makosa ku wengine.
Tu ne viens pas ?	Haukuji?	Haukuji?
Tout le monde est suspect.	Kila mtu ni mshitakiwa.	Kila mtu ni mshitakiwa.
Tom a refusé.	Tom ali kataa.	Tom ali kataa.
