fra	swc	swc_clean
Tom ne l'a fait qu'une fois.	Tom alifanya hiyo limoja tu.	Tom alifanya hiyo limoja tu.
Nous nous connaissons depuis longtemps.	Tunajuana tangia zamani.	Tunajuana tangia zamani.
Dans ma famille, personne n'est capable de le faire.	Mu famille yangu hakuna mtu mwenyi anaweza kuifanya.	Mu famille yangu hakuna mtu mwenyi anaweza kuifanya.
Nous avons voyagé à travers tout le pays.	Tulisafiri mu inchi yote.	Tulisafiri mu inchi yote.
On m'a proposé le choix entre un thé et un café.	Baliniambia nichaguwe kati ya chai na kahawa.	Baliniambia nichaguwe kati ya chai na kahawa.
Thomas a une photo de sa famille sur son bureau.	Thomas iko na picha ya familia yake mu ofisi yake.	Thomas iko na picha ya familia yake mu ofisi yake.
On se fait à tout.	Tunazoweya kila kitu.	Tunazoweya kila kitu.
Je ne pense pas que quiconque me comprenne réellement.	Sijui kama kuko mutu mwenye ananielewe kabisa.	Sijui kama kuko mutu mwenye ananielewe kabisa.
Je commence à comprendre.	Minaanza elewa.	Minaanza elewa.
Tu as entendu un bruit derrière toi.	Ulisikia fujo nyuma yako.	Ulisikia fujo nyuma yako.
Tu as commis cette erreur exprès, n'est-ce pas ?	Ulifanya ile kosa kwa utashi, si vile?	Ulifanya ile kosa kwa utashi, si vile?
Pourquoi as-tu pleuré ?	Sababu gani ulilia?	Sababu gani ulilia?
Nous avions nos raisons.	Tulikuwa na sababu zetu.	Tulikuwa na sababu zetu.
Tu dois appeler Tom immédiatement.	Unapashwa ita Tom sasa hivi.	Unapashwa ita Tom sasa hivi.
C'est déjà l'été.	Ni kipwa déjà.	Ni kipwa déjà.
Ce n'est pas du chiqué.	Haiko ya kujisifia.	Haiko ya kujisifia.
Tom ne m'a pas payé autant qu'il l'a promis.	Tom hakunilipa sawa vile alini ahidia.	Tom hakunilipa sawa vile alini ahidia.
Ils ne peuvent me voir.	Habawezi niona.	Habawezi niona.
Profitez de la soirée au bal.	Mupitishe mangaribi njema ya sherehe.	Mupitishe mangaribi njema ya sherehe.
Des monnaies antiques furent trouvées à l'intérieur de la mystérieuse tombe.	Franga za zamani zilipatikana ndani ya ile kaburi ya ajabu.	Franga za zamani zilipatikana ndani ya ile kaburi ya ajabu.
Mon père m'a emmené au cinéma hier soir.	Baba alinibeba ku ciné jana mangaribi.	Baba alinibeba ku ciné jana mangaribi.
Vous pouvez choisir le livre que vous aimez.	Unaweza chagua kitabu kyenyi unapenda.	Unaweza chagua kitabu kyenyi unapenda.
Tu es un bon étudiant.	Uko mwanafuzi mzuri.	Uko mwanafuzi mzuri.
Combien en as-tu eu ?	Ulipata ngapi?	Ulipata ngapi?
Restez en ligne, s'il vous plaît.	Bakia kwenye mustari tafadhali.	Bakia kwenye mustari tafadhali.
Nous partons maintenant.	Tunaenda sasa.	Tunaenda sasa.
Nous n'avons pas encore planifié nos vacances.	Hatujapanga mapumuziko yetu.	Hatujapanga mapumuziko yetu.
Le soleil, ça fait toute la différence.	Jua, inafanya tofauti yote.	Jua, inafanya tofauti yote.
Comment faisons-nous cela ?	Tunaweza fanya ile namna gani?	Tunaweza fanya ile namna gani?
Tu dois remettre les rapports lundi.	Unapashwa pana ripoti siku ya kwanza.	Unapashwa pana ripoti siku ya kwanza.
Je sais que tu te soucies de Tom.	Minajua kama unaangaikIa Tom.	Minajua kama unaangaikIa Tom.
Je ferais pareil.	Nitafanya vile vile.	Nitafanya vile vile.
Il se lassa bientôt.	Alichoka hivi karibuni.	Alichoka hivi karibuni.
Il faut que tu essaies ça.	Unapashwa pima hii.	Unapashwa pima hii.
Je me suis descendu à son niveau.	Nilijishusha mpaka ku hali yake.	Nilijishusha mpaka ku hali yake.
Il aime les jeux de hasard.	Anapenda michezo ya bahati.	Anapenda michezo ya bahati.
Elle m'a menti.	Alinidanganya.	Alinidanganya.
Nous l'avons élu maire.	Tulimuchagua kuwa meya.	Tulimuchagua kuwa meya.
Nous avons presque fini pour aujourd'hui.	Tunakaribia maliza kwa siku ya leo.	Tunakaribia maliza kwa siku ya leo.
Je suis devenu ami avec Tom.	Niligeuka rafiki ya Tom.	Niligeuka rafiki ya Tom.
Vous n'êtes jamais allé à Paris ?	Hamujawai kwenda Paris?	Hamujawai kwenda Paris?
Quand la fête a-t-elle lieu ?	Sherehe ilikuwa wakati gani?	Sherehe ilikuwa wakati gani?
Je dois déjeuner avec lui.	Ninapashwa kula chakula ya mchana pamoja naye.	Ninapashwa kula chakula ya mchana pamoja naye.
Je préfère l'anglais.	Minapendelea Kingereza.	Minapendelea Kingereza.
Il s'inquiète pour les résultats de l'examen.	Iko na wasiwasi juu ya matokeo ya mashindano.	Iko na wasiwasi juu ya matokeo ya mashindano.
Elle est fière d'être belle.	Anajivunia kuwa murembo.	Anajivunia kuwa murembo.
Père lisait souvent des romans policiers pendant son temps libre.	Baba alikuwa nazowea soma bitabu ya hadisi za kipolisi wakati alikuwa hana kazi ya kufanya.	Baba alikuwa nazowea soma bitabu ya hadisi za kipolisi wakati alikuwa hana kazi ya kufanya.
Sers-toi une boisson !	Ujisaidie na kinywaji.	Ujisaidie na kinywaji.
C'est arrivé ce matin pour vous.	Imefika hii asubui ju yako.	Imefika hii asubui ju yako.
La serviette ne fut pas du tout utile.	Kipanguza haikukuwa ya lazima.	Kipanguza haikukuwa ya lazima.
C'est mieux que le film.	Ni vema zaidi ya film.	Ni vema zaidi ya film.
Ils vous aideront à vous réchauffer.	Watakusaidia kupata kifukutu.	Watakusaidia kupata kifukutu.
Cela peut avoir de sérieuses conséquences.	Ile inaweza kuwa na matokeo ya nguvu sana.	Ile inaweza kuwa na matokeo ya nguvu sana.
Je préférerais vraiment ne pas savoir.	Ningependa nisijuwe kabisa.	Ningependa nisijuwe kabisa.
Qui commande ici ?	Ni nani anaongoza hapa?	Ni nani anaongoza hapa?
Tu as un téléphone chez toi.	Uko na telefone kwako.	Uko na telefone kwako.
J'imagine que non.	Minawaza kama hapana.	Minawaza kama hapana.
Il se met parfois en colère pour rien.	Kuko saa anasirikiaka bure.	Kuko saa anasirikiaka bure.
Ça n'a pas été fait auparavant.	Mbele haikufanyikaka .	Mbele haikufanyikaka .
Marie se défendait.	Marie alikuwa anajiteteya.	Marie alikuwa anajiteteya.
Tu te dépêchais.	Ulikuwa unafanya mbio.	Ulikuwa unafanya mbio.
Ce soir, mangeons dehors.	Hii magaribi tukulie inje.	Hii magaribi tukulie inje.
Dan a été profondément troublé par la mort de Linda.	Kukufa ya Linda ili troubler Dan sana.	Kukufa ya Linda ili troubler Dan sana.
Tu voulais me parler de liberté ?	Ulitaka kuniambia juu ya uhuru?	Ulitaka kuniambia juu ya uhuru?
Nous sommes des hommes occupés.	Siye ni wanaume wenye wako na kazi mingi.	Siye ni wanaume wenye wako na kazi mingi.
Tu as craqué pour lui, n'est-ce pas ?	Ulimutupia kicwa, si vile?	Ulimutupia kicwa, si vile?
Ta femme te manque-t-elle ?	Bibi yako unamkumbuka?	Bibi yako unamkumbuka?
C'est un livre espagnol.	Ni kitabu cha Uhispania.	Ni kitabu cha Uhispania.
C'est mal de dire un mensonge.	Ni mubaya kusema uongo.	Ni mubaya kusema uongo.
Quand avez-vous commencé à apprendre l'anglais ?	Ulianza kujifunza kingereza wakati gani?	Ulianza kujifunza kingereza wakati gani?
Tom a acheté un appareil photo comme le tien.	Tom aliuza appareil foto ya kufanana na yako.	Tom aliuza appareil foto ya kufanana na yako.
Notre ville n'a pas encore l'eau courante.	Muji yetu haiyakuwa na maji.	Muji yetu haiyakuwa na maji.
Ne ronge pas tes ongles.	Usikule makucha yako.	Usikule makucha yako.
Elle arriva en courant, les yeux brillants.	Alikuya iko anakimbia, maco yake inaangara.	Alikuya iko anakimbia, maco yake inaangara.
Tom sera heureux de te revoir.	Tom atafurahi kukuona.	Tom atafurahi kukuona.
Je te donnerai tout ce que tu veux.	Nitakupatia byote byenyi unataka.	Nitakupatia byote byenyi unataka.
J'ai manqué mon train.	Gari moshi iliniacha.	Gari moshi iliniacha.
J'ai acheté ces fleurs pour toi.	Nilikuuzia mauwa.	Nilikuuzia mauwa.
Elle est aussi vieille que la grand-mère du diable.	Naye ni mzee sawa na tate yake na shetani.	Naye ni mzee sawa na tate yake na shetani.
Je suis de ton avis.	Minakuunga mukono.	Minakuunga mukono.
Moi non plus.	Na miye pia.	Na miye pia.
As-tu déjà embrassé une autre nana ?	Ulishaka busu mwengine binti?	Ulishaka busu mwengine binti?
L'homme était trop gros pour se déplacer par lui-même.	Mwanaume alikuwa mnene mno hangeweza jibeba mwenyewe.	Mwanaume alikuwa mnene mno hangeweza jibeba mwenyewe.
Ma sœur est un génie !	Dada yangu ni wa akili sana!	Dada yangu ni wa akili sana!
Nous nous approchâmes chaque jour.	Tulienda tunasogeleana siku kwa siku.	Tulienda tunasogeleana siku kwa siku.
Il prit un stylo dans sa main.	Akakamata kalamu mu mikono yake.	Akakamata kalamu mu mikono yake.
Celui qui dit A doit aussi dire B.	Mwenye anasema A anapashwa pia sema B.	Mwenye anasema A anapashwa pia sema B.
Ce bus va-t-il à la gare ?	Iyi bus iko inaenda ku parking?	Iyi bus iko inaenda ku parking?
Ne le saviez-vous pas ?	Ulikuwa haujuwi?	Ulikuwa haujuwi?
Dieu l'a créé.	Mungu alimuumba.	Mungu alimuumba.
La vengeance est un plat qui se mange froid.	Kisasi ni chakula yenye kukuliwa ingali baridi.	Kisasi ni chakula yenye kukuliwa ingali baridi.
Vous me gênez.	Munaniuzi.	Munaniuzi.
Il est parti.	Alienda.	Alienda.
Du poisson s'il vous plaît.	Samaki tafadhali.	Samaki tafadhali.
Ils sont nés à un mois d'intervalle en 1970.	Walizaliwa wanapishana mwezi moja munamo mwaka 1970.	Walizaliwa wanapishana mwezi moja munamo mwaka 1970.
Nous ne sommes pas perdus.	Hatupotei.	Hatupotei.
Je ne sais pas le distinguer de son frère.	Sijuwi kumutafautisha na ndugu yake.	Sijuwi kumutafautisha na ndugu yake.
Je me casse.	Ninajiendea.	Ninajiendea.
On a trop parlé de ce mariage.	Tulisema mingi kuhusu ndoa hiyo.	Tulisema mingi kuhusu ndoa hiyo.
Je lui demanderai demain.	Nitamuuliza kesho.	Nitamuuliza kesho.
Père est allé à la pêche.	Baba alienda kuloa.	Baba alienda kuloa.
En es-tu sûr ?	Uko na uhakika?	Uko na uhakika?
J'attachai mon chien à un arbre dans le jardin.	Nilikuwa nafunga imbwa yangu ku mti ndani ya bustani.	Nilikuwa nafunga imbwa yangu ku mti ndani ya bustani.
Je pensais que j'étais en train de mourir.	Niliwaza nilikuwa ninakufa.	Niliwaza nilikuwa ninakufa.
Il n'y a pas de limites à l'univers.	Hakuna mipaka kwa ulimwengu.	Hakuna mipaka kwa ulimwengu.
Je ferais mieux d'y aller, moi aussi.	Nitafanya yote inayowezekana niende kule na miye.	Nitafanya yote inayowezekana niende kule na miye.
Ce bureau est différent de celui que j'ai commandé.	Iyi offisi inapishana na yenye niliomba.	Iyi offisi inapishana na yenye niliomba.
Il est à l'étranger.	Iko inje ya inchi.	Iko inje ya inchi.
L'éducation est importante.	Masomo ni ya lazima.	Masomo ni ya lazima.
Tom était très fiable.	Tom alikuwa wa kuaminia sana.	Tom alikuwa wa kuaminia sana.
Qu’est-ce que cela signifie ?	Inamaanisha nini?	Inamaanisha nini?
Il semble que la question était trop facile pour toi. La prochaine fois, je devrai en faire une un peu plus difficile.	Inaonekana ulizo ilikuwa rahisi kwako. Siku ingine nitaifanya ulizo moja ya nguvu zaidi kidogo.	Inaonekana ulizo ilikuwa rahisi kwako. Siku ingine nitaifanya ulizo moja ya nguvu zaidi kidogo.
Elle sera de retour dans moins de dix minutes.	Atarudia mbele ya dakika kumi.	Atarudia mbele ya dakika kumi.
Y a-t-il un musée dans cette ville ?	Kuko musée mwa iyi muji?	Kuko musée mwa iyi muji?
Tu es chanceux que personne ne t'ait vu faire ça.	Uko na bahati ginsi hakuna mtu mwenyi alikuona uko nafanya vile.	Uko na bahati ginsi hakuna mtu mwenyi alikuona uko nafanya vile.
Tom a aidé son fils à s'habiller.	Tom alimsaidiya kijana wake kuvala.	Tom alimsaidiya kijana wake kuvala.
Je pensais que ma tête allait exploser.	Nilikuwa nawaza kichwa kyangu kitapasuka.	Nilikuwa nawaza kichwa kyangu kitapasuka.
C'est un grand jour.	Ni siku kubwa.	Ni siku kubwa.
Ne vous prenez pas tant au sérieux !	Usijikamate kwa umakini sana!	Usijikamate kwa umakini sana!
Ils se marièrent et eurent beaucoup d'enfants.	Na wakaowana na wakazaa watoto wengi.	Na wakaowana na wakazaa watoto wengi.
Je n'aurais pas dû aller voir Tom.	Singepashwa enda kumuona Tom.	Singepashwa enda kumuona Tom.
Ils partirent en voyage.	Wakaenda mu safari.	Wakaenda mu safari.
Elle dit qu'elle t'appellera plus tard.	Anasema atakuita kisha.	Anasema atakuita kisha.
Je sais que tu n'as pas peur.	Najuwa kama hauna woga.	Najuwa kama hauna woga.
Elle a très peur des chiens.	Anaogopaka sana imbwa.	Anaogopaka sana imbwa.
J'attendrai ici jusqu'à ce qu'il revienne.	Nitachunga hapa mpaka arudie.	Nitachunga hapa mpaka arudie.
Je suis certain de l'avoir déjà vu quelque part.	Nina uhakika kama nilishaka muona quelque part.	Nina uhakika kama nilishaka muona quelque part.
Puis-je emprunter votre stylo ?	Naweza kujilazima kalamu yako?	Naweza kujilazima kalamu yako?
J'ai bu le café.	Nilikunywa kahawa.	Nilikunywa kahawa.
Ce n'est pas bon de fabriquer les mêmes vieux produits, année après année.	Haiko vizuri kutengeneza bidhaa zile zile za zamani, mwaka baada ya mwaka.	Haiko vizuri kutengeneza bidhaa zile zile za zamani, mwaka baada ya mwaka.
J'étudie avec beaucoup d'assiduité.	Ninajifunza kwa bidii mingi.	Ninajifunza kwa bidii mingi.
Tom a une maison avec piscine.	Tom iko na nyumba yenyi iko na piscine.	Tom iko na nyumba yenyi iko na piscine.
Nous sommes conscients des risques.	Tunafahamu kuna hatari.	Tunafahamu kuna hatari.
Il devrait pleuvoir demain.	Inaonekana nvula itanyesha kesho.	Inaonekana nvula itanyesha kesho.
Ferme tes yeux un instant et cherche la réponse.	Funga macho yako kidogo na utafute jibu.	Funga macho yako kidogo na utafute jibu.
Je suis au courant.	Ninajua.	Ninajua.
Il portait une grande boîte dans ses bras.	Alikuwa nabeba sanduku kubwa mikononi mwake.	Alikuwa nabeba sanduku kubwa mikononi mwake.
Il quitta son équipe car il ne s'entendait pas avec l'entraîneur.	Alitoka mu timu yake juu alikuwa haelewani na koch.	Alitoka mu timu yake juu alikuwa haelewani na koch.
Au revoir !	Kwa heri!	Kwa heri!
Tom porte des lunettes.	Tom anavala ma lunettes.	Tom anavala ma lunettes.
Je sais que ce n'est pas vrai.	Najuwa kama haiko kweli.	Najuwa kama haiko kweli.
Il ne faut pas se disputer avec une femme lorsqu'elle est fatiguée.	Haifai kubishana na mwanamke wakati anachoka.	Haifai kubishana na mwanamke wakati anachoka.
Quelle est ta décision ?	Uamzi wako ni gani?	Uamzi wako ni gani?
C'est quelque chose que ma mère a fait.	Ni kitu kyenyi mama alifanya.	Ni kitu kyenyi mama alifanya.
Pense à poster la lettre sur le chemin de l'école.	Kumbuka kutuma barua saa utakuwa mu njia ya kwenda ku masomo.	Kumbuka kutuma barua saa utakuwa mu njia ya kwenda ku masomo.
Quel est le meilleur plan, selon toi ?	Mpango gani ya muzuri zaidi selon weye?	Mpango gani ya muzuri zaidi selon weye?
Tom a couru aussi vite qu'il a pu.	Tom alikimbia mbio kama angeliweza.	Tom alikimbia mbio kama angeliweza.
Aimez-vous discuter ?	Unapendaka kubishana?	Unapendaka kubishana?
Nous ne faisons rien.	Hatufanyi kitu.	Hatufanyi kitu.
Je suis peut-être vieux, mais pas fou.	Niko mzee labda lakini siko mwendabazimu.	Niko mzee labda lakini siko mwendabazimu.
Il me demanda si je connaissais son père.	Aliniuliza kama nilikuwa namjuwa baba yake.	Aliniuliza kama nilikuwa namjuwa baba yake.
Quand est-ce que ça commence ?	Itaanza saa ngapi?	Itaanza saa ngapi?
J'ai commencé à apprendre le chinois la semaine dernière.	Nilianza kujifunza ki chinwa posho jana.	Nilianza kujifunza ki chinwa posho jana.
Es-tu sûr que tu vas bien ?	Uko na uhakika kama uko muzima?	Uko na uhakika kama uko muzima?
Le déjeuner est servi.	Chakula cha mchana kiko tayari.	Chakula cha mchana kiko tayari.
Je vois Tom.	Minamuona Tom.	Minamuona Tom.
J'arrangerai ça.	Nitaifanya.	Nitaifanya.
Elle demanda si j'avais besoin d'un taxi.	Akauliza kama nilikuwa na lazima ya taxi.	Akauliza kama nilikuwa na lazima ya taxi.
Il peut le faire beaucoup mieux que moi.	Anaweza kuifanya vizuri zaidi yangu.	Anaweza kuifanya vizuri zaidi yangu.
Suivez simplement mon exemple.	Fatana tu na mfano yangu.	Fatana tu na mfano yangu.
J'ai donné à Tom de nombreuses opportunités de le faire.	Nilimpatia Tom bahati mingi za kuifanya.	Nilimpatia Tom bahati mingi za kuifanya.
Un petit gain vaut mieux qu'une grosse perte.	Faida ndogo ni bora kuliko kihombo kubwa.	Faida ndogo ni bora kuliko kihombo kubwa.
On ordonna aux forces britanniques de saisir les armes.	Waliamuru vikosi vya Uingereza kunyangaya silaha.	Waliamuru vikosi vya Uingereza kunyangaya silaha.
Je veux voir ce qui se produit.	Nataka kuona nini njo yenyi iko inatokea.	Nataka kuona nini njo yenyi iko inatokea.
J'ai fait mon travail.	Nilifanya kazi yangu.	Nilifanya kazi yangu.
Elle cherche le portefeuille qu'elle a perdu.	Anatafuta porte-monnaie yenyi alipoteza.	Anatafuta porte-monnaie yenyi alipoteza.
Tous mes enfants vont à l'école à Boston.	Watoto wangu wote wanaenda ku masomo pa Boston.	Watoto wangu wote wanaenda ku masomo pa Boston.
Mes parents t'adorent.	Wazazi wangu wanakupenda sana.	Wazazi wangu wanakupenda sana.
Cette boîte est lourde.	Hii sanduku iko buzito.	Hii sanduku iko buzito.
Il a composé l'histoire.	Alitunga hadisi.	Alitunga hadisi.
La vie en ville ne plaisait pas à Tom.	Maisha ya mu ville haikumufurahisha Tom.	Maisha ya mu ville haikumufurahisha Tom.
Linda va préparer du café.	Linda atatayarisha kahawa.	Linda atatayarisha kahawa.
Il ne s'agit pas d'argent.	Haiko mambo ya franga.	Haiko mambo ya franga.
Les requins mangent des poissons.	Requins zinakulaka samaki.	Requins zinakulaka samaki.
Je veux m'assurer qu'il y en a assez.	Nataka kuhakikisha kama kuko ya kutosha.	Nataka kuhakikisha kama kuko ya kutosha.
Nous jouâmes sur la plage.	Tukachezea ku plage.	Tukachezea ku plage.
J'ai une importante mission pour vous tous.	Nina ujumbe ya lazima kwenu nyi bote.	Nina ujumbe ya lazima kwenu nyi bote.
Cette règle ne s'applique pas à l'affaire.	Sheria hii haitumiki kwa hii kitu.	Sheria hii haitumiki kwa hii kitu.
Tu te comportes comme un enfant.	Uko unajikamata saa mtoto.	Uko unajikamata saa mtoto.
Le restaurant était silencieux.	Restaurant ilikuwa kimia.	Restaurant ilikuwa kimia.
Je ne peux pas venir à l'instant.	Siwezi kuya saa hii.	Siwezi kuya saa hii.
Est-il probable qu'il vienne ?	Inawezakana akuye?	Inawezakana akuye?
Tout le monde à bord!	Kila mtu ainge ndani!	Kila mtu ainge ndani!
Je ne sais presque rien sur ça.	Sijuwi hata kitu kuhusu hiyo.	Sijuwi hata kitu kuhusu hiyo.
Tom peut aider.	Tom anaweza saidiya.	Tom anaweza saidiya.
J'ai un vélo.	Niko na kinga.	Niko na kinga.
Je crains que ce ne soit la vérité.	Ninaogopa ikuwe kweli.	Ninaogopa ikuwe kweli.
Je prendrai votre parti juste pour cette fois.	Nitaingia kwa upande wako mara hiyo.	Nitaingia kwa upande wako mara hiyo.
Je ferais n'importe quoi pour toi.	Nitafanya chochote ju yako.	Nitafanya chochote ju yako.
Tu m'as tellement manqué !	Nilikukumbuka sana.	Nilikukumbuka sana.
Tom me comprenait.	Tom alikuwa ananielewa.	Tom alikuwa ananielewa.
On s'entraide.	Tunasaidiana.	Tunasaidiana.
Ken a embrassé la fiancée de Tom.	Ken alimubusu mchumba wa Tom.	Ken alimubusu mchumba wa Tom.
Il a du pognon.	Iko na franga.	Iko na franga.
Quand le chat n'est pas là, les souris dansent.	Wakati pusi haiko, panya zinachezaka.	Wakati pusi haiko, panya zinachezaka.
Dans de nombreux endroits du monde, il n’y a pas assez de nourriture pour satisfaire aux besoins de chacun.	Fasi mingi mu dunia, hakuna chakula cha kututoshelea mahitaji ya kila mtu.	Fasi mingi mu dunia, hakuna chakula cha kututoshelea mahitaji ya kila mtu.
La mode est un cercle vicieux.	Bizuri habiishake.	Bizuri habiishake.
Il nous faut un peu plus de temps.	Inatuomba tena muda kidogo ya zaidi.	Inatuomba tena muda kidogo ya zaidi.
J'ai honte d'avouer que le travail n'est pas terminé.	Ninasikia haya kusema kweli kama kazi haiyaisha.	Ninasikia haya kusema kweli kama kazi haiyaisha.
J'ai beaucoup de choses à faire aujourd'hui.	Niko na bya mingi bya kufanya leo.	Niko na bya mingi bya kufanya leo.
Je sais que j'aurais pu le faire mais je ne l'ai pas fait.	Najuwa kama ningeliweza kubifanya lakini sikubifanya.	Najuwa kama ningeliweza kubifanya lakini sikubifanya.
Je m'y joindrai.	Nitajiunga.	Nitajiunga.
Je savais que Tom ne voulait pas le faire, mais je voulais quand même qu'il le fasse.	Nilikuwa najuwa kama Tom hakukuwa anapenda kubifanya, lakini nilitaka abifanye tu.	Nilikuwa najuwa kama Tom hakukuwa anapenda kubifanya, lakini nilitaka abifanye tu.
Tom a tourné la page quand il a rencontré Marie.	Tom hakupenda kubirudilia saa alikutanana na Marie.	Tom hakupenda kubirudilia saa alikutanana na Marie.
Tom écoutait le bruit de l'océan.	Tom alikuwa anasikiliza fujo ya bahari.	Tom alikuwa anasikiliza fujo ya bahari.
L'avez-vous vu à la gare ce matin ?	Ulimuona ku kituo asubui ya leo?	Ulimuona ku kituo asubui ya leo?
J'avais mal à la tête donc je n'ai pas pu faire ça.	Nilikuwa nasijisikia kicwa kinaniluma, kwa hiyo siku weza kubifanya.	Nilikuwa nasijisikia kicwa kinaniluma, kwa hiyo siku weza kubifanya.
Tu ne peux pas utiliser le sien.	Hauwezi tumikisha yake.	Hauwezi tumikisha yake.
On a gagné le match.	Tulishinda match hiyo.	Tulishinda match hiyo.
Il se cacha derrière l'arbre.	Akajificha nyuma ya mti.	Akajificha nyuma ya mti.
La femme s'est levée de la chaise. Et elle a jeté un coup d’œil à la porte.	Mwanamke akasimama ku mu kiti. Na akachungulia ku mlango.	Mwanamke akasimama ku mu kiti. Na akachungulia ku mlango.
Je ferai du beurre de cacahuètes.	Nitafanya buyi ya kalanga.	Nitafanya buyi ya kalanga.
Tom a dit qu'il n'avait pas faim.	Tom alisema hana njala.	Tom alisema hana njala.
Nous réparerons ceci.	Tutatengeneza hii.	Tutatengeneza hii.
On ne peut pas être à deux endroits en même temps.	Hauwezi kuwa fasi mbili kwa limoya.	Hauwezi kuwa fasi mbili kwa limoya.
Elle était sur le point de l'appeler lorsqu'il entra par la porte.	Alikuwa anataka muita saa aliingia mu mlango.	Alikuwa anataka muita saa aliingia mu mlango.
Quelle est ta couleur de cheveux naturelle ?	Rangi ya nywele za asili ni gani?	Rangi ya nywele za asili ni gani?
Je me demande si Tom sait ce que Mary a fait.	Niko najiuliza kama Tom anajuwa byenyi Mary alifanya.	Niko najiuliza kama Tom anajuwa byenyi Mary alifanya.
Je ne suis pas du tout intéressé.	Hainiangalie sana.	Hainiangalie sana.
Il tient un journal en anglais.	Anakama gazeti ya kingereza mu mkono.	Anakama gazeti ya kingereza mu mkono.
Une douzaine d'arbres environ furent bientôt plantés.	Karibu miti kumi na mbili ilipandwa hapa siku zilizopita.	Karibu miti kumi na mbili ilipandwa hapa siku zilizopita.
Tout le monde le faisait.	Kila mtu alikuwa anaifanya.	Kila mtu alikuwa anaifanya.
Je ne suis pas déçu.	Siyakata tamaa.	Siyakata tamaa.
