verse_key,auh,fr
MAT.1.22,Ifi fyonse fyakitikile pa kufikilisha ikyo Shikulu asobele muli kasesema ati.,Tout cela arriva afin que saccomplît ce que le Seigneur avait annoncé par le prophète:.
MAT.1.23,"Nakisungu akesa kwimita no kufyala umwalalume akenikwa ati, Imanueli, ili shina lyapilibwila mu kwebati, Lesa aliba pamo na fwebo.","Voici, la vierge sera enceinte, elle enfantera un fils, Et on lui donnera le nom dEmmanuel, ce qui signifie Dieu avec nous."
MAT.1.24,"Yosefu pa kwalamuka mutulo, epakukonka fyeke fyo aebelwe kuli Malaika, no kusenda umukashi wakwe Maliya ku nganda kwakwe.","Joseph sétant réveillé fit ce que lange du Seigneur lui avait ordonné, et il prit sa femme avec lui."
MAT.1.25,"Nomba tapangilepo nakwe kyupo mpaka Maliya aisa kupaapa umwana umwalalume, na Yosefu alimwinikile ne shina ati ni Yesu.","Mais il ne la connut point jusquà ce quelle eût enfanté un fils, auquel il donna le nom de Jésus."
MAT.2.1,"Panuma ya kufyalwa kwakwa Yesu, mu mushi wa Betelemu, ulo imfumu Helodi yali kuteeka umusumba wa Yudea, abamano balifumine ku kabanga baishile ku Yelusalemu.","Jésus étant né à Bethléhem en Judée, au temps du roi Hérode, voici des mages dOrient arrivèrent à Jérusalem."
MAT.2.2,"Elo baisa kwipusha ati, Alipi uyo afyelwe, Imfumu ya Bayuda? Twalibwene ulutanda lwakwe lulisumbukile, efyo twaishila ati tumushinshimune.","et dirent: Où est le roi des Juifs qui vient de naître? Car nous avons vu son étoile en Orient, et nous sommes venus pour ladorer."
MAT.2.3,Imfumu Helodi pa kumfye fyo yalisakamikilwe sana pamo fye na bekashi ba mu musumba wa Yelusalemu.,"Le roi Hérode, ayant appris cela, fut troublé, et tout Jérusalem avec lui."
MAT.2.4,"Yalitile banshimapepo bakindami na bakafundisha ba mafunde, no kubepukisha uko Klistu ali no kufyalilwa.","Il assembla tous les principaux sacrificateurs et les scribes du peuple, et il sinforma auprès deux où devait naître le Christ."
MAT.2.5,"Balimwasukile ati, Ni mu mushi wa Betelemu mu kyalo kya Yudea pantu efyalembele kasesema.",Ils lui dirent: A Bethléhem en Judée; car voici ce qui a été écrit par le prophète:.
MAT.2.6,"Webo Betelemu wa mu kyalo kya Yuda, wi ibonati uliwakepeshapo pa misumba ya Yuda, pantu ni muli webo wine emukafuma kateeka, umukemi wa Islaeli, abantu bangi.","Et toi, Bethléhem, terre de Juda, Tu nes certes pas la moindre entre les principales villes de Juda, Car de toi sortira un chef Qui paîtra Israël, mon peuple."
MAT.2.7,Elo Helodi akuutile abamano mu nkaama no kwisa kumfwako palwa kashita apo ulutanda lwabonekele.,"Alors Hérode fit appeler en secret les mages, et senquit soigneusement auprès deux depuis combien de temps létoile brillait."
MAT.2.8,"epakubatuma ku Betelemu no kubeba ati, Kabuyeni mufwailishe apo afyalilwe, elo nga mwamusanga kwisa kungebako pakwebati nandibo nkese kumushinshimuna.","Puis il les envoya à Bethléhem, en disant: Allez, et prenez des informations exactes sur le petit enfant; quand vous laurez trouvé, faites-le-moi savoir, afin que jaille aussi moi-même ladorer."
MAT.2.9,"Panuma yakumfwa kufyo imfumu yabebele, baile fye mpaka bafika apaali Umwana, epo ulutanda lwaile kwimakana.","Après avoir entendu le roi, ils partirent. Et voici, létoile quils avaient vue en Orient marchait devant eux jusquà ce quétant arrivée au-dessus du lieu où était le petit enfant, elle sarrêta."
MAT.2.10,Balisansamukile pakubona ulutanda.,"Quand ils aperçurent létoile, ils furent saisis dune très grande joie."
MAT.2.11,"Ulo baingile mung'anda, balibwene umwana na Maliya, nyina elo bafukeme no kumushinshimuna, no kwisula ifipao fyabo no kumupeela ifyabupe fya golide, ulubani, na Muri.","Ils entrèrent dans la maison, virent le petit enfant avec Marie, sa mère, se prosternèrent et ladorèrent; ils ouvrirent ensuite leurs trésors, et lui offrirent en présent de lor, de lencens et de la myrrhe."
MAT.2.12,"Kabili ulo bakengeshiwe mu kiloto ati bekabwekela kuli Helodi, nabo pa ku bwekelamo kwabo, ba bomfeshe nshila imbi.","Puis, divinement avertis en songe de ne pas retourner vers Hérode, ils regagnèrent leur pays par un autre chemin."
MAT.2.13,"Ulo bafumine palya, malaika wakwa Shikulu alibonekele kuli Yosefu mu kiloto no kumweba ati, Alamuka, fyukileni mwense ku Egupto, webo, Umwana na nyina no kuya kwikala kulya kwine mpaka nkakwebe. Pantu Helodi ali na mapinge ya kwipayo mwana.","Lorsquils furent partis, voici, un ange du Seigneur apparut en songe à Joseph, et dit: Lève-toi, prends le petit enfant et sa mère, fuis en Égypte, et restes-y jusquà ce que je te parle; car Hérode cherchera le petit enfant pour le faire périr."
MAT.2.14,"Epakwalamuka, ubushiku bweka no kufyusha umwana na nyina no kuya ku Egupto.","Joseph se leva, prit de nuit le petit enfant et sa mère, et se retira en Égypte."
MAT.2.15,"Epakwikala kulya kwine mpaka ulo Helodi afwile, pa kufikilisha ikyalandilwe na Shikulu ukupitila muli bakasesema ati, Nakuutile Umwana wangi ukufuma mu Egupto.","Il y resta jusquà la mort dHérode, afin que saccomplît ce que le Seigneur avait annoncé par le prophète: Jai appelé mon fils hors dÉgypte."
MAT.2.16,"Imfumu Helodi pa kwiluka ati, abamano balimubepele, alifulilwe no kweba abakwipaya abana abalalume bonse mu Betelemu abali ne myaka ibili ukwisa panshi, ukukonka ne nshita aebelwepo kubamano.","Alors Hérode, voyant quil avait été joué par les mages, se mit dans une grande colère, et il envoya tuer tous les enfants de deux ans et au-dessous qui étaient à Bethléhem et dans tout son territoire, selon la date dont il sétait soigneusement enquis auprès des mages."
MAT.2.17,Epakufikilisha ikyalandilwe na kasesema Yelemiya ati.,"Alors saccomplit ce qui avait été annoncé par Jérémie, le prophète:."
MAT.2.18,"Ishiwi likoumfwikila mu Rama, ilya kulila no kuloosha, Rakeli akolila bana bakwe no kukaana ukutalalikwa pantu balilobele.","On a entendu des cris à Rama, Des pleurs et de grandes lamentations: Rachel pleure ses enfants, Et na pas voulu être consolée, Parce quils ne sont plus."
MAT.2.19,"Panuma yakufwa kwakwa Helodi, malaika wakwa Shikulu alibonekele kuli Yosefu ku Egupto mu kiloto.","Quand Hérode fut mort, voici, un ange du Seigneur apparut en songe à Joseph, en Égypte."
MAT.2.20,"no kumweba ati, Ima bwekesha Umwana pamo na nyina ku Islaeli pantu abakwete amapinge ya kumwipaya balifwile.","et dit: Lève-toi, prends le petit enfant et sa mère, et va dans le pays dIsraël, car ceux qui en voulaient à la vie du petit enfant sont morts."
MAT.2.21,Epakubwekesha Umwana na nyina ku Islaeli.,"Joseph se leva, prit le petit enfant et sa mère, et alla dans le pays dIsraël."
MAT.2.22,"Pakumfwa ati nomba ni Akelausi eukoteeka Yudea ewapyene wishi Helodi, aumfwo mwenso wa kuyako. Elo kabili asokelwe mu kilooto, epakuya ku kyalo kya Galile.","Mais, ayant appris quArchélaüs régnait sur la Judée à la place dHérode, son père, il craignit de sy rendre; et, divinement averti en songe, il se retira dans le territoire de la Galilée."
MAT.2.23,"Aile kwikala mu musumba wa Nasaleti pakufikilisha ikyalandilwe na bakasesema ati, Bakale kumukuuta umwina Nasalene.","et vint demeurer dans une ville appelée Nazareth, afin que saccomplît ce qui avait été annoncé par les prophètes: Il sera appelé Nazaréen."
MAT.3.1,Muli sho nshiku Yowane kabatisha alishile mu kiswebebe kya mu Yudea akobila ati.,"En ce temps-là parut Jean-Baptiste, prêchant dans le désert de Judée."
MAT.3.2,Lapileni pantu Bufumu bwa mwiulu bulipalamine.,"Il disait: Repentez-vous, car le royaume des cieux est proche."
MAT.3.3,"Ni ulya wine kasesema Isaya alandilepo ati, Ishiwi likobilikisha mu kiswebebe likoeba ati, Pekanyeni umwakupita Shikulu, olololeni nshila shakwe! .","Jean est celui qui avait été annoncé par Ésaïe, le prophète, lorsquil dit: Cest ici la voix de celui qui crie dans le désert: Préparez le chemin du Seigneur, Aplanissez ses sentiers."
MAT.3.4,Yowane ali kufwala umwingila wapangilwe na masako ya ngamali no mushipi wa mpapa mu musana. Makanta no buki efyo ali kulya.,"Jean avait un vêtement de poils de chameau, et une ceinture de cuir autour des reins. Il se nourrissait de sauterelles et de miel sauvage."
MAT.3.5,Abekashi ba mu Yelusalemu na mu Yudea monse na kumukulo wa nika ya Yodani baile kuli ena.,"Les habitants de Jérusalem, de toute la Judée et de tout le pays des environs du Jourdain, se rendaient auprès de lui;."
MAT.3.6,Bali kuisosela imembu shabo no kule kubatishiwa mu nika ya Yodani.,"et, confessant leurs péchés, ils se faisaient baptiser par lui dans le fleuve du Jourdain."
MAT.3.7,"Pakubona Abafalise na Basaduke abengi bakoisa uko ali kubatisha, alibebele ati, Mwe bufyashi bwa mafolo mwebo, ni nani amikengesha ukufulumuka ku bukali bukoisa?.","Mais, voyant venir à son baptême beaucoup de pharisiens et de sadducéens, il leur dit: Races de vipères, qui vous a appris à fuir la colère à venir?."
MAT.3.8,Kiteni fyakulangilila ati mulilapile.,Produisez donc du fruit digne de la repentance.
MAT.3.9,"Mwi ebati muli ba mwana Ablahamu, pantu muli aya mabwe Lesa kuti aimyamo ba mwana Ablahamu.",et ne prétendez pas dire en vous-mêmes: Nous avons Abraham pour père! Car je vous déclare que de ces pierres-ci Dieu peut susciter des enfants à Abraham.
MAT.3.10,"Isembe libikilwe peshinte lya fimuti, ikimuti kyonse ikitatwala fisabo ku kitema no kukipoosa mu mulilo.",Déjà la cognée est mise à la racine des arbres: tout arbre donc qui ne produit pas de bons fruits sera coupé et jeté au feu.
MAT.3.11,"Nkomibatisha ku menshi ku kulapila nomba uyo uwa kunkonkapo uwakukila pali nebo, uo ne nkwabilo shakwe teti mfumye ku makasa yakwe. Akesa kumibatisha kuli Mupashi wa Mushilo na ku mulilo.","Moi, je vous baptise deau, pour vous amener à la repentance; mais celui qui vient après moi est plus puissant que moi, et je ne suis pas digne de porter ses souliers. Lui, il vous baptisera du Saint-Esprit et de feu."
MAT.3.12,"Mu minwe yakwe mulipo ulupe lwa kwelelako, akafumya imisungu palubansa no kwisa kututila ing'ano mu butala bwakwe, imisungu yena bakesa kuyokya mu mulilo uutashimapo.","Il a son van à la main; il nettoiera son aire, et il amassera son blé dans le grenier, mais il brûlera la paille dans un feu qui ne séteint point."
MAT.3.13,Elo Yesu pa kufika kunika ya Yodani ukufuma ku kyalo kya Galile ukwisa kubatishiwa kuli Yowane mu nika ya Yodani.,"Alors Jésus vint de la Galilée au Jourdain vers Jean, pour être baptisé par lui."
MAT.3.14,"Yowane atala akaana ati, Newa ku batishiwa kuli webo ni nebo, nomba apa waisa kuli nebo.","Mais Jean sy opposait, en disant: Cest moi qui ai besoin dêtre baptisé par toi, et tu viens à moi!."
MAT.3.15,"Yesu alimwasukile ati, Nakibe fyo pali nomba pantu efyo kilingile pa kufishapo ubololoke bonse. Yowane naye epakusumina.","Jésus lui répondit: Laisse faire maintenant, car il est convenable que nous accomplissions ainsi tout ce qui est juste. Et Jean ne lui résista plus."
MAT.3.16,"Panuma yakubatishiwa ulo afuma mu menshi, pekapo iulu lyali keneme, epakubona Mupashi wakwa Lesa akoituluka mu musango wa nkunda no kwisa kwikala pali Yesu.","Dès que Jésus eut été baptisé, il sortit de leau. Et voici, les cieux souvrirent, et il vit lEsprit de Dieu descendre comme une colombe et venir sur lui."
MAT.3.17,"Kwali fumine ne shiwi kwiulu ati, Uyu e Mwana wangi natemwisha eo mbekelwamo.","Et voici, une voix fit entendre des cieux ces paroles: Celui-ci est mon Fils bien-aimé, en qui jai mis toute mon affection."
MAT.4.1,Elo Mupashi atungulwile Yesu mu kiswebebe uko ali kutunkwa kuli Kiwa.,"Alors Jésus fut emmené par lEsprit dans le désert, pour être tenté par le diable."
MAT.4.2,"Panuma ya kufunga ikyakulya pa nshiku amakumi yane, alyumfwile nsala.","Après avoir jeûné quarante jours et quarante nuits, il eut faim."
MAT.4.3,"Elo Kiwa alishile kutunka Yesu ati, Webo nga uli Mwana Lesa eba aya mabwe yalukile mu mukate.","Le tentateur, sétant approché, lui dit: Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains."
MAT.4.4,"Yesu alimwasukile ati, Ikyalembwa kitiila, tekumukate weka umuntu angabelapo uwamweo kano ku kyebo kyonse ikyakufuma ku kanwa kakwa Lesa. .","Jésus répondit: Il est écrit: Lhomme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu."
MAT.4.5,Kabili Kiwa alitwele Yesu ku musumba wa mushilo epakumuninika pa nsonshi ye Tempele.,"Le diable le transporta dans la ville sainte, le plaça sur le haut du temple."
MAT.4.6,"No kumweba ati, Nga ni webo Mwana Lesa, uitunsule panshi, apo kyalilembwa ati, akeba bamalaika bakwe ukusunga webo mu maboko yabo pakwebati taungaipuntula nangula lukasa kwibwe. .","et lui dit: Si tu es Fils de Dieu, jette-toi en bas; car il est écrit: Il donnera des ordres à ses anges à ton sujet; Et ils te porteront sur les mains, De peur que ton pied ne heurte contre une pierre."
MAT.4.7,"Yesu alimwasukile ati, Wile kwesha Shikulu Lesa obe.","Jésus lui dit: Il est aussi écrit: Tu ne tenteras point le Seigneur, ton Dieu."
MAT.4.8,Kabili Kiwa alitwele Yesu pa lupili lwa kulepa sana no kule kumulangisha amabufumu yonse aya pesonde no bukindami bwa yako bonse.,"Le diable le transporta encore sur une montagne très élevée, lui montra tous les royaumes du monde et leur gloire."
MAT.4.9,"Alimwebele Yesu ati, Fyonse ifi nkakupeela nga wafukama no kunshinshimuna.","et lui dit: Je te donnerai toutes ces choses, si tu te prosternes et madores."
MAT.4.10,"Yesu naye alimwebele ati, Fuma pano Satana! Apo kyalilembwa ati, Ni Lesa eka ungashinshimuna, kabili enafye eka ewakule kumupyungila. .","Jésus lui dit: Retire-toi, Satan! Car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul."
MAT.4.11,"Elo Kiwa alifuminepo, na bamalaika balisa kwafwilisha Yesu.","Alors le diable le laissa. Et voici, des anges vinrent auprès de Jésus, et le servaient."
MAT.4.12,"Pakumfwa ati Yowane balimupoosele mu kifungo, Yesu alile ku Galile.","Jésus, ayant appris que Jean avait été livré, se retira dans la Galilée."
MAT.4.13,Ulo afumine mu Nasaleti ailekwikala ku Kapenamu ku mukulo wa bemba wa Galile mu kyalo mwa Sebuluni na Nafutali.,"Il quitta Nazareth, et vint demeurer à Capernaüm, située près de la mer, dans le territoire de Zabulon et de Nephthali."
MAT.4.14,Kyali nipa kufikilisha ikyalembelwe na kasesema Isaya ati.,"afin que saccomplît ce qui avait été annoncé par Ésaïe, le prophète:."
MAT.4.15,"We mpanga yakwa Sebuluni, impanga yakwa Nafutali, umusebo wa kulungama kuli bemba, impanga bushilya bwa nika ya Yodani na ku Benafyalo ku Galile.","Le peuple de Zabulon et de Nephthali, De la contrée voisine de la mer, du pays au delà du Jourdain, Et de la Galilée des Gentils."
MAT.4.16,"Abekala mu mfinshi balibwene ulubuuto ulukulu, na ku baikala mu mpanga ya kinshingwa kya mfwa nako bulikile.","Ce peuple, assis dans les ténèbres, A vu une grande lumière; Et sur ceux qui étaient assis dans la région et lombre de la mort La lumière sest levée."
MAT.4.17,"Ukufumapo Yesu alitampile ukubila ati, Lapileni pantu Ubufumu bwa mwiulu bulipalamine.","Dès ce moment Jésus commença à prêcher, et à dire: Repentez-vous, car le royaume des cieux est proche."
MAT.4.18,"Yesu alikwenda ku mukulo wa bemba wa Galile elo alibwene abana nkashi babili, Simoni uwalikwitwa Petelo na Andeleya, bakoteya makonde, pantu bali bashila besabi.","Comme il marchait le long de la mer de Galilée, il vit deux frères, Simon, appelé Pierre, et André, son frère, qui jetaient un filet dans la mer; car ils étaient pêcheurs."
MAT.4.19,"Yesu epakubakuuta ati, Nkonkeni, nkomipanga abashila ba bantu.","Il leur dit: Suivez-moi, et je vous ferai pêcheurs dhommes."
MAT.4.20,Pekapo balishile amakonde yabo no kumukonka.,"Aussitôt, ils laissèrent les filets, et le suivirent."
MAT.4.21,"Ukwendelelako pantanshi panini epakusangapo kabili abana nkashi na bambi babili bamwana Sebede bali mu bwange pamo na wishibo, bakopekanya amakonde yabo. Epakubakuuta na bena.","De là étant allé plus loin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean, son frère, qui étaient dans une barque avec Zébédée, leur père, et qui réparaient leurs filets."
MAT.4.22,"Pekapo, balifumine mu bwange ukusha wishibo no kukonka Yesu.","Il les appela, et aussitôt ils laissèrent la barque et leur père, et le suivirent."
MAT.4.23,"Yesu alikwendauka mu Galile monse, ukufundisha mu ma Sinagoge akobila Imbila Yabune iya Bufumu no kule kuposha malwele no kukonswa konse mu bantu.","Jésus parcourait toute la Galilée, enseignant dans les synagogues, prêchant la bonne nouvelle du royaume, et guérissant toute maladie et toute infirmité parmi le peuple."
MAT.4.24,"Ululumbi lwakwe lwali sabankaniwe mu Silia monse, elo bamuleteele abali kulwala amalwele ya ku pusana pusana, abali ne fibanda na ba kipumputu, aba bulebe, naye Yesu ali baposeshe bonse.","Sa renommée se répandit dans toute la Syrie, et on lui amenait tous ceux qui souffraient de maladies et de douleurs de divers genres, des démoniaques, des lunatiques, des paralytiques; et il les guérissait."
MAT.4.25,"Abantu abakuti ubwingi balimukonkele ukufuma ku Galile na Dekapoli, ukufuma ku Yelusalemu na Yudea no kufuma bushilya bwa nika ya Yodani.","Une grande foule le suivit, de la Galilée, de la Décapole, de Jérusalem, de la Judée, et dau delà du Jourdain."
MAT.5.1,"Ulo Yesu abwene ibumbe likulu, aile kwikala pambali ya lupili na basambi bakwe balimushingulukile.","Voyant la foule, Jésus monta sur la montagne; et, après quil se fut assis, ses disciples sapprochèrent de lui."
MAT.5.2,elo atampile ukule kubafundisha ati.,"Puis, ayant ouvert la bouche, il les enseigna, et dit:."
MAT.5.3,"Bakushuka abalanda mu mitima pantu, ebene ba Bufumu bwa mwiulu.","Heureux les pauvres en esprit, car le royaume des cieux est à eux!."
MAT.5.4,"Bakushuka abaloosha pantu, bakesa kutalalikwa.","Heureux les affligés, car ils seront consolés!."
MAT.5.5,"Bakushuka abakuikefya pantu, bakapyana isonde.","Heureux les débonnaires, car ils hériteront la terre!."
MAT.5.6,"Bakushuka abomfwe nsala ne kilaka kya bololoke pantu, bakesa kwikuta.","Heureux ceux qui ont faim et soif de la justice, car ils seront rassasiés!."
MAT.5.7,"Bakushuka aba luse pantu, nabo bakesa kulangwa uluse.","Heureux les miséricordieux, car ils obtiendront miséricorde!."
MAT.5.8,"Bakushuka abasanguluke mitima pantu, bakabona Lesa.","Heureux ceux qui ont le cœur pur, car ils verront Dieu!."
MAT.5.9,"Bakushuka abakita umutende pantu, bakakuutwa abana bakwa Lesa.","Heureux ceux qui procurent la paix, car ils seront appelés fils de Dieu!."
MAT.5.10,"Bakushuka abo bonse abapakaswa pa mulandu wa bololoke pantu, ebene ba Bufumu bwa mwiulu.","Heureux ceux qui sont persécutés pour la justice, car le royaume des cieux est à eux!."
MAT.5.11,"Muli shukile ulo bamituka, ukumipakasa no kule kumibepesha ifyabufi pa mulandu we shina lyangi.","Heureux serez-vous, lorsquon vous outragera, quon vous persécutera et quon dira faussement de vous toute sorte de mal, à cause de moi."
MAT.5.12,"Sekeleleni no kwanga pantu ikilambu kyenu mwiulu kilikulile, efyo bapakese na bakasesema abaliko kale.","Réjouissez-vous et soyez dans lallégresse, parce que votre récompense sera grande dans les cieux; car cest ainsi quon a persécuté les prophètes qui ont été avant vous."
MAT.5.13,"Muli mukele wa pano Isonde. Nomba umukele nga wasunduka, wingaloweshiwa ne ndo kabili? Wa kupoosa fye no ku nyantaulwapo apo tauli kintu.","Vous êtes le sel de la terre. Mais si le sel perd sa saveur, avec quoi la lui rendra-t-on? Il ne sert plus quà être jeté dehors, et foulé aux pieds par les hommes."
MAT.5.14,Muli lubuuto lwa pano isonde. Umusumba uwakulwa pa lupili taungafisama.,Vous êtes la lumière du monde. Une ville située sur une montagne ne peut être cachée;.
MAT.5.15,Ekyo tapalipo ungasanika akatolitoli elo aputikapo inongo. Babika apakusansunka epakwebati ing'anda yonse ibuute.,"et on nallume pas une lampe pour la mettre sous le boisseau, mais on la met sur le chandelier, et elle éclaire tous ceux qui sont dans la maison."
MAT.5.16,Mu musango umo wine lekeni ulubuuto lwenu lubonekele ku bantu pakwebati babone ifikitwa fyenu ifyabune no kuleka Wishinwe wa mwiulu akindikilwemo.,"Que votre lumière luise ainsi devant les hommes, afin quils voient vos bonnes œuvres, et quils glorifient votre Père qui est dans les cieux."
MAT.5.17,"Mwile kutontonkanya ati naisa mukonaula mafunde nangula bakasesema, nomba naisa mu kuyafikilishapo.","Ne croyez pas que je sois venu pour abolir la loi ou les prophètes; je suis venu non pour abolir, mais pour accomplir."
MAT.5.18,"Pantu nkomyeba ati mpaka iulu ne sonde fikapita, tapakabepo ikilembo nangula akalitoni kamo akengafumishiwamo mpaka fyonse fikafishiwepo.","Car, je vous le dis en vérité, tant que le ciel et la terre ne passeront point, il ne disparaîtra pas de la loi un seul iota ou un seul trait de lettre, jusquà ce que tout soit arrivé."
MAT.5.19,"Ekyo onse uwasuulapo limo pa mafunde no kufunda bambi ifyo fine, akakuutwa uwakupelekeshako mu Bufumu bwa mwiulu. Nomba uyo uleyakonka no kufundako bambi akakuutwa umukindami mu Bufumu bwa mwiulu.","Celui donc qui supprimera lun de ces plus petits commandements, et qui enseignera aux hommes à faire de même, sera appelé le plus petit dans le royaume des cieux; mais celui qui les observera, et qui enseignera à les observer, celui-là sera appelé grand dans le royaume des cieux."
MAT.5.20,"Ekyo nkomyeba, kano fye ubololoke bwenu bwakishapo pa Bafalise na bakafundisha bamafunde, nga tefyo tamwakengilemo mu Bufumu bwa mwiulu.","Car, je vous le dis, si votre justice ne surpasse celle des scribes et des pharisiens, vous nentrerez point dans le royaume des cieux."
MAT.5.21,"Mwalyumfwa ifyo kyalandilwe kuba kale ati, Wile kwipaya, noyo onse uwaipaya ali lingilwe ukupingulwa.",Vous avez entendu quil a été dit aux anciens: Tu ne tueras point; celui qui tuera mérite dêtre puni par les juges.
MAT.5.22,"Nomba nkomyeba ati, onse uwafulilwa wabo akapingulwa. Kabili onse uwaeba wabo ati, We kingulyalya we, akaya mu kilye elo no waeba wabo ati, Uli kyungwa! akesa kuba mu busanso bwa kupooswa mu ngehena.","Mais moi, je vous dis que quiconque se met en colère contre son frère mérite dêtre puni par les juges; que celui qui dira à son frère: Raca! Mérite dêtre puni par le sanhédrin; et que celui qui lui dira: Insensé! Mérite dêtre puni par le feu de la géhenne."
MAT.5.23,"Ekyo, ulo ukoya mu kupeele kyabupe kyobe elo waibusha ati wenu alipo ne kintu ku mutima pali webo.","Si donc tu présentes ton offrande à lautel, et que là tu te souviennes que ton frère a quelque chose contre toi."
