verse_key,hav,fr
MAT.2.1,"Yeesu aburhwaga omu gishagala ch'eBeteleheemu, omu gihugo ch'eYudeeya. Amo mango, mwami Heroode ye waliiri murhegesi. Enyuma z'okuburhwa kwa Yeesu, aBanyabwenge barhengeraga eBushoshookero bw'ezuuba bahika omu gishagala ch'eYerusaleema.","Jésus étant né à Bethléhem en Judée, au temps du roi Hérode, voici des mages dOrient arrivèrent à Jérusalem."
MAT.2.2,"Baabaza ntya: «Hali omwana waburhirwe mpu ye mwami w'aBayaahudi. Ngahe ali? Rhwalibwene enyenyeezi yaage ebushoshookero bw'ezuuba, ntya ku rhwayinjire kumuharamya.».","et dirent: Où est le roi des Juifs qui vient de naître? Car nous avons vu son étoile en Orient, et nous sommes venus pour ladorer."
MAT.2.3,"Mwami Heroode abeere ayunva ogoola mwazi, ahahaala haguma n'abantu booshi b'eYerusaleema.","Le roi Hérode, ayant appris cela, fut troublé, et tout Jérusalem avec lui."
MAT.2.4,"Aja agusha abadaahwa bakulu booshi n'abigiriza b'amarhegeko, ababaza ngahe Kirisitu alikwaneene aburhirwe.","Il assembla tous les principaux sacrificateurs et les scribes du peuple, et il sinforma auprès deux où devait naître le Christ."
MAT.2.5,Bamushubiza ntya: «Omu gishagala ch'eBeteleheemu omu gihugo ch'eYudeeya. Kwenge by'ebiyandikirwe n'omuleebi ntya:.,Ils lui dirent: A Bethléhem en Judée; car voici ce qui a été écrit par le prophète:.
MAT.2.6,"‹Wooyo Beteleheemu, gishagala ch'omu gihugo ch'eYudeeya, arhali wooyo we mugeeke omu bishagala by'egihugo ch'eYudeeya; kwenge emwawe nji harhengera omurhegesi nj'alanga Israheeli, lubaga lwani.›».","Et toi, Bethléhem, terre de Juda, Tu nes certes pas la moindre entre les principales villes de Juda, Car de toi sortira un chef Qui paîtra Israël, mon peuple."
MAT.2.7,"Heroode aja ahamagala aboola banyabwenge omu bwibisho, anababaziriza egihe eyoola nyenyeezi yabonekaga.","Alors Hérode fit appeler en secret les mages, et senquit soigneusement auprès deux depuis combien de temps létoile brillait."
MAT.2.8,"Enyuma abarhuma eBeteleheemu, ababwira ntya: «Mugende mubazirize bwinja emyaazi y'oyoola mwana. Hano muba mwamubwene, mumenyeese yi naani nje yo kumuharamya.».","Puis il les envoya à Bethléhem, en disant: Allez, et prenez des informations exactes sur le petit enfant; quand vous laurez trouvé, faites-le-moi savoir, afin que jaille aussi moi-même ladorer."
MAT.2.9,"Bamalire kuyunviriza mwami, bagenda. Elaala nyenyeezi babaaga babwene eBushoshookero bw'ezuuba, yalema yagenda embere zaabo. Yabeere yahika elugulu w'ahantu omwana aliiri, yayimanga.","Après avoir entendu le roi, ils partirent. Et voici, létoile quils avaient vue en Orient marchait devant eux jusquà ce quétant arrivée au-dessus du lieu où était le petit enfant, elle sarrêta."
MAT.2.10,"Babeere babona eyoola nyenyeezi, basiima bweneene.","Quand ils aperçurent létoile, ils furent saisis dune très grande joie."
MAT.2.11,"Baaja omu nju, baabona omwana haguma na nyina, Mariya. Bafukama embere z'omwana bamuharamya. Babohoola eshaho zaabo bahemba oyo mwana ehooro, obubaani n'amarashi.","Ils entrèrent dans la maison, virent le petit enfant avec Marie, sa mère, se prosternèrent et ladorèrent; ils ouvrirent ensuite leurs trésors, et lui offrirent en présent de lor, de lencens et de la myrrhe."
MAT.2.12,"Nnamahanga aja ababuza omu biloorho oku barhachigalukaga emwa mwami Heroode . Ntyo, baja bagaluka emwabo kugerera eyindi njira.","Puis, divinement avertis en songe de ne pas retourner vers Hérode, ils regagnèrent leur pays par un autre chemin."
MAT.2.13,"Abo banyabwenge b'eBushoshookero bw'ezuuba bayuusize kugenda, malahika wa Nnaweerhu abonekera Yozefu omu biloorho anamubwira ntya: «Yimanga, rhoola omwana na nyina oshaagire eMiisiri . Obeere yo guhika amango nji nakubwira oku ogaluke, kwenge mwami Heroode ashondere kuyirhiisa omwana.».","Lorsquils furent partis, voici, un ange du Seigneur apparut en songe à Joseph, et dit: Lève-toi, prends le petit enfant et sa mère, fuis en Égypte, et restes-y jusquà ce que je te parle; car Hérode cherchera le petit enfant pour le faire périr."
MAT.2.14,"Yozefu ava ayimanga mw'oboola budufu, arhoola omwana na nyina baaja eMiisiri.","Joseph se leva, prit de nuit le petit enfant et sa mère, et se retira en Égypte."
MAT.2.15,Abeera yo guhika amango mwami Heroode afaaga. Ebyoola byabaaga yi bijirike ebi Nnaweerhu aderhaga ntya kugerera omuleebi: «Nahamageere mugala waani arhenge eMiisiri .».,"Il y resta jusquà la mort dHérode, afin que saccomplît ce que le Seigneur avait annoncé par le prophète: Jai appelé mon fils hors dÉgypte."
MAT.2.16,"Heroode abeere abona oku abanyabwenge bamurhebekere, akaliha bweneene. Arhuma abantu omu Beteleheemu n'omu bishagala by'eburhambi bw'ahoola, bagende kuyirha abaana booshi b'obuzaana, gurhengera okuburhwa guhika myaaka ebiri. Ajiraga ntyo gukulikirana n'emyaazi abanyabwenge babaaga bamubwirire.","Alors Hérode, voyant quil avait été joué par les mages, se mit dans une grande colère, et il envoya tuer tous les enfants de deux ans et au-dessous qui étaient à Bethléhem et dans tout son territoire, selon la date dont il sétait soigneusement enquis auprès des mages."
MAT.2.17,Chaaja chajirika echinwa omuleebi Yeremiya aderhaga ntya:.,"Alors saccomplit ce qui avait été annoncé par Jérémie, le prophète:."
MAT.2.18,"«Omulenge gwayunvikeene eRaama, Rakeeli yeli alirira abaana baage bweneene; arhanashondere asiriirizwe, bulaala barhachiri ho.».","On a entendu des cris à Rama, Des pleurs et de grandes lamentations: Rachel pleure ses enfants, Et na pas voulu être consolée, Parce quils ne sont plus."
MAT.2.19,"Enyuma z'ogufa kwa Heroode , malahika wa Nnaweerhu abonekera Yozefu omu biloorho eyo Miisiri.","Quand Hérode fut mort, voici, un ange du Seigneur apparut en songe à Joseph, en Égypte."
MAT.2.20,"Amubwira ntya: «Yimanga, rhoola omwana na nyina, ogaluke omu gihugo ch'eIsraheeli, kwenge abashondaga kuyirha omwana bafiire.».","et dit: Lève-toi, prends le petit enfant et sa mère, et va dans le pays dIsraël, car ceux qui en voulaient à la vie du petit enfant sont morts."
MAT.2.21,"Yozefu ayimanga, arhoola omwana na nyina, agaluka omu gihugo ch'eIsraheeli.","Joseph se leva, prit le petit enfant et sa mère, et alla dans le pays dIsraël."
MAT.2.22,"Aliko Yozefu abeere ayunva oku Arikelaayo ye yimire eYudeeya ahaali h'eshe Heroode , ayuubaha kuja yo. Enyuma z'oguhanuulwa omu biloorho, aja omu gihugo ch'eGalilaaya.","Mais, ayant appris quArchélaüs régnait sur la Judée à la place dHérode, son père, il craignit de sy rendre; et, divinement averti en songe, il se retira dans le territoire de la Galilée."
MAT.2.23,"Aja kulama omu gishagala chiyirikwa Nazareeti, yi bijirike ebyaderhwaga n'abaleebi ntya: «Alema ayirikwa Munazareeti.».","et vint demeurer dans une ville appelée Nazareth, afin que saccomplît ce qui avait été annoncé par les prophètes: Il sera appelé Nazaréen."
MAT.3.1,"Mw'ezoola siku, Yohaana Mubatiiza ahulukira omu mpinga y' eYudeeya. Aliiri ayaamagaza ntya :.","En ce temps-là parut Jean-Baptiste, prêchant dans le désert de Judée."
MAT.3.2,"«Muleke ebyaaha byenyu, kwenge obwime bw'empingu buli hoofu!».","Il disait: Repentez-vous, car le royaume des cieux est proche."
MAT.3.3,"Yohaana y'olaala omuleebi Isaya aderhaga elugulu waage ntya: «Muntu muguma oli omu mpinga y'ayaamagaza ntya: ‹Murheganyize Nnaweerhu enjira, mumujirire enjira zilambuukire!›».","Jean est celui qui avait été annoncé par Ésaïe, le prophète, lorsquil dit: Cest ici la voix de celui qui crie dans le désert: Préparez le chemin du Seigneur, Aplanissez ses sentiers."
MAT.3.4,Yohaana aliiri ayambala efulema ya kwizwaga n'amooya m'engamiya. Analiiri ayambala omukaba gw'oluhu omu mankinya. Agendaga alya emiguuku n'obuuki.,"Jean avait un vêtement de poils de chameau, et une ceinture de cuir autour des reins. Il se nourrissait de sauterelles et de miel sauvage."
MAT.3.5,"Abantu bagendaga baaja emunda ali gurhengera omu gishagala ch'eYerusaleema, omu gihugo ch'eYudeeya chooshi n'enyunda zooshi z'olwinji lw'eYorodaani.","Les habitants de Jérusalem, de toute la Judée et de tout le pays des environs du Jourdain, se rendaient auprès de lui;."
MAT.3.6,Abo bantu baliiri bayemera ebyaaha byaabo embere z'abantu. Na Yohaana aliiri ababatiiza omu Yorodaani.,"et, confessant leurs péchés, ils se faisaient baptiser par lui dans le fleuve du Jourdain."
MAT.3.7,"Yohaana abeere abona aBafarisaayo banene n' aBasadukaayo bayinja emunda ali yi babatiizwe, ababwira ntya: «Mwe buuko bw'enjoka, nde wababwirire oku mwakagala gushaga obuhane bwa Nnamahanga bwayinjire?.","Mais, voyant venir à son baptême beaucoup de pharisiens et de sadducéens, il leur dit: Races de vipères, qui vous a appris à fuir la colère à venir?."
MAT.3.8,Leero muleme mwayeerekana kugerera ebijiro oku mwalekere ebyaaha byenyu.,Produisez donc du fruit digne de la repentance.
MAT.3.9,Murhachibwiraga mpu: ‹Abrahaamu ye shookuluza weerhu.› Kwenge mbabwirire oku Nnamahanga agahindamula ama mabaale maabe baana b'Abrahaamu!.,et ne prétendez pas dire en vous-mêmes: Nous avons Abraham pour père! Car je vous déclare que de ces pierres-ci Dieu peut susciter des enfants à Abraham.
MAT.3.10,"Embasha ekola eri hoofu guchiira emirhi oku mizi. Ngasi murhi gurhayaana amalehe menja, gwachiibwa n'ogukabulwa omu muliro.",Déjà la cognée est mise à la racine des arbres: tout arbre donc qui ne produit pas de bons fruits sera coupé et jeté au feu.
MAT.3.11,"«Nyoono, ndi nababatiiza omu menji, omu kuyerekana oku mwalekere ebyaaha byenyu. Aliko hali owayinjire enyuma zaani, yeewe agwerhe obuhashe kundusha. Ntakwaneene chiro kumuhogola ebiraato. Yeewe ye nji wababatiiza omu Muuka-Mutagatiifu n'omu muliro.","Moi, je vous baptise deau, pour vous amener à la repentance; mais celui qui vient après moi est plus puissant que moi, et je ne suis pas digne de porter ses souliers. Lui, il vous baptisera du Saint-Esprit et de feu."
MAT.3.12,Afarhire omu fune zaage engooko y'akuula ebisasara omu ngano. Nj'arhoola engano n'okuzihira omu nguli yaage. Sy'aliko nj'achumika ebisasara omu muliro gurhazima chiro n'ehityu.».,"Il a son van à la main; il nettoiera son aire, et il amassera son blé dans le grenier, mais il brûlera la paille dans un feu qui ne séteint point."
MAT.3.13,"Mwamo mango, Yeesu arhengera eGalilaaya ahika oku lwinji lw'eYorodaani, ayegeera Yohaana mpu y' abatiizwe naye.","Alors Jésus vint de la Galilée au Jourdain vers Jean, pour être baptisé par lui."
MAT.3.14,"Aliko Yohaana ashonda kulahira anamubwira ntya: «Nyoono nye ndagiirire kubatiizwa naawe. Leero gurhe, wooyo we wajire wayinja emunda ndi?».","Mais Jean sy opposait, en disant: Cest moi qui ai besoin dêtre baptisé par toi, et tu viens à moi!."
MAT.3.15,Yeesu amushubiza ntya: «Lekaga bibe ntyo bunoola. Kwenge ntya kubihemere rhujire ebikwaneene byooshi.» Yohaana aja ayemeera.,"Jésus lui répondit: Laisse faire maintenant, car il est convenable que nous accomplissions ainsi tout ce qui est juste. Et Jean ne lui résista plus."
MAT.3.16,"Yeesu abeere amabatiizwa, arhenga omu menji. Ho n'aho, empingu zagichinguula, abona Muuka gwa Nnamahanga nka guuku n'okumugwirira ko.","Dès que Jésus eut été baptisé, il sortit de leau. Et voici, les cieux souvrirent, et il vit lEsprit de Dieu descendre comme une colombe et venir sur lui."
MAT.3.17,"Omulenge gwarhengera empingu, n'okuderha ntya: «Oyuula ye Mugala waani muzigirwa, nsimiisizwe naye bweneene.».","Et voici, une voix fit entendre des cieux ces paroles: Celui-ci est mon Fils bien-aimé, en qui jai mis toute mon affection."
MAT.4.1,"Enyuma z'aho, Muuka-Mutagatiifu aheeka Yeesu omu mpinga yi Shetaani amugeregeze.","Alors Jésus fut emmené par lEsprit dans le désert, pour être tenté par le diable."
MAT.4.2,"Ayuusize guchibuza kulya siku makumi mane ezuuba n'obudufu, ayunva enzara.","Après avoir jeûné quarante jours et quarante nuits, il eut faim."
MAT.4.3,"Shetaani ayinja anamubwira ntya: «Akaba onali Mugala wa Nnamahanga, rhegeka amala mabaale mahinduke migati.».","Le tentateur, sétant approché, lui dit: Si tu es Fils de Dieu, ordonne que ces pierres deviennent des pains."
MAT.4.4,Yeesu amushubiza ntya: «Biyandikirwe omu Mandiko Matagatiifu ntya: ‹Omuntu arhakalama n'omugati gonyine. Aliko alama na ngasi Chinwa girhenga omu buunu bwa Nnamahanga.› ».,"Jésus répondit: Il est écrit: Lhomme ne vivra pas de pain seulement, mais de toute parole qui sort de la bouche de Dieu."
MAT.4.5,Shetaani amuheeka omu gishagala gitagatiifu ch'eYerusaleema. Amuyimanza elugulu w'eNju ya Nnamahanga.,"Le diable le transporta dans la ville sainte, le plaça sur le haut du temple."
MAT.4.6,"anamubwira ntya: «Akaba onali Mugala wa Nnamahanga, gikabula ahashi, kwenge biyaandikirwe ntya: ‹Nnamahanga nj'arhegeka bamalahika baage, nji bakuyankirira omu fune zaabo, y'okugulu kwawe gurhasirhalaga oku baale.›».","et lui dit: Si tu es Fils de Dieu, jette-toi en bas; car il est écrit: Il donnera des ordres à ses anges à ton sujet; Et ils te porteront sur les mains, De peur que ton pied ne heurte contre une pierre."
MAT.4.7,"Yeesu amushubiza ntya: «Biyandikirwe omu Mandiko Matagatiifu ntya: ‹Orhalemaga wageregeza Nnaweerhu, Nnamahanga wawe.› ».","Jésus lui dit: Il est aussi écrit: Tu ne tenteras point le Seigneur, ton Dieu."
MAT.4.8,"Shetaani ashuba kumuheeka oku musozi guleheere bweneene, amuyeereka amaami mooshi m'egulu n'obuchire bw'amo maami.","Le diable le transporta encore sur une montagne très élevée, lui montra tous les royaumes du monde et leur gloire."
MAT.4.9,Amubwira ntya: «Biliira byooshi naguha byo ogafukama embere zaani omu kumparamya.».,"et lui dit: Je te donnerai toutes ces choses, si tu te prosternes et madores."
MAT.4.10,"Yeesu amushubiza ntya: «Rhenga hano, Shetaani! Kwenge biyandikirwe ntya: ‹Oleme waharamya Nnaweerhu Nnamahanga waawe, onamukolere yenyine.› ».","Jésus lui dit: Retire-toi, Satan! Car il est écrit: Tu adoreras le Seigneur, ton Dieu, et tu le serviras lui seul."
MAT.4.11,"Oku buzinda, Shetaani aja aleka Yeesu, na bamalahika bayinja kumukolera.","Alors le diable le laissa. Et voici, des anges vinrent auprès de Jésus, et le servaient."
MAT.4.12,"Yeesu abeere ayunva oku Yohaana bamuhirire omu munyororo, aja eGalilaaya.","Jésus, ayant appris que Jean avait été livré, se retira dans la Galilée."
MAT.4.13,"Arhenga omu gishagala ch'eNazareeti, aja kulama omu ch'eGaperinaumu eburhambi bw'enyanja y'eGalilaaya, omu gihugo ch'eZabuluni n'eche Nafutaali.","Il quitta Nazareth, et vint demeurer à Capernaüm, située près de la mer, dans le territoire de Zabulon et de Nephthali."
MAT.4.14,Ajiraga ntyo y'echinwa chijirike ech'omuleebi Isaya aderhaga ntya:.,"afin que saccomplît ce qui avait été annoncé par Ésaïe, le prophète:."
MAT.4.15,"«Gihugo cha Zabuluni, n'eche Nafutaali, gukulikira enjira y'ebwa nyanja, oku lunda lw'olwinji lw'eYorodaani, omu gihugo ch'eGalilaaya. Eyo munda y'abarhali Bayaahudi balamire.","Le peuple de Zabulon et de Nephthali, De la contrée voisine de la mer, du pays au delà du Jourdain, Et de la Galilée des Gentils."
MAT.4.16,"Olubaga lwalilamire omu mwizimya, lwabwene obumoleke bunene, n'abalilamire omu gihugo ch'omwizimya munene g'olufu, nabo obumoleke bwabayinjire!».","Ce peuple, assis dans les ténèbres, A vu une grande lumière; Et sur ceux qui étaient assis dans la région et lombre de la mort La lumière sest levée."
MAT.4.17,"Gurhengera echoola gihe, Yeesu arhondera kuyigiriza ntya: «Muleke ebyaaha byenyu, kwenge obwime bw'empingu bwayegereere.».","Dès ce moment Jésus commença à prêcher, et à dire: Repentez-vous, car le royaume des cieux est proche."
MAT.4.18,"Yeesu abeere ali alambagira eburhambi bw'enyanja y'eGalilaaya, abona abashaana babiri ba nda nguma, Simooni bashembulaga Petero na mwene waabo Ndereya. Baliiri barhoza omulaga gwabo omu nyanja.","Comme il marchait le long de la mer de Galilée, il vit deux frères, Simon, appelé Pierre, et André, son frère, qui jetaient un filet dans la mer; car ils étaient pêcheurs."
MAT.4.19,"Yeesu ababwira ntya: «Munkulikire, nabajira bashaana b'abantu.».","Il leur dit: Suivez-moi, et je vous ferai pêcheurs dhommes."
MAT.4.20,"Ho n'aho Baaleka emilaga yaabo, bamukulikira.","Aussitôt, ils laissèrent les filets, et le suivirent."
MAT.4.21,"Yeesu agerere embere bweneene, abona bandi bashyaana babiri ba nda nguma: Yakobo na mwene waabo Yohaana. Babaaga bali omu bwarho haguma n'eshe wabo Zebedayo, eyi bali bakwiza emilaga yaabo. Abo nabo, Yeesu abahamagala.","De là étant allé plus loin, il vit deux autres frères, Jacques, fils de Zébédée, et Jean, son frère, qui étaient dans une barque avec Zébédée, leur père, et qui réparaient leurs filets."
MAT.4.22,"Ho n'aho Baaleka obwarho n'eshe wabo, bakulikira Yeesu.","Il les appela, et aussitôt ils laissèrent la barque et leur père, et le suivirent."
MAT.4.23,Yeesu aliiri agera omu gihugo chooshi ch'eGalilaaya. Aliiri ayigiriza abantu omu masinagoogi maabo n'okubayigiriza oMwazi Mwinja gw'obwime bw'empingu. Analiiri afumya abantu bali balwere ngasi ndwala na ngasi bulema.,"Jésus parcourait toute la Galilée, enseignant dans les synagogues, prêchant la bonne nouvelle du royaume, et guérissant toute maladie et toute infirmité parmi le peuple."
MAT.4.24,"Erenge lyaage lyayandaala omu gihugo ch'eSuriya chooshi. Balimulerheere abantu booshi baliiri balibuka na ngasi ndwala n'abalizimuhirwe, abalilwere egichuli n'abalihunzize. Aboola booshi, Yeesu aliiri abafumya.","Sa renommée se répandit dans toute la Syrie, et on lui amenait tous ceux qui souffraient de maladies et de douleurs de divers genres, des démoniaques, des lunatiques, des paralytiques; et il les guérissait."
MAT.4.25,"Abantu banene baliiri bamukulikira gurhengera omu gihugo ch'eGalilaaya, n'eche Dekapoli, n'omu gishagala ch'eYerusaleema, n'omu gihugo ch'eYudeeya, n'oku shiriza y'olwinji lw'eYorodaani.","Une grande foule le suivit, de la Galilée, de la Décapole, de Jérusalem, de la Judée, et dau delà du Jourdain."
MAT.5.1,"Yeesu abeere abona ebigusho by'abantu, azamuukira oku musozi, ayikala, n' abigirizwa baage bamuyegeera.","Voyant la foule, Jésus monta sur la montagne; et, après quil se fut assis, ses disciples sapprochèrent de lui."
MAT.5.2,Arhondera kubayigiriza ntya:.,"Puis, ayant ouvert la bouche, il les enseigna, et dit:."
MAT.5.3,"«Bagishirwe abakene omu murhima, kwenge oBwami bw'empingu buli bwabo!.","Heureux les pauvres en esprit, car le royaume des cieux est à eux!."
MAT.5.4,"Bagishirwe abali balira, kwenge basiririzwa!.","Heureux les affligés, car ils seront consolés!."
MAT.5.5,"Bagishirwe abagirhonda, kwenge bahabwa egulu kuba gashambala kaabo!.","Heureux les débonnaires, car ils hériteront la terre!."
MAT.5.6,"Bagishirwe abali nzara n'enyoorha y'okujira ebikwanene embere za Nnamahanga, kwenge bayuguswa!.","Heureux ceux qui ont faim et soif de la justice, car ils seront rassasiés!."
MAT.5.7,"Bagishirwe ababeera abandi obonjo, kwenge nabo baberwa obonjo!.","Heureux les miséricordieux, car ils obtiendront miséricorde!."
MAT.5.8,"Bagishirwe abagwerhe omurhima gucheere, kwenge babona Nnamahanga!.","Heureux ceux qui ont le cœur pur, car ils verront Dieu!."
MAT.5.9,"Bagishirwe abaleerha omurhuula, kwenge bahamagalwa beene Nnamahanga!.","Heureux ceux qui procurent la paix, car ils seront appelés fils de Dieu!."
MAT.5.10,"Bagishirwe abali balibuzwa elugulu w'okujira ebikwanene embere za Nnamahanga, kwenge oBwami bw'empingu buli bwabo!.","Heureux ceux qui sont persécutés pour la justice, car le royaume des cieux est à eux!."
MAT.5.11,"«Mugishirwe amango abantu bali babadukanga, n'okubalibuza, banababeshere ngasi chinwa chibi elugulu waani.","Heureux serez-vous, lorsquon vous outragera, quon vous persécutera et quon dira faussement de vous toute sorte de mal, à cause de moi."
MAT.5.12,"Muleme mwashagaluka n'oguchishinga, bulaala oluhembo lwenyu luli lunene omu mpingu. Kwenge ntyo ku balibuzaga abaleebi balamaga embere zenyu.».","Réjouissez-vous et soyez dans lallégresse, parce que votre récompense sera grande dans les cieux; car cest ainsi quon a persécuté les prophètes qui ont été avant vous."
MAT.5.13,"«Mwabo muli munyu gw'egulu. Aliko nk'omunyu gwamahwa obununu, bichi byagashuba kugugalulira obununu bwago? Gurhagachilunga chintu, sy'aliko gwanakabulwa embuga n'okulabarhwa n'abantu.","Vous êtes le sel de la terre. Mais si le sel perd sa saveur, avec quoi la lui rendra-t-on? Il ne sert plus quà être jeté dehors, et foulé aux pieds par les hommes."
MAT.5.14,«Mwabo muli bumoleke bw'egulu. Egishagala chiri oku musozi girhakabishwa.,Vous êtes la lumière du monde. Une ville située sur une montagne ne peut être cachée;.
MAT.5.15,"«Ntaaye ochaana etara mpu aliyuubike kw'agarhanda, aliko alihanika oku gikondo, lyanamolekera booshi bali omu nju.","et on nallume pas une lampe pour la mettre sous le boisseau, mais on la met sur le chandelier, et elle éclaire tous ceux qui sont dans la maison."
